     K08P03H* C2008 08 03.68863 23 27 46.51 -35 52 12.6          19.7 Vrz3650E12
     K08P03H  C2008 08 03.70341 23 27 51.15 -35 52 16.9          19.1 Vrz3650E12
     K08P03H  C2008 08 03.71765 23 27 55.69 -35 52 21.4          19.4 Vrz3650E12
     K08P03H  C2008 08 03.73189 23 28 00.19 -35 52 24.2          18.8 Vrz3650E12
     K08P03H  C2008 08 03.82357 23 28 29.70 -35 52 42.2          19.3 Rrz3650E12
     K08P03H  C2008 08 04.51045 23 32 28.56 -35 55 21.9          19.4 Rrz3650E12
     K08P03H  C2008 08 05.54723 23 38 16.75 -35 58 25.8          19.2 Rrz3650E12
     K08P03H  C2008 08 05.55002 23 38 17.633-35 58 26.36         19.3 Rrz3650E12
     K08P03H  C2008 08 05.79782 23 39 35.35 -35 59 01.4          19.3 Rrz3650E12
     K08P03H  C2008 08 05.80081 23 39 36.29 -35 59 01.6          19.4 Rrz3650E12
     K08P03H  C2008 08 11.62058 00 10 25.81 -35 47 48.2          19.8 Vrz4143F84
     K08P03H  C2008 08 11.63697 00 10 30.33 -35 47 40.6          19.7 Vrz4143F84
     K08P03H  C2008 08 12.66269 00 15 36.78 -35 41 14.7          19.7 Rrz4143E12
     K08P03H  C2008 08 12.66791 00 15 38.24 -35 41 13.3          19.1 Rrz4143E12
     K08P03H  C2008 08 13.64760 00 20 20.62 -35 34 04.7          19.4 Rrz4143E12
     K08P03H  C2008 08 22.56662 00 56 47.78 -33 49 58.5          19.8 Vrz4620F84
     K08P03H  C2008 08 22.58702 00 56 51.46 -33 49 38.5          19.9 Vrz4620F84
     K08P03H  C2008 09 01.66568 01 23 41.13 -30 57 24.6          19.6 Rrz5253E12
     K08P03H  C2008 09 01.67181 01 23 41.70 -30 57 17.2          20.1 Rrz5253E12
     K08P03H  C2008 09 18.29906 01 40 34.57 -25 16 28.6          19.4 Voz6790H55
     K08P03H  C2008 09 18.30467 01 40 34.60 -25 16 21.6          19.7 Voz6790H55
     K08P03H  C2008 09 18.31254 01 40 34.66 -25 16 11.9          19.5 Voz6790H55
     K08P03H  C2008 09 27.60866 01 40 19.52 -21 47 59.8          20.4 Vrz8036E12
     K08P03H  C2008 09 27.61152 01 40 19.48 -21 47 56.0          20.3 Vrz8036E12
     K08P03H  C2008 10 10.20052 01 35 07.18 -16 54 13.3          19.8 Rrz9329448
     K08P03H  C2008 10 10.23265 01 35 06.07 -16 53 25.7          21.3 Rrz9329448
     K08P03H  C2008 10 10.26488 01 35 04.72 -16 52 43.3          19.9 Rrz9329448
