     K08P03K* C2008 08 03.79440 23 04 59.48 -38 18 12.8          19.1 Vrz3650E12
     K08P03K  C2008 08 03.80343 23 04 56.10 -38 18 42.8          19.4 Vrz3650E12
     K08P03K  C2008 08 03.81252 23 04 52.68 -38 19 14.3          19.1 Vrz3650E12
     K08P03K  C2008 08 03.82295 23 04 48.72 -38 19 48.2          18.6 Vrz3650E12
     K08P03K  C2008 08 03.82418 23 04 48.32 -38 19 51.2          19.1 Vrz3650E12
     K08P03K  C2008 08 03.82542 23 04 47.78 -38 19 55.7          19.0 Vrz3650E12
     K08P03K  C2008 08 04.49866 23 01 04.82 -38 56 25.6          18.8 Rrz3650E12
     K08P03K  C2008 08 04.50100 23 01 04.01 -38 56 32.9          19.0 Rrz3650E12
     K08P03K  C2008 08 04.79318 22 59 21.22 -39 11 18.4          18.6 Rrz3650E12
     K08P03K  C2008 08 05.53183 22 55 38.327-39 45 08.58         19.1 Rrz3650E12
     K08P03K  C2008 08 05.53471 22 55 37.422-39 45 16.49         19.1 Rrz3650E12
     K08P03K  C2008 08 05.78633 22 54 16.67 -39 55 55.2          19.4 Rrz3650E12
     K08P03K  C2008 08 05.78921 22 54 15.77 -39 56 02.0          19.2 Rrz3650E12
     K08P03K  C2008 08 12.58261 22 29 17.48 -42 46 19.7          20.1 Rrz4143E12
     K08P03K  C2008 08 12.59097 22 29 15.89 -42 46 26.5          20.2 Rrz4143E12
     K08P03K  C2008 08 12.60338 22 29 13.58 -42 46 37.1          19.8 Rrz4143E12
     K08P03K  C2008 08 12.62422 22 29 09.75 -42 46 54.6          19.9 Rrz4143E12
     K08P03K  C2008 08 12.62990 22 29 08.63 -42 46 58.9          20.0 Rrz4143E12
