     K08P09R* C2008 08 08.72760 22 00 54.10 -42 01 13.5          19.0 Vrz4145E12
     K08P09R  C2008 08 08.73398 22 00 51.26 -42 01 55.0          18.9 Vrz4145E12
     K08P09R  C2008 08 08.74672 22 00 45.61 -42 03 18.6          19.2 Vrz4145E12
     K08P09R  C2008 08 08.77302 22 00 33.84 -42 06 09.7          19.0 Vrz4145E12
     K08P09R  C2008 08 08.77356 22 00 33.66 -42 06 13.3          19.0 Vrz4145E12
     K08P09R  C2008 08 08.77411 22 00 33.37 -42 06 17.4          19.3 Vrz4145E12
     K08P09R  C2008 08 08.77465 22 00 33.15 -42 06 20.7          19.5 Vrz4145E12
     K08P09R  C2008 08 08.77520 22 00 32.86 -42 06 24.6          18.9 Vrz4145E12
     K08P09R  C2008 08 08.81437 22 00 15.58 -42 10 40.3          19.1 Rrz4145E12
     K08P09R  C2008 08 09.44557 21 55 41.62 -43 23 41.2          18.9 Rrz4145E12
     K08P09R  C2008 08 12.56868 21 22 10.64 -50 19 55.2          18.8 Rrz4145E12
     K08P09R  C2008 08 12.57157 21 22 07.98 -50 20 20.9          19.0 Rrz4145E12
     K08P09R  C2008 08 16.44417 19 54 38.39 -60 04 01.6          18.8 Vrz4367F85
     K08P09R  C2008 08 16.46818 19 53 48.10 -60 07 06.9          18.8 Vrz4367F85
     K08P09R  C2008 08 18.39925 18 34 43.62 -63 25 50.8                rz4622E12
