     K08P04W* C2008 08 05.55802 22 40 39.93 -17 33 53.7          18.5 Vrz3651E12
     K08P04W  C2008 08 05.56890 22 40 41.52 -17 34 16.1          18.5 Vrz3652E12
     K08P04W  C2008 08 05.57976 22 40 43.03 -17 34 37.6          18.1 Vrz3652E12
     K08P04W  C2008 08 05.59072 22 40 44.68 -17 34 59.4          18.9 Vrz3652E12
     K08P04W .C2008 08 05.63866 22 40 52.18 -17 36 29.9          18.2 Rrz3652D90
     K08P04W .C2008 08 05.64405 22 40 52.94 -17 36 40.6          18.4 Rrz3652D90
     K08P04W .C2008 08 05.64825 22 40 53.53 -17 36 49.4          18.6 Rrz3652D90
     K08P04W  C2008 08 05.80367 22 41 15.53 -17 41 50.3          18.7 Rrz3652E12
     K08P04W  C2008 08 05.96649 22 41 50.10 -17 48 57.9          18.3 Voz3652151
     K08P04W  C2008 08 05.96765 22 41 50.28 -17 49 00.5          18.4 Voz3652151
     K08P04W  C2008 08 05.96882 22 41 50.46 -17 49 02.6          18.4 Voz3652151
     K08P04W  C2008 08 05.96999 22 41 50.65 -17 49 05.4          18.3 Voz3652151
     K08P04W  C2008 08 05.97116 22 41 50.81 -17 49 07.5          18.3 Voz3652151
     K08P04W  C2008 08 05.97233 22 41 51.01 -17 49 09.9          18.5 Voz3652151
     K08P04W  C2008 08 05.97350 22 41 51.20 -17 49 12.4          18.3 Voz3652151
     K08P04W  C2008 08 06.49570 22 43 28.28 -18 05 19.7          18.8 Rrz3652E12
     K08P04W  C2008 08 08.95672 22 51 52.22 -19 43 42.6          18.2 Rrz4144147
     K08P04W  C2008 08 08.96422 22 51 53.73 -19 44 02.1                rz4144147
     K08P04W  C2008 08 09.21052722 52 51.85 -19 54 50.0          18.7 Coz4144H55
     K08P04W  C2008 08 09.21215022 52 52.19 -19 54 54.8          18.5 Coz4144H55
     K08P04W  C2008 08 09.21395222 52 52.56 -19 54 59.8          18.4 Coz4144H55
     K08P04W  C2008 08 09.21556822 52 52.90 -19 55 04.3          18.5 Coz4144H55
     K08P04W  C2008 08 11.26046 23 01 45.78 -21 36 19.8          18.0 Voz4144H55
     K08P04W  C2008 08 11.26154 23 01 46.05 -21 36 23.6          18.1 Voz4144H55
     K08P04W  C2008 08 11.26262 23 01 46.32 -21 36 26.8          17.9 Voz4144H55
     K08P04W  C2008 08 11.26369 23 01 46.61 -21 36 30.5          18.0 Voz4144H55
     K08P04W  C2008 08 11.26477 23 01 46.88 -21 36 34.2          18.1 Voz4144H55
     K08P04W  C2008 08 12.08374 23 05 55.76 -22 22 52.6          17.7 Rrz4144J51
     K08P04W  C2008 08 12.08912 23 05 57.22 -22 23 11.7          17.8 Rrz4144J51
     K08P04W  C2008 08 12.09449 23 05 58.70 -22 23 31.0          17.9 Rrz4144J51
     K08P04W  C2008 08 12.64771 23 09 00.64 -22 55 18.5          18.0 Vrz4144E12
     K08P04W  C2008 08 12.64824 23 09 00.82 -22 55 20.4          17.9 Vrz4144E12
     K08P04W  C2008 08 14.31293 23 19 31.66 -24 50 42.9          18.0 Voz4367H55
     K08P04W  C2008 08 14.31464 23 19 32.29 -24 50 50.4          17.9 Voz4367H55
     K08P04W  C2008 08 14.31633 23 19 32.93 -24 50 57.9          17.8 Voz4367H55
     K08P04W  C2008 08 14.31802 23 19 33.57 -24 51 05.5          17.8 Voz4367H55
     K08P04W  C2008 08 14.31973 23 19 34.20 -24 51 13.2          17.9 Voz4367H55
     K08P04W  C2008 08 20.61863 00 34 32.13 -35 34 59.8          17.6 Vrz4621F84
     K08P04W  C2008 08 20.63324 00 34 48.24 -35 36 49.1          16.7 Vrz4621F84
     K08P04W  C2008 08 21.62606 00 56 22.37 -37 49 21.6          16.6 Vrz4621F85
     K08P04W  C2008 08 21.63562 00 56 35.17 -37 50 34.6          16.7 Vrz4621F85
