     K08Q11S* C2008 08 27.63741 00 24 24.30 -41 48 58.8          18.3 Vrz4639E12
     K08Q11S  C2008 08 27.65057 00 24 25.38 -41 49 03.6          18.3 Vrz4639E12
     K08Q11S  C2008 08 27.66378 00 24 26.46 -41 49 09.1          18.2 Vrz4640E12
     K08Q11S  C2008 08 27.67694 00 24 27.46 -41 49 13.6          18.4 Vrz4640E12
     K08Q11S  C2008 08 27.72243 00 24 31.21 -41 49 30.6          17.9 Vrz4640E12
     K08Q11S  C2008 08 27.72330 00 24 31.24 -41 49 30.7          18.5 Vrz4640E12
     K08Q11S  C2008 08 27.73161 00 24 31.91 -41 49 34.5          18.2 Vrz4640E12
     K08Q11S  C2008 08 27.73215 00 24 31.93 -41 49 34.0          18.3 Vrz4640E12
     K08Q11S  C2008 08 27.74882 00 24 33.33 -41 49 39.2          18.1 Vrz4640E12
     K08Q11S  C2008 08 27.76542 00 24 34.74 -41 49 44.5          18.4 Vrz4640E12
     K08Q11S  C2008 08 27.78201 00 24 36.14 -41 49 49.4          18.2 Vrz4640E12
     K08Q11S  C2008 08 27.79854 00 24 37.58 -41 49 54.6          18.1 Vrz4640E12
     K08Q11S  C2008 08 28.45862 00 25 47.10 -41 53 52.1          18.2 Roz4640474
     K08Q11S  C2008 08 28.46152 00 25 47.37 -41 53 53.6          18.2 Roz4640474
     K08Q11S  C2008 08 28.46429 00 25 47.63 -41 53 54.8          18.1 Roz4640474
     K08Q11S  C2008 08 28.67899 00 26 06.12 -41 55 17.5          18.1 Roz4640474
     K08Q11S  C2008 08 28.68177 00 26 06.36 -41 55 18.5          18.1 Roz4640474
     K08Q11S  C2008 08 28.68478 00 26 06.62 -41 55 19.3          18.2 Roz4640474
     K08Q11S  C2008 08 29.60218 00 27 38.51 -42 00 50.4          17.9 Vrz4640F85
     K08Q11S  C2008 08 29.61837 00 27 39.92 -42 00 53.4          18.0 Vrz4640F85
     K08Q11S  C2008 09 01.64371 00 33 04.48 -42 14 38.9          17.9 Vrz5257E12
     K08Q11S  C2008 09 05.46105 00 40 40.16 -42 21 40.1          17.9 Roz5257474
     K08Q11S  C2008 09 05.46487 00 40 40.59 -42 21 40.7          17.8 Roz5257474
     K08Q11S  C2008 09 05.46777 00 40 40.92 -42 21 40.9          17.7 Roz5257474
     K08Q11S  C2008 09 05.57749 00 40 53.04 -42 21 48.1          17.7 Roz5257474
     K08Q11S  C2008 09 05.58096 00 40 53.42 -42 21 48.3          17.6 Roz5257474
     K08Q11S  C2008 09 05.58443 00 40 53.81 -42 21 48.3          17.7 Roz5257474
     K08Q11S  C2008 09 06.19199 00 42 12.94 -42 21 54.2          17.4 Rrz5943I77
     K08Q11S  C2008 09 06.19711 00 42 13.47 -42 21 53.7          17.3 Rrz5943I77
     K08Q11S  C2008 09 06.19857 00 42 13.62 -42 21 53.9          17.3 Rrz5943I77
     K08Q11S  C2008 09 06.20101 00 42 13.88 -42 21 53.8          17.3 Rrz5943I77
     K08Q11S  C2008 09 06.20516 00 42 14.31 -42 21 53.8          17.3 Rrz5943I77
     K08Q11S  C2008 09 06.48918 00 42 54.68 -42 21 11.0          17.8 Roz5943474
     K08Q11S  C2008 09 06.49253 00 42 55.08 -42 21 11.2          17.8 Roz5943474
     K08Q11S  C2008 09 06.49705 00 42 55.61 -42 21 11.0          17.7 Roz5943474
     K08Q11S  C2008 09 06.67449 00 43 17.129-42 21 13.92         17.5 Rrz5943E12
     K08Q11S  C2008 09 06.67607 00 43 17.299-42 21 13.66         17.6 Rrz5943E12
     K08Q11S  C2008 09 08.46015 00 47 35.23 -42 16 20.7                zz5943E09
     K08Q11S  C2008 09 08.69423 00 48 05.13 -42 15 44.5                zz5943E09
     K08Q11S  C2008 09 08.74551 00 48 11.59 -42 15 27.2                zz5943E09
     K08Q11S  C2008 09 09.46253 00 50 09.03 -42 11 43.1                zz5943E09
     K08Q11S  C2008 09 10.41533 00 52 44.41 -42 05 32.3                jz6798E09
     K08Q11S  C2008 09 10.43950 00 52 48.36 -42 05 27.2                jz6798E09
     K08Q11S  C2008 09 10.46370 00 52 52.16 -42 05 21.8                jz6798E09
     K08Q11S  C2008 09 10.48789 00 52 55.93 -42 05 15.9                jz6798E09
     K08Q11S  C2008 09 10.51209 00 52 59.58 -42 05 09.6                jz6798E09
     K08Q11S  C2008 09 10.56150 00 53 06.824-42 04 54.92         17.0 Rrz5943E12
     K08Q11S  C2008 09 10.56186 00 53 06.870-42 04 54.86         17.0 Rrz5943E12
     K08Q11S  C2008 09 10.56221 00 53 06.926-42 04 54.74         17.1 Rrz5943E12
     K08Q11S  C2008 09 10.56256 00 53 06.984-42 04 54.55         17.0 Rrz5943E12
     K08Q11S  C2008 09 11.26111 00 55 05.37 -41 59 16.0                rz8044808
     K08Q11S  C2008 09 11.26817 00 55 06.13 -41 59 12.8                rz8044808
     K08Q11S  C2008 09 11.27500 00 55 07.26 -41 59 08.7                rz8044808
     K08Q11S  C2008 09 11.55403 00 56 00.517-41 56 28.46         17.0 Rrz5943E12
     K08Q11S  C2008 09 11.58139 00 56 04.73 -41 56 15.9                jz6798E09
     K08Q11S  C2008 09 11.58512 00 56 05.29 -41 56 13.9                jz6798E09
     K08Q11S  C2008 09 11.58690 00 56 05.563-41 56 13.17         17.0 Rrz5943E12
     K08Q11S  C2008 09 11.58810 00 56 05.74 -41 56 12.6                jz6798E09
     K08Q11S  C2008 09 11.62525 00 56 11.36 -41 55 53.3                jz6798E09
     K08Q11S  C2008 09 12.42504 00 58 45.00 -41 46 50.1                jz6798E09
     K08Q11S  C2008 09 12.43716 00 58 47.30 -41 46 44.5                jz6798E09
     K08Q11S  C2008 09 12.44928 00 58 49.49 -41 46 39.0                jz6798E09
     K08Q11S  C2008 09 12.46139 00 58 51.72 -41 46 33.2                jz6798E09
     K08Q11S  C2008 09 12.47351 00 58 53.89 -41 46 27.2                jz6798E09
     K08Q11S  C2008 09 14.18401 01 04 41.47 -41 22 53.7          16.5 Rrz6473I77
     K08Q11S  C2008 09 14.18971 01 04 42.55 -41 22 47.8          16.3 Rrz6473I77
     K08Q11S  C2008 09 14.19674 01 04 43.78 -41 22 41.3          16.4 Rrz6473I77
