h5548K08Q03T* C2008 08 24.89792 21 52 50.10 +04 50 17.4          19.0 Rrz4631106
h5548K08Q03T  C2008 08 24.90752 21 52 49.05 +04 50 18.9          18.8 Rrz4631106
h5548K08Q03T  C2008 08 24.91716 21 52 48.00 +04 50 20.2          18.6 Rrz4631106
h5548K08Q03T  C2008 08 24.92676 21 52 46.96 +04 50 22.7          18.8 Rrz4631106
h5548K08Q03T HC2008 08 24.99594 21 52 39.49 +04 50 32.7                oz4631246
h5548K08Q03T HC2008 08 24.99718 21 52 39.27 +04 50 31.8                oz4631246
h5548K08Q03T  C2008 08 25.01708 21 52 37.33 +04 50 35.1          19.4 Rrz4631113
h5548K08Q03T  C2008 08 25.02069 21 52 36.88 +04 50 35.8          19.3 Rrz4631113
h5548K08Q03T  C2008 08 25.02432 21 52 36.49 +04 50 36.8          18.8 Rrz4631113
h5548K08Q03T  C2008 08 25.02488 21 52 36.11 +04 50 38.2                rz4631B18
h5548K08Q03T  C2008 08 25.02559 21 52 36.04 +04 50 38.1                rz4631B18
h5548K08Q03T  C2008 08 25.02700 21 52 35.91 +04 50 38.7                rz4631B18
h5548K08Q03T  C2008 08 25.02771 21 52 35.80 +04 50 39.1                rz4631B18
h5548K08Q03T  C2008 08 25.09158 21 52 30.43 +04 50 50.5          19.0 Rrz4631H36
h5548K08Q03T  C2008 08 25.09577 21 52 29.97 +04 50 50.7          19.0 Rrz4631H36
h5548K08Q03T  C2008 08 25.09913 21 52 29.64 +04 50 51.3          18.9 Rrz4631H36
h5548K08Q03T  C2008 08 25.10248 21 52 29.26 +04 50 51.3          19.3 Rrz4631H36
h5548K08Q03T  C2008 08 25.10555 21 52 27.75 +04 50 50.4          19.3 Rrz4631473
h5548K08Q03T  C2008 08 25.87582 21 51 07.95 +04 52 49.5          18.6 Voz4631A44
h5548K08Q03T  C2008 08 25.88357 21 51 07.10 +04 52 50.8          18.6 Voz4631A44
h5548K08Q03T  C2008 08 25.88373 21 51 07.09 +04 52 51.0                oz4631246
h5548K08Q03T  C2008 08 25.88447 21 51 07.00 +04 52 50.7                oz4631246
h5548K08Q03T  C2008 08 25.88543 21 51 06.90 +04 52 50.9                oz4631246
h5548K08Q03T  C2008 08 25.88623 21 51 06.79 +04 52 50.6                oz4631246
h5548K08Q03T  C2008 08 25.88704 21 51 06.72 +04 52 51.1                oz4631246
h5548K08Q03T  C2008 08 25.88785 21 51 06.62 +04 52 51.5                oz4631246
h5548K08Q03T  C2008 08 25.88865 21 51 06.55 +04 52 51.6                oz4631246
h5548K08Q03T  C2008 08 25.89231 21 51 06.13 +04 52 52.0          18.7 Voz4631A44
h5548K08Q03T  C2008 08 25.94621 21 51 00.29 +04 53 00.1          18.4 Rvz4631204
h5548K08Q03T  C2008 08 25.95255 21 50 59.59 +04 53 01.4                vz4631204
h5548K08Q03T  C2008 08 26.01324 21 50 52.59 +04 53 09.5                rz4631B18
h5548K08Q03T  C2008 08 26.01465 21 50 52.48 +04 53 09.9                rz4631B18
h5548K08Q03T  C2008 08 26.01536 21 50 52.36 +04 53 10.5                rz4631B18
h5548K08Q03T  C2008 08 26.01606 21 50 52.25 +04 53 10.5                rz4631B18
h5548K08Q03T  C2008 08 26.18221 21 50 35.50 +04 53 35.5          18.8 Voz4631H55
h5548K08Q03T  C2008 08 26.18497 21 50 35.17 +04 53 36.5          18.8 Voz4631H55
h5548K08Q03T  C2008 08 26.18726 21 50 34.93 +04 53 36.6          18.9 Voz4631H55
h5548K08Q03T  C2008 08 26.18946 21 50 34.67 +04 53 36.7          18.9 Voz4631H55
h5548K08Q03T  C2008 08 26.19195 21 50 34.43 +04 53 36.9          19.1 Voz4631H55
h5548K08Q03T  C2008 08 26.19425 21 50 34.15 +04 53 37.5          19.0 Voz4631H55
h5548K08Q03T 5C2008 08 26.28854 21 50 24.12 +04 53 52.9          19.4 Roz4631673
h5548K08Q03T 5C2008 08 26.29896 21 50 22.97 +04 53 53.4                oz4631673
h5548K08Q03T 5C2008 08 26.30938 21 50 21.81 +04 53 55.0                oz4631673
h5548K08Q03T 5C2008 08 26.33090 21 50 19.45 +04 53 57.9                oz4631673
h5548K08Q03T  C2008 08 26.87700 21 49 21.52 +04 55 08.3          18.7 Rrz4631106
h5548K08Q03T  C2008 08 26.87844 21 49 21.38 +04 55 08.6          17.9 Roz4631185
h5548K08Q03T  C2008 08 26.87858 21 49 21.31 +04 55 08.7          18.2 Rrz4631106
h5548K08Q03T  C2008 08 26.88014 21 49 21.19 +04 55 09.3          18.5 Rrz4631106
h5548K08Q03T  C2008 08 26.88171 21 49 20.94 +04 55 08.9          18.6 Rrz4631106
h5548K08Q03T  C2008 08 26.88329 21 49 20.80 +04 55 09.6          18.0 Rrz4631106
h5548K08Q03T  C2008 08 26.88469 21 49 20.72 +04 55 09.3          17.8 Roz4631185
h5548K08Q03T  C2008 08 26.88486 21 49 20.64 +04 55 09.9          18.2 Rrz4631106
h5548K08Q03T  C2008 08 26.88643 21 49 20.46 +04 55 09.4          18.1 Rrz4631106
h5548K08Q03T  C2008 08 26.88799 21 49 20.31 +04 55 09.8          18.2 Rrz4631106
h5548K08Q03T  C2008 08 26.88956 21 49 20.11 +04 55 10.1          18.1 Rrz4631106
h5548K08Q03T  C2008 08 26.89114 21 49 19.93 +04 55 10.1          18.3 Rrz4631106
h5548K08Q03T  C2008 08 26.89271 21 49 19.72 +04 55 10.4          18.4 Rrz4631106
h5548K08Q03T  C2008 08 26.89427 21 49 19.57 +04 55 11.0          17.9 Rrz4631106
h5548K08Q03T  C2008 08 27.22844 21 48 43.43 +04 55 54.5          19.0 Voz4631H55
h5548K08Q03T  C2008 08 27.23135 21 48 43.15 +04 55 55.1          19.0 Voz4631H55
h5548K08Q03T  C2008 08 27.23497 21 48 42.73 +04 55 55.5          18.6 Voz4631H55
h5548K08Q03T  C2008 08 27.23761 21 48 42.43 +04 55 55.6          18.9 Voz4631H55
h5548K08Q03T  C2008 08 27.24087 21 48 42.07 +04 55 56.0          19.3 Voz4631H55
h5548K08Q03T  C2008 08 27.89029 21 47 32.01 +04 57 10.3                oz4631246
h5548K08Q03T  C2008 08 27.89104 21 47 31.95 +04 57 10.2                oz4631246
h5548K08Q03T  C2008 08 27.89485 21 47 31.49 +04 57 10.5                oz4631246
h5548K08Q03T  C2008 08 27.89638 21 47 31.36 +04 57 10.8                oz4631246
h5548K08Q03T  C2008 08 27.89708 21 47 31.26 +04 57 11.5                oz4631246
h5548K08Q03T  C2008 08 27.89789 21 47 31.16 +04 57 11.5                oz4631246
h5548K08Q03T  C2008 08 27.89869 21 47 31.06 +04 57 11.2                oz4631246
h5548K08Q03T  C2008 08 27.97636 21 47 22.35 +04 57 19.9          18.5 Voz4631151
h5548K08Q03T  C2008 08 27.97781 21 47 22.17 +04 57 20.2          18.7 Voz4631151
h5548K08Q03T  C2008 08 27.97925 21 47 21.97 +04 57 20.5          18.7 Voz4631151
h5548K08Q03T  C2008 08 27.98159 21 47 21.73 +04 57 20.9          18.7 Voz4631151
h5548K08Q03T  C2008 08 28.11415 21 47 07.91 +04 57 36.6          19.2 Voz4631H55
h5548K08Q03T  C2008 08 28.11647 21 47 07.66 +04 57 36.9          18.9 Voz4631H55
h5548K08Q03T  C2008 08 28.11878 21 47 07.37 +04 57 37.2          19.1 Voz4631H55
h5548K08Q03T  C2008 08 28.12108 21 47 07.13 +04 57 37.3          19.0 Voz4631H55
h5548K08Q03T  C2008 08 28.87989 21 45 43.68 +04 58 53.1          18.7 Vcz4631B23
h5548K08Q03T  C2008 08 28.90111 21 45 41.31 +04 58 55.6          19.2 Vcz4631560
h5548K08Q03T  C2008 08 28.90196 21 45 41.21 +04 58 55.6          19.3 Vcz4631560
h5548K08Q03T  C2008 08 28.90253 21 45 41.17 +04 58 55.5          19.2 Vcz4631560
h5548K08Q03T  C2008 08 29.82286 21 43 59.42 +05 00 11.8          18.6 Voz4631151
h5548K08Q03T  C2008 08 29.82844 21 43 58.80 +05 00 12.4          19.2 Voz4631151
h5548K08Q03T  C2008 08 30.13181 21 43 24.83 +05 00 37.6          18.5 Voz5256H55
h5548K08Q03T  C2008 08 30.13412 21 43 24.59 +05 00 37.8          18.7 Voz5256H55
h5548K08Q03T  C2008 08 30.13643 21 43 24.32 +05 00 37.8          18.7 Voz5256H55
h5548K08Q03T  C2008 08 30.13952 21 43 23.95 +05 00 37.9          18.7 Voz5256H55
h5548K08Q03T  C2008 08 30.83263 21 42 06.20 +05 01 21.4                oz5256046
h5548K08Q03T  C2008 08 30.83384 21 42 06.09 +05 01 21.4                oz5256046
h5548K08Q03T  C2008 08 30.83745 21 42 05.64 +05 01 21.0                oz5256046
h5548K08Q03T  C2008 08 30.83870 21 42 05.45 +05 01 22.3                oz5256046
h5548K08Q03T  C2008 08 30.83984 21 42 05.35 +05 01 21.3                oz5256046
h5548K08Q03T  C2008 08 30.84102 21 42 05.23 +05 01 21.5                oz5256046
h5548K08Q03T  C2008 08 30.84238 21 42 05.09 +05 01 21.6                oz5256046
h5548K08Q03T  C2008 08 30.86613 21 42 02.41 +05 01 23.0          18.6 Voz5256151
h5548K08Q03T  C2008 08 30.86906 21 42 02.06 +05 01 23.3          19.0 Voz5256151
h5548K08Q03T  C2008 08 30.87200 21 42 01.71 +05 01 23.2          19.1 Voz5256151
h5548K08Q03T  C2008 08 30.87954 21 42 00.76 +05 01 24.0                oz5256246
h5548K08Q03T  C2008 08 30.88031 21 42 00.66 +05 01 24.0                oz5256246
h5548K08Q03T  C2008 08 30.88125 21 42 00.54 +05 01 23.9                oz5256246
h5548K08Q03T  C2008 08 30.88307 21 42 00.35 +05 01 24.3                oz5256246
