     K08R00V* C2008 09 02.45621 21 31 57.79 -57 41 24.3          16.5 Vrz5272E12
     K08R00V  C2008 09 02.47381 21 32 48.87 -57 37 52.7          16.5 Vrz5272E12
     K08R00V  C2008 09 02.48257 21 33 14.18 -57 36 06.2          16.4 Vrz5272E12
     K08R00V  C2008 09 02.53326 21 35 39.37 -57 25 34.2          16.7 Vrz5272E12
     K08R00V  C2008 09 02.53395 21 35 41.31 -57 25 25.7          16.7 Vrz5272E12
     K08R00V  C2008 09 02.53462 21 35 43.22 -57 25 17.5          16.6 Vrz5272E12
     K08R00V  C2008 09 02.53530 21 35 45.16 -57 25 08.4          16.8 Vrz5272E12
     K08R00V  C2008 09 02.53600 21 35 47.07 -57 24 59.5          16.6 Vrz5272E12
     K08R00V  C2008 09 02.54801 21 36 21.08 -57 22 17.5          16.6 Rrz5272E16
     K08R00V  C2008 09 02.55170 21 36 31.52 -57 21 30.0          16.6 Rrz5272E16
     K08R00V  C2008 09 02.55549 21 36 42.21 -57 20 41.4          16.5 Rrz5272E16
     K08R00V  C2008 09 02.58176 21 37 56.56 -57 14 58.9          16.6 Rrz5272E16
     K08R00V  C2008 09 02.58519 21 38 05.96 -57 14 23.0          16.6 Vrz5272E12
     K08R00V  C2008 09 02.59248 21 38 26.44 -57 12 46.9          16.4 Vrz5272E12
     K08R00V  C2008 09 02.59957 21 38 46.32 -57 11 12.5          16.5 Vrz5272E12
     K08R00V  C2008 09 02.66111 21 41 38.14 -56 57 18.7          16.5 Vrz5272E12
     K08R00V  C2008 09 02.66292 21 41 43.11 -56 56 53.5          16.2 Vrz5272E12
     K08R00V  C2008 09 02.71168 21 43 58.72 -56 45 32.5          16.4 Vrz5272E12
     K08R00V  C2008 09 02.71475 21 44 07.22 -56 44 49.4          16.2 Vrz5272E12
     K08R00V  C2008 09 02.71782 21 44 15.86 -56 44 05.8          16.4 Vrz5272E12
     K08R00V  C2008 09 02.72090 21 44 24.36 -56 43 22.2          16.5 Vrz5272E12
     K08R00V  C2008 09 03.22265 22 06 35.40 -54 47 32.0          16.7 Rrz5272I77
     K08R00V  C2008 09 03.22527 22 06 41.61 -54 46 51.8          16.5 Rrz5272I77
     K08R00V  C2008 09 03.22829 22 06 48.78 -54 46 05.7          16.5 Rrz5272I77
     K08R00V  C2008 09 05.38924 23 12 42.76 -45 36 36.3          16.2 Roz5272474
     K08R00V  C2008 09 05.39005 23 12 43.77 -45 36 24.8          16.3 Roz5272474
     K08R00V  C2008 09 05.39381 23 12 48.50 -45 35 30.5          16.3 Roz5272474
     K08R00V  C2008 09 05.39531 23 12 50.37 -45 35 08.7          16.3 Roz5272474
     K08R00V  C2008 09 05.55723 23 16 05.26 -44 55 47.3          16.3 Roz5272474
     K08R00V  C2008 09 05.55862 23 16 06.89 -44 55 26.7          16.4 Roz5272474
     K08R00V  C2008 09 05.56001 23 16 08.52 -44 55 06.1          16.3 Roz5272474
     K08R00V  C2008 09 06.50457 23 33 30.87 -41 12 06.6          16.2 Roz5956474
     K08R00V  C2008 09 06.50561 23 33 31.85 -41 11 52.8          16.2 Roz5956474
     K08R00V  C2008 09 06.50712 23 33 33.19 -41 11 32.6          16.2 Roz5956474
     K08R00V  C2008 09 07.63705 23 49 20.446-37 11 14.71         16.6 Rrz5956E12
     K08R00V  C2008 09 07.66428 23 49 38.429-37 05 44.89         16.7 Rrz5956E12
     K08R00V  C2008 09 07.67793 23 49 47.426-37 02 59.24         16.6 Rrz5956E12
     K08R00V  C2008 09 10.53463 00 15 37.742-29 00 43.32         16.8 Rrz5956E12
     K08R00V  C2008 09 10.53498 00 15 37.872-29 00 40.38         16.8 Rrz5956E12
     K08R00V  C2008 09 10.53534 00 15 38.000-29 00 37.49         16.8 Rrz5956E12
     K08R00V  C2008 09 10.53569 00 15 38.123-29 00 34.36         16.8 Rrz5956E12
     K08R00V  C2008 09 10.53605 00 15 38.244-29 00 31.50         16.9 Rrz5956E12
     K08R00V  C2008 09 13.24201 00 29 46.42 -23 34 42.9                rz8052808
     K08R00V  C2008 09 13.24826 00 29 47.57 -23 34 07.4                rz8052808
     K08R00V  C2008 09 17.63969 00 43 01.681-17 35 56.54         17.6 Rrz6807E12
     K08R00V  C2008 09 17.64440 00 43 02.14 -17 35 38.1          17.7 Rrz6807E12
     K08R00V  C2008 09 18.27712 00 44 21.27 -16 57 23.8          17.9 Voz6807H55
     K08R00V  C2008 09 18.28298 00 44 21.80 -16 57 02.4          17.9 Voz6807H55
     K08R00V  C2008 09 18.28691 00 44 22.15 -16 56 47.4          17.8 Voz6807H55
     K08R00V  C2008 09 18.29085 00 44 22.50 -16 56 33.6          17.8 Voz6807H55
     K08R00V  C2008 09 18.29432 00 44 22.83 -16 56 20.8          17.9 Voz6807H55
     K08R00V  C2008 09 19.29214 00 46 14.74 -15 58 11.7          18.0  cz6807704
     K08R00V  C2008 09 19.30400 00 46 15.62 -15 57 32.9          18.1  cz6807704
     K08R00V  C2008 09 19.31584 00 46 16.48 -15 56 53.7          18.4  cz6807704
     K08R00V  C2008 09 19.32770 00 46 17.38 -15 56 14.7          18.2  cz6807704
     K08R00V  C2008 09 19.33955 00 46 18.26 -15 55 34.8          18.1  cz6807704
     K08R00V  C2008 09 19.44436 00 46 26.21 -15 49 42.8          17.5 Rrz6807448
     K08R00V  C2008 09 19.45035 00 46 26.71 -15 49 22.9          17.8 Rrz6807448
     K08R00V  C2008 09 19.45698 00 46 27.25 -15 49 00.5          18.3 Rrz6807448
     K08R00V  C2008 09 26.21398 00 54 05.97 -11 03 47.0          19.1 Voz8052H55
     K08R00V  C2008 09 26.21883 00 54 06.08 -11 03 37.7          19.2 Voz8052H55
     K08R00V  C2008 09 26.22365 00 54 06.20 -11 03 28.2          19.1 Voz8052H55
     K08R00V  C2008 09 26.95411 00 54 36.16 -10 40 18.5          18.4 Coz8052J65
     K08R00V  C2008 09 27.21376700 54 45.72 -10 32 10.4          18.6 Voz8052H55
     K08R00V  C2008 09 27.21690000 54 45.79 -10 32 04.7          18.3 Voz8052H55
     K08R00V  C2008 09 27.22002800 54 45.84 -10 31 59.2          18.5 Voz8052H55
     K08R00V  C2008 09 28.89330 00 55 42.59 -09 43 22.1                oz8052046
     K08R00V  C2008 09 28.89418 00 55 42.67 -09 43 20.8                oz8052046
     K08R00V  C2008 09 28.89494 00 55 42.74 -09 43 21.0                oz8052046
     K08R00V  C2008 09 28.89567 00 55 42.74 -09 43 18.9                oz8052046
     K08R00V  C2008 09 28.89644 00 55 42.74 -09 43 18.1                oz8052046
     K08R00V  C2008 09 28.89725 00 55 42.76 -09 43 14.8                oz8052046
     K08R00V  C2008 10 01.28637 00 56 44.31 -08 41 22.2          19.3 Vo~004SH55
     K08R00V  C2008 10 01.29023 00 56 44.35 -08 41 16.4          19.5 Vo~004SH55
     K08R00V  C2008 10 01.29409 00 56 44.37 -08 41 10.9          19.3 Vo~004SH55
     K08R00V  C2008 10 04.21058 00 57 42.45 -07 35 24.6          19.9 Voz9336H55
     K08R00V  C2008 10 04.21311 00 57 42.48 -07 35 21.5          19.7 Voz9336H55
     K08R00V  C2008 10 04.21540 00 57 42.50 -07 35 18.6          19.4 Voz9336H55
     K08R00V  C2008 10 17.17016 01 00 12.12 -03 59 56.1          20.1 Vo~004S291
     K08R00V  C2008 10 17.17552 01 00 12.11 -03 59 51.6          20.0 Vo~004S291
     K08R00V  C2008 10 17.18094 01 00 12.14 -03 59 47.4          20.1 Vo~004S291
     K08R00V  C2008 10 30.29936501 03 18.557-01 22 19.24MPS38918521.20r 76269645
     K08R00V  C2008 10 30.30268201 03 18.602-01 22 17.11MPS389185       76269645
     K08R00V  C2008 11 03.29779 01 04 46.64 -00 39 15.4          22.0 Vo~00rL291
     K08R00V  C2008 11 03.30319 01 04 46.71 -00 39 11.9          21.6 Vo~00rL291
     K08R00V  C2008 11 03.30856 01 04 46.81 -00 39 08.3          21.8 Vo~00rL291
