     K08S82H* C2008 09 26.21299 21 58 45.98 +05 04 54.4          20.6 Vrz8163G96
     K08S82H  C2008 09 26.21962 21 58 45.26 +05 04 54.0          20.6 Vrz8163G96
     K08S82H  C2008 09 26.22626 21 58 44.58 +05 04 53.2          20.5 Vrz8163G96
     K08S82H  C2008 09 26.23279 21 58 43.93 +05 04 52.2          20.9 Vrz8163G96
     K08S82H  C2008 09 26.87838 21 57 42.99 +05 03 26.5                rz8163J95
     K08S82H IC2008 09 26.89252 21 57 41.61 +05 03 25.1                rz8163J95
     K08S82H IC2008 09 26.90396 21 57 40.41 +05 03 24.4          20.8 Rrz8163J95
     K08S82H  C2008 09 27.11908 21 57 20.33 +05 03 01.2          20.3 Voz8163H55
     K08S82H  C2008 09 27.12526 21 57 19.72 +05 03 01.0          20.3 Voz8163H55
     K08S82H  C2008 09 27.13143 21 57 19.05 +05 03 00.1          20.5 Voz8163H55
     K08S82H  C2008 09 27.19620 21 57 12.68 +05 02 50.6          20.5 Rrz8163H36
     K08S82H  C2008 09 27.20730 21 57 11.56 +05 02 50.5          20.9 Rrz8163H36
     K08S82H  C2008 09 27.21660 21 57 10.85 +05 02 51.1          20.5 Vrz8163G96
     K08S82H  C2008 09 27.22425 21 57 10.10 +05 02 50.3          21.0 Vrz8163G96
     K08S82H  C2008 09 27.23947 21 57 08.49 +05 02 48.3          20.1 Vrz8163G96
     K08S82H  C2008 09 29.25248 21 54 02.27 +04 58 18.1          20.7 Voz8163291
     K08S82H  C2008 09 29.25651 21 54 01.87 +04 58 17.4          20.8 Voz8163291
     K08S82H  C2008 09 29.26018 21 54 01.52 +04 58 17.2          20.8 Voz8163291
     K08S82H  C2008 10 01.12354 21 51 16.77 +04 53 43.9          20.8 Vrz8163G96
     K08S82H  C2008 10 01.12899 21 51 16.27 +04 53 42.8          20.8 Vrz8163G96
     K08S82H  C2008 10 01.13440 21 51 15.76 +04 53 42.1          20.8 Vrz8163G96
     K08S82H  C2008 10 01.13971 21 51 15.26 +04 53 41.6          20.8 Vrz8163G96
     K08S82H  C2008 10 01.30919 21 50 59.11 +04 53 15.6          21.0 Voz8163291
     K08S82H  C2008 10 01.31473 21 50 58.61 +04 53 14.7          21.0 Voz8163291
     K08S82H  C2008 10 01.31840 21 50 58.27 +04 53 14.2          20.9 Voz8163291
     K08S82H  C2008 10 02.05365 21 49 56.58 +04 51 19.8          20.1 Voz8163H55
     K08S82H  C2008 10 02.15386 21 49 47.90 +04 51 06.0          20.7 Voz8163291
     K08S82H  C2008 10 02.15765 21 49 47.57 +04 51 05.4          20.7 Voz8163291
     K08S82H  C2008 10 02.16140 21 49 47.20 +04 51 04.8          20.8 Voz8163291
     K08S82H  C2008 10 02.16454 21 49 46.54 +04 51 01.6          20.7 Rrz8163H36
     K08S82H  C2008 10 03.07424 21 48 30.82 +04 48 38.7          20.7 Voz9385H55
     K08S82H  C2008 10 03.08389 21 48 29.96 +04 48 37.1          20.9 Voz9385H55
     K08S82H  C2008 10 03.09193 21 48 29.25 +04 48 35.7          20.7 Voz9385H55
     K08S82H  C2008 10 03.33392 21 48 07.92 +04 47 59.1                oz8163291
     K08S82H  C2008 10 03.33769 21 48 07.58 +04 47 58.6                oz8163291
     K08S82H  C2008 10 05.05983 21 45 51.65 +04 43 18.7          20.1 Voz9385H55
     K08S82H  C2008 10 05.06975 21 45 50.76 +04 43 17.3          20.6 Voz9385H55
     K08S82H  C2008 10 05.08005 21 45 49.90 +04 43 15.8          20.3 Voz9385H55
     K08S82H  C2008 10 06.05628 21 44 35.65 +04 40 35.9          20.6 Voz9385H55
     K08S82H  C2008 10 06.06643 21 44 34.79 +04 40 34.3          20.7 Voz9385H55
     K08S82H  C2008 10 06.07660 21 44 33.94 +04 40 33.2          20.4 Voz9385H55
     K08S82H  C2008 10 08.09459 21 42 09.33 +04 35 05.6          20.7 Voz9385291
     K08S82H  C2008 10 08.09844 21 42 09.02 +04 35 04.9          20.9 Voz9385291
     K08S82H  C2008 10 08.10630 21 42 08.39 +04 35 03.5          20.3 Voz9385291
     K08S82H  C2008 10 10.03360 21 40 01.64 +04 29 50.3                o~004jH55
     K08S82H  C2008 10 10.04403 21 40 00.90 +04 29 48.5                o~004jH55
     K08S82H  C2008 10 10.05434 21 40 00.16 +04 29 46.6          20.5 Vo~004jH55
     K08S82H  C2008 10 12.03706 21 38 02.64 +04 24 37.9          20.7 Vo~004jH55
     K08S82H  C2008 10 15.11494 21 35 26.74 +04 17 13.1          20.4 Rr~004j448
     K08S82H  C2008 10 17.04270 21 34 06.85 +04 12 57.5          20.4 Vo~00BLH55
     K08S82H  C2008 10 17.05010 21 34 06.54 +04 12 56.3          20.3 Vo~00BLH55
     K08S82H  C2008 10 17.05829 21 34 06.17 +04 12 54.8          20.4 Vo~00BLH55
     K08S82H  C2008 10 17.11472 21 34 04.11 +04 12 51.8                o~004j291
     K08S82H  C2008 10 17.12035 21 34 03.84 +04 12 51.0                o~004j291
     K08S82H  C2008 10 19.02938 21 32 59.18 +04 09 03.6          20.4 Vo~00BLH55
     K08S82H  C2008 10 19.03757 21 32 58.82 +04 09 02.6          20.3 Vo~00BLH55
     K08S82H  C2008 10 19.04544 21 32 58.51 +04 09 01.3          20.4 Vo~00BLH55
     K08S82H  C2008 10 20.01794 21 32 31.24 +04 07 19.0          19.9 Vo~00BLH55
     K08S82H  C2008 10 20.02574 21 32 30.93 +04 07 18.1          20.1 Vo~00BLH55
     K08S82H  C2008 10 20.03356 21 32 30.66 +04 07 17.5          20.4 Vo~00BLH55
     K08S82H  C2008 10 20.07966 21 32 29.51 +04 07 15.0          19.8 Rr~00BL448
     K08S82H  C2008 10 20.12209 21 32 28.02 +04 07 10.9          19.4 Rr~00BL448
     K08S82H  C2008 10 20.14131 21 32 27.32 +04 07 09.7          20.4 Rr~00BL448
     K08S82H  C2008 10 22.00992 21 31 46.53 +04 04 13.2          20.6 Vo~00BLH55
     K08S82H  C2008 10 22.02633 21 31 46.07 +04 04 11.5          20.9 Vo~00BLH55
     K08S82H  C2008 10 22.03812 21 31 45.75 +04 04 10.2                o~00BLH55
     K08S82H  C2008 10 25.09049421 31 09.022+04 00 50.62MPS38918621.00r 76270645
     K08S82H  C2008 10 25.09132321 31 09.012+04 00 50.62MPS38918620.80i 76270645
     K08S82H  C2008 10 25.09381121 31 08.962+04 00 50.54MPS38918621.66g 76270645
     K08S82H  C2008 10 26.01313 21 31 05.94 +04 00 07.3          20.3 Vo~00RDH55
     K08S82H  C2008 10 26.02056 21 31 05.87 +04 00 07.0          20.3 Vo~00RDH55
     K08S82H  C2008 10 26.02936 21 31 05.74 +04 00 06.7          20.4 Vo~00RDH55
     K08S82H  C2008 10 26.06717 21 31 05.90 +04 00 07.9          20.5 Rr~00RD448
     K08S82H  C2008 10 26.09690 21 31 05.54 +04 00 07.5          20.2 Rr~00RD448
     K08S82H  C2008 10 26.12665 21 31 05.12 +04 00 06.1          19.9 Rr~00RD448
     K08S82H  C2008 10 29.01712 21 31 20.49 +03 59 11.8          20.5 Vo~00RDH55
     K08S82H  C2008 10 31.04547 21 31 52.53 +03 59 47.2                o~00RDH55
     K08S82H  C2008 10 31.05496 21 31 52.64 +03 59 47.4          20.3 Vo~00RDH55
     K08S82H  C2008 10 31.06365 21 31 53.37 +03 59 51.1          20.4 Rr~00RD448
     K08S82H  C2008 10 31.06520 21 31 52.76 +03 59 47.6          20.3 Vo~00RDH55
     K08S82H  C2008 10 31.09364 21 31 53.55 +03 59 52.2          19.8 Rr~00RD448
     K08S82H  C2008 10 31.12386 21 31 53.86 +03 59 52.5          20.5 Rr~00RD448
     K08S82H  C2008 11 04.06841 21 33 52.35 +04 04 12.0          19.8 Rr~00ry448
     K08S82H  C2008 11 04.09537 21 33 53.12 +04 04 14.6          20.3 Rr~00ry448
     K08S82H  C2008 11 04.12232 21 33 53.84 +04 04 17.2          20.1 Rr~00ry448
     K08S82H  C2008 11 06.10261 21 35 20.58 +04 08 05.3          20.1 Vo~01NZH55
     K08S82H  C2008 11 06.11837 21 35 21.17 +04 08 06.5          20.2 Vo~01NZH55
     K08S82H  C2008 11 11.11257 21 40 26.73 +04 23 20.9          19.4 Rr~01NZ448
     K08S82H  C2008 11 11.13060 21 40 27.80 +04 23 24.9          20.1 Rr~01NZ448
     K08S82H  C2008 11 11.15741 21 40 29.45 +04 23 31.0          20.0 Rr~01NZ448
     K08S82H  C2008 11 17.06299 21 49 24.42 +04 52 25.7          19.8 Rr~01NZH45
     K08S82H  C2008 11 17.06632 21 49 24.80 +04 52 26.2          19.9 Rr~01NZH45
     K08S82H  C2008 11 17.06802 21 49 24.89 +04 52 27.6          20.0 Rr~01NZH45
     K08S82H  C2008 11 17.06970 21 49 25.11 +04 52 28.0          19.9 Rr~01NZH45
     K08S82H  C2008 11 17.07137 21 49 25.24 +04 52 28.8          19.9 Rr~01NZH45
     K08S82H  C2008 11 17.07426 21 49 25.48 +04 52 29.5          19.9 Rr~01NZH45
     K08S82H  C2008 11 25.03200 22 07 46.45 +05 54 11.1          19.8 Vo~01gZH55
     K08S82H  C2008 11 25.03555 22 07 47.04 +05 54 12.5          19.8 Vo~01gZH55
     K08S82H  C2008 11 25.03945 22 07 47.69 +05 54 15.0          19.7 Vo~01gZH55
     K08S82H  C2008 11 27.07413 22 14 03.41 +06 15 30.7          20.0 Rr~01gZH45
     K08S82H  C2008 11 27.07694 22 14 03.91 +06 15 31.5          19.9 Rr~01gZH45
     K08S82H  C2008 11 27.07846 22 14 04.21 +06 15 32.5          20.0 Rr~01gZH45
     K08S82H  C2008 11 27.07994 22 14 04.49 +06 15 33.5          20.1 Rr~01gZH45
     K08S82H  C2008 11 27.08145 22 14 04.75 +06 15 34.3          19.9 Rr~01gZH45
     K08S82H  C2008 11 27.08288 22 14 05.00 +06 15 35.4          20.0 Rr~01gZH45
     K08S82H  C2008 12 10.12433 23 22 50.64 +09 54 01.7          19.1 Rr~02Mq448
     K08S82H  C2008 12 10.13256 23 22 54.55 +09 54 14.2          19.0 Rr~02Mq448
     K08S82H  C2008 12 10.13899 23 22 57.38 +09 54 21.1          18.4 Rr~02Mq448
     K08S82H  C2008 12 13.06543523 50 05.97 +11 08 20.8          19.3 Vo~02MqH55
     K08S82H  C2008 12 13.06698523 50 06.86 +11 08 23.2          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.06862123 50 07.86 +11 08 25.9          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.07043923 50 08.94 +11 08 28.8          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.07225723 50 10.03 +11 08 31.6          19.0 Vo~02MqH55
     K08S82H  C2008 12 13.07435023 50 11.27 +11 08 34.9          19.2 Vo~02MqH55
     K08S82H  C2008 12 19.75963 01 20 27.17 +14 07 11.9          18.3 Rr~02Q1130
     K08S82H  C2008 12 19.76389 01 20 31.32 +14 07 17.7          18.5 Rr~02Q1130
     K08S82H  C2008 12 19.76614 01 20 33.46 +14 07 21.0          18.3 Rr~02Q1130
     K08S82H  C2008 12 20.73283 01 37 03.56 +14 27 35.4          17.9 Vo~02Q1A78
     K08S82H  C2008 12 20.73805 01 37 08.82 +14 27 41.0          17.8 Vo~02Q1A78
     K08S82H  C2008 12 20.74311 01 37 13.98 +14 27 47.5          17.7 Vo~02Q1A78
     K08S82H  C2008 12 20.74594 01 37 16.84 +14 27 51.8          17.8 Vo~02Q1A78
     K08S82H  C2008 12 21.20825 01 45 20.05 +14 36 37.3          17.7 Vr~02Q1703
     K08S82H  C2008 12 21.21611 01 45 28.08 +14 36 44.7          17.6 Vr~02Q1703
     K08S82H  C2008 12 21.22405 01 45 36.28 +14 36 52.5          17.6 Vr~02Q1703
     K08S82H  C2008 12 21.23185 01 45 44.31 +14 37 00.1          17.5 Vr~02Q1703
     K08S82H  C2008 12 21.75231 01 55 09.84 +14 45 04.6          17.8 Vc~02Q1560
     K08S82H  C2008 12 21.75298 01 55 10.56 +14 45 05.5          17.7 Vc~02Q1560
     K08S82H  C2008 12 21.75381 01 55 11.45 +14 45 06.7          17.8 Vc~02Q1560
     K08S82H  C2008 12 22.13768 02 02 07.92 +14 50 55.3          17.9  c~02Q1704
     K08S82H  C2008 12 22.15050 02 02 21.41 +14 51 05.3          18.3  c~02Q1704
     K08S82H  C2008 12 22.16343 02 02 35.06 +14 51 15.4          18.1  c~02Q1704
     K08S82H  C2008 12 22.17615 02 02 48.48 +14 51 24.7          18.1  c~02Q1704
