     K08S00R* C2008 09 21.43219 02 44 23.38 +32 40 13.7          21.0 Vrz6842G96
     K08S00R  C2008 09 21.44174 02 44 25.26 +32 40 22.8          21.4 Vrz6842G96
     K08S00R  C2008 09 21.45126 02 44 27.06 +32 40 32.4          21.7 Vrz6842G96
     K08S00R  C2008 09 21.46080 02 44 28.96 +32 40 41.7          21.2 Vrz6842G96
     K08S00R  C2008 09 21.49437 02 44 35.47 +32 41 14.6          21.3 Vrz6842G96
     K08S00R  C2008 09 21.49801 02 44 36.14 +32 41 18.1          21.0 Vrz6842G96
     K08S00R  C2008 09 21.50165 02 44 36.88 +32 41 21.6          21.3 Vrz6842G96
     K08S00R  C2008 09 21.50529 02 44 37.57 +32 41 24.6                rz6842G96
     K08S00R  C2008 09 21.89637 02 46 00.16 +32 47 35.8                rz6842J95
     K08S00R  C2008 09 21.91347 02 46 03.62 +32 47 53.0          20.8 Rrz6842J95
     K08S00R  C2008 09 22.28178 02 47 18.93 +32 54 05.4          21.3 Voz6842H55
     K08S00R  C2008 09 22.29049 02 47 20.66 +32 54 14.1          21.5 Voz6842H55
     K08S00R HC2008 09 22.29567 02 47 22.33 +32 54 19.3                oz6842291
     K08S00R  C2008 09 22.29740 02 47 22.70 +32 54 22.2          20.7 Vrz6842G96
     K08S00R  C2008 09 22.29858 02 47 22.21 +32 54 21.9          21.4 Voz6842H55
     K08S00R  C2008 09 22.30002 02 47 23.23 +32 54 24.2          21.6 Voz6842291
     K08S00R  C2008 09 22.30434 02 47 24.08 +32 54 29.0          21.3 Voz6842291
     K08S00R  C2008 09 22.30914 02 47 25.00 +32 54 33.8          21.0 Vrz6842G96
     K08S00R  C2008 09 22.32080 02 47 27.31 +32 54 45.6          20.7 Vrz6842G96
     K08S00R  C2008 09 22.33248 02 47 29.58 +32 54 57.3          21.0 Vrz6842G96
     K08S00R  C2008 09 23.24581 02 50 38.82 +33 09 20.5          21.4 Voz6842291
     K08S00R  C2008 09 23.25038 02 50 39.73 +33 09 24.9          21.2 Voz6842291
     K08S00R  C2008 09 23.25478 02 50 40.57 +33 09 29.5          21.4 Voz6842291
     K08S00R  C2008 09 24.34398 02 54 24.76 +33 26 06.7          21.2 Voz6842H55
     K08S00R  C2008 09 24.34863 02 54 25.63 +33 26 10.3          21.1 Voz6842H55
     K08S00R  C2008 09 24.35462 02 54 26.85 +33 26 15.8          21.4 Voz6842H55
     K08S00R  C2008 09 25.34120 02 57 51.93 +33 40 36.2          21.1 Voz9352H55
     K08S00R  C2008 09 25.34940 02 57 53.50 +33 40 44.2          21.2 Voz9352H55
     K08S00R  C2008 09 26.34505 03 01 20.96 +33 54 32.5          21.5 Voz9352H55
     K08S00R  C2008 09 26.35789 03 01 23.56 +33 54 42.8          21.5 Voz9352H55
     K08S00R  C2008 09 26.36837 03 01 25.63 +33 54 51.4          21.4 Voz9352H55
     K08S00R  C2008 09 28.30719 03 08 10.82 +34 19 44.6          21.6 Voz8078H55
     K08S00R  C2008 09 28.31640 03 08 12.67 +34 19 51.6          21.4 Voz8078H55
     K08S00R  C2008 09 28.32559 03 08 14.50 +34 19 58.2          21.5 Voz8078H55
     K08S00R  C2008 10 03.32152 03 25 34.58 +35 11 17.2          20.9 Voz9352H55
     K08S00R  C2008 10 03.33436 03 25 37.10 +35 11 22.9          20.9 Voz9352H55
     K08S00R  C2008 10 03.34738 03 25 39.62 +35 11 29.9          21.2 Voz9352H55
     K08S00R  C2008 10 04.32501 03 29 01.72 +35 19 14.5          21.1 Vo~004YH55
     K08S00R  C2008 10 04.33005 03 29 02.69 +35 19 16.9          21.0 Vo~004YH55
     K08S00R  C2008 10 04.33480 03 29 03.65 +35 19 19.5                o~004YH55
     K08S00R  C2008 10 05.30712 03 32 23.68 +35 26 14.4                o~004YH55
     K08S00R  C2008 10 05.31615 03 32 25.47 +35 26 19.2          20.8 Vo~004YH55
     K08S00R  C2008 10 05.32614 03 32 27.32 +35 26 24.5                o~004YH55
     K08S00R  C2008 10 10.27980 03 49 04.58 +35 49 35.1                o~004YH55
     K08S00R  C2008 10 10.28767 03 49 06.04 +35 49 36.4          21.2 Vo~004YH55
     K08S00R  C2008 10 10.29574 03 49 07.53 +35 49 37.9          21.2 Vo~004YH55
     K08S00R  C2008 10 17.30545 04 11 01.44 +35 47 37.9          20.6 Vo~00B4H55
     K08S00R  C2008 10 17.31435 04 11 02.97 +35 47 35.5          20.4 Vo~00B4H55
     K08S00R  C2008 10 17.32293 04 11 04.29 +35 47 33.2                o~00B4H55
     K08S00R  C2008 10 25.34564 04 32 27.94 +34 57 07.8          21.1 Vo~00QtH55
     K08S00R  C2008 10 25.35881 04 32 29.62 +34 57 00.0          21.1 Vo~00QuH55
     K08S00R  C2008 10 25.36585 04 32 30.51 +34 56 56.2          21.3 Vo~00QuH55
     K08S00R  C2008 11 04.25150 04 51 46.51 +32 54 50.1          20.4 Vo~01NVH55
     K08S00R  C2008 11 04.25552 04 51 46.98 +32 54 46.3          20.4 Vo~01NVH55
     K08S00R  C2008 11 04.26081 04 51 47.38 +32 54 41.6          20.6 Vo~01NVH55
     K08S00R  C2008 11 18.28171 05 05 23.13 +28 50 00.8          20.5 Vo~01NVH55
     K08S00R  C2008 11 19.26677 05 05 49.19 +28 31 19.2          20.3 Vo~01NVH55
     K08S00R  C2008 11 19.27078 05 05 49.24 +28 31 14.8          20.3 Vo~01NVH55
     K08S00R  C2008 11 19.27479 05 05 49.29 +28 31 10.3          20.3 Vo~01NVH55
     K08S00R  C2008 11 19.31812 05 05 50.65 +28 30 24.7          20.0 Vo~01NV691
     K08S00R  C2008 11 19.33577 05 05 50.85 +28 30 05.1          20.1 Vo~01NV691
     K08S00R  C2008 11 19.35343 05 05 51.03 +28 29 44.7          19.8 Vo~01NV691
     K08S00R  C2008 12 04.25520 05 07 05.03 +23 55 31.8          20.0 Vo~01yV691
     K08S00R  C2008 12 04.27476 05 07 04.72 +23 55 12.3          19.8 Vo~01yV691
     K08S00R  C2008 12 04.29444 05 07 04.34 +23 54 52.9          20.0 Vo~01yV691
     K08S00R  C2008 12 31.28403 05 07 37.30 +18 40 38.1          20.2 Vr~02fVG96
     K08S00R  C2008 12 31.29280 05 07 37.38 +18 40 34.8          20.6 Vr~02fVG96
     K08S00R  C2008 12 31.30159 05 07 37.52 +18 40 31.3          21.2 Vr~02fVG96
     K08S00R  C2008 12 31.31032 05 07 37.66 +18 40 28.0          20.3 Vr~02fVG96
