     K08S11V* C2008 09 25.26245 23 28 05.01 -09 27 00.6          20.7 Vrz8086G96
     K08S11V  C2008 09 25.27009 23 28 04.22 -09 27 04.1          20.2 Vrz8086G96
     K08S11V  C2008 09 25.27786 23 28 03.36 -09 27 07.3          20.3 Vrz8086G96
     K08S11V  C2008 09 25.28556 23 28 02.53 -09 27 10.8          20.5 Vrz8086G96
     K08S11V  C2008 09 25.33157 23 27 57.50 -09 27 30.8          20.5 Vrz8086G96
     K08S11V  C2008 09 25.34149 23 27 56.43 -09 27 35.3          20.4 Vrz8086G96
     K08S11V  C2008 09 25.35149 23 27 55.34 -09 27 39.0          20.1 Vrz8086G96
     K08S11V  C2008 09 25.37433 23 27 52.88 -09 27 51.1          19.7 Vrz8086G96
     K08S11V  C2008 09 25.38226 23 27 51.98 -09 27 53.2          20.3 Vrz8086G96
     K08S11V  C2008 09 25.39018 23 27 51.12 -09 27 56.7          20.6 Vrz8086G96
     K08S11V  C2008 09 25.39819 23 27 50.25 -09 28 00.6          20.9 Vrz8086G96
     K08S11V  C2008 09 25.47836 23 27 42.06 -09 28 24.9          20.2 Roz8086474
     K08S11V  C2008 09 25.48148 23 27 41.75 -09 28 27.1          20.1 Roz8086474
     K08S11V  C2008 09 25.48345 23 27 41.54 -09 28 27.3          20.0 Roz8086474
     K08S11V  C2008 09 25.48553 23 27 41.30 -09 28 28.2          19.9 Roz8086474
     K08S11V  C2008 09 25.63412 23 27 25.22 -09 29 34.7                 z8086E10
     K08S11V  C2008 09 25.63522 23 27 25.11 -09 29 35.3                 z8086E10
     K08S11V  C2008 09 25.63638 23 27 25.00 -09 29 35.6                 z8086E10
     K08S11V  C2008 09 25.63756 23 27 24.86 -09 29 36.1                 z8086E10
     K08S11V  C2008 09 26.12987 23 26 32.88 -09 33 20.1          20.9 Voz8086H55
     K08S11V  C2008 09 26.13759 23 26 32.04 -09 33 23.6          20.6 Voz8086H55
     K08S11V  C2008 09 26.14532 23 26 31.18 -09 33 27.0          20.7 Voz8086H55
     K08S11V  C2008 09 26.25166 23 26 19.74 -09 34 12.3          20.4 Voz8086291
     K08S11V  C2008 09 26.25547 23 26 19.31 -09 34 14.0          20.4 Voz8086291
     K08S11V  C2008 09 26.26012 23 26 18.79 -09 34 15.8          20.5 Voz8086291
     K08S11V  C2008 09 27.10552 23 24 48.53 -09 40 20.3          20.6 Voz9358H55
     K08S11V  C2008 09 27.10937 23 24 48.21 -09 40 21.3          20.8 Voz9358H55
     K08S11V  C2008 09 27.11323 23 24 47.70 -09 40 22.2          20.9 Voz9358H55
     K08S11V  C2008 09 28.08359 23 23 03.64 -09 47 15.2          20.6 Voz8086H55
     K08S11V  C2008 09 28.09033 23 23 02.87 -09 47 17.9          20.6 Voz8086H55
     K08S11V  C2008 09 28.09785 23 23 02.08 -09 47 21.8          20.6 Voz8086H55
     K08S11V  C2008 09 29.22786 23 21 00.15 -09 55 10.8          20.3 Rrz8086448
     K08S11V  C2008 09 29.26067 23 20 56.58 -09 55 24.1          20.1 Rrz8086448
     K08S11V  C2008 09 29.26840 23 20 55.73 -09 55 27.4          20.4 Voz8086291
     K08S11V  C2008 09 29.27218 23 20 55.33 -09 55 28.9          20.4 Voz8086291
     K08S11V  C2008 09 29.27587 23 20 54.90 -09 55 30.1          20.6 Voz8086291
     K08S11V  C2008 09 29.29340 23 20 52.93 -09 55 37.7          20.0 Rrz8086448
     K08S11V  C2008 09 30.25403 23 19 09.44 -10 02 07.5          20.7 Vrz8086G96
     K08S11V  C2008 09 30.25516 23 19 09.33 -10 02 08.0          21.2 Vrz8086G96
     K08S11V  C2008 09 30.25625 23 19 09.22 -10 02 08.7          20.4 Vrz8086G96
     K08S11V  C2008 09 30.25733 23 19 09.08 -10 02 08.6          21.1 Vrz8086G96
     K08S11V  C2008 09 30.30091 23 19 04.24 -10 02 26.2          20.3 Rvz8086H01
     K08S11V  C2008 09 30.31545 23 19 02.63 -10 02 32.0          20.3 Rvz8086H01
     K08S11V  C2008 09 30.32580 23 19 01.49 -10 02 35.9          20.2 Rvz8086H01
     K08S11V  C2008 09 30.33755 23 19 00.19 -10 02 40.6          20.2 Rvz8086H01
     K08S11V  C2008 09 30.36957 23 18 56.66 -10 02 53.2          20.9 Voz8086291
     K08S11V  C2008 09 30.37343 23 18 56.27 -10 02 54.4          20.6 Voz8086291
     K08S11V  C2008 09 30.37718 23 18 55.86 -10 02 55.7          21.4 Voz8086291
     K08S11V  C2008 10 01.18422 23 17 29.28 -10 08 16.0          20.4 Rvz8086H01
     K08S11V  C2008 10 01.19249 23 17 28.36 -10 08 19.2          20.7 Rvz8086H01
     K08S11V  C2008 10 01.19687 23 17 27.70 -10 08 22.3                oz9358H55
     K08S11V  C2008 10 01.20479 23 17 26.99 -10 08 24.0          20.6 Rvz8086H01
     K08S11V  C2008 10 01.20507 23 17 26.83 -10 08 24.6          20.6 Voz9358H55
     K08S11V  C2008 10 01.20624 23 17 26.88 -10 08 24.7          20.5 Vrz8086G96
     K08S11V  C2008 10 01.21010 23 17 26.44 -10 08 26.5          20.1 Vrz8086G96
     K08S11V  C2008 10 01.21130 23 17 26.14 -10 08 26.4          20.6 Voz9358H55
     K08S11V  C2008 10 01.21403 23 17 26.01 -10 08 27.9          20.5 Vrz8086G96
     K08S11V  C2008 10 01.21788 23 17 25.58 -10 08 29.5          20.7 Vrz8086G96
     K08S11V  C2008 10 01.24766 23 17 22.13 -10 08 41.3          19.9 Rrz8086H36
     K08S11V  C2008 10 01.26620 23 17 20.14 -10 08 48.7          20.4 Rrz8086H36
     K08S11V  C2008 10 01.29210 23 17 17.35 -10 08 58.2          20.5 Voz8086291
     K08S11V  C2008 10 01.30511 23 17 15.91 -10 09 03.2          20.8 Voz8086291
     K08S11V  C2008 10 01.54458123 16 50.21 -10 10 27.6          20.0 Roz8086E10
     K08S11V  C2008 10 01.54638423 16 50.02 -10 10 28.4          19.9 Roz8086E10
     K08S11V  C2008 10 01.54846723 16 49.76 -10 10 29.1          19.9 Roz8086E10
     K08S11V  C2008 10 01.56106423 16 48.37 -10 10 34.3          20.4 Voz8086E10
     K08S11V  C2008 10 01.56286723 16 48.17 -10 10 34.8          20.3 Voz8086E10
     K08S11V  C2008 10 01.56451023 16 47.99 -10 10 35.8          20.4 Voz8086E10
     K08S11V  C2008 10 02.17695 23 15 42.31 -10 14 39.2          20.5 Voz8086291
     K08S11V  C2008 10 02.18068 23 15 41.90 -10 14 40.6          20.5 Voz8086291
     K08S11V  C2008 10 02.18442 23 15 41.51 -10 14 41.8          20.5 Voz8086291
     K08S11V  C2008 10 02.22814 23 15 36.46 -10 14 59.6          20.8 Voz8086H55
     K08S11V  C2008 10 02.23647 23 15 35.54 -10 15 02.9          20.8 Voz8086H55
     K08S11V  C2008 10 02.24480 23 15 34.62 -10 15 06.4          20.1 Voz8086H55
     K08S11V  C2008 10 02.28094 23 15 30.69 -10 15 19.5          20.2 Rrz8086H36
     K08S11V  C2008 10 02.29885 23 15 28.80 -10 15 26.0          20.1 Rvz8086H01
     K08S11V  C2008 10 02.30369 23 15 28.27 -10 15 27.8          19.9 Rvz8086H01
     K08S11V  C2008 10 02.30973 23 15 27.61 -10 15 30.0          20.2 Rvz8086H01
     K08S11V  C2008 10 03.14209 23 13 58.61 -10 20 41.4          20.7 Voz8086291
     K08S11V  C2008 10 03.14597 23 13 58.10 -10 20 42.6          20.5 Voz8086291
     K08S11V  C2008 10 03.14988 23 13 57.74 -10 20 44.2          20.6 Voz8086291
     K08S11V  C2008 10 03.33872 23 13 36.94 -10 21 54.3          20.3 Rvz8086H01
     K08S11V  C2008 10 03.34328 23 13 36.44 -10 21 56.2          20.6 Rvz8086H01
     K08S11V  C2008 10 03.34757 23 13 35.94 -10 21 57.8          20.3 Rvz8086H01
     K08S11V  C2008 10 04.20104 23 12 04.76 -10 27 07.7          20.6 Voz9358H55
     K08S11V  C2008 10 04.20689 23 12 04.13 -10 27 09.7          20.4 Voz9358H55
     K08S11V  C2008 10 04.21327 23 12 03.48 -10 27 12.2          20.4 Voz9358H55
     K08S11V  C2008 10 05.15924 23 10 22.72 -10 32 44.8          21.0 Voz9358H55
     K08S11V  C2008 10 05.16708 23 10 21.87 -10 32 47.2          20.9 Voz9358H55
     K08S11V  C2008 10 05.17547 23 10 20.94 -10 32 50.1          20.9 Voz9358H55
     K08S11V  C2008 10 08.15978 23 05 07.29 -10 49 00.4          20.5 Vrz9358G96
     K08S11V  C2008 10 08.16480 23 05 06.75 -10 49 01.7          20.3 Vrz9358G96
     K08S11V  C2008 10 08.16978 23 05 06.18 -10 49 03.3          20.1 Vrz9358G96
     K08S11V  C2008 10 08.17478 23 05 05.71 -10 49 05.2          20.3 Vrz9358G96
     K08S11V  C2008 10 09.21098 23 03 18.61 -10 54 12.3          18.9 Vrz9358G96
     K08S11V  C2008 10 09.21469 23 03 18.18 -10 54 13.7          20.0 Vrz9358G96
     K08S11V  C2008 10 09.21840 23 03 17.78 -10 54 14.5          19.7 Vrz9358G96
     K08S11V  C2008 10 10.06580 23 01 51.49 -10 58 13.9                o~004aH55
     K08S11V  C2008 10 10.07891 23 01 50.07 -10 58 17.7          20.7 Vo~004aH55
     K08S11V  C2008 10 10.09088 23 01 48.83 -10 58 21.6                o~004aH55
     K08S11V  C2008 10 17.15572 22 50 29.12 -11 24 09.8          20.6 Vo~004a291
     K08S11V  C2008 10 17.15970 22 50 28.74 -11 24 10.1          20.8 Vo~004a291
     K08S11V  C2008 10 17.16351 22 50 28.38 -11 24 10.9          20.6 Vo~004a291
     K08S11V  C2008 10 24.11128 22 40 56.77 -11 35 45.3          20.3 Rr~00Qx448
     K08S11V  C2008 10 24.15126 22 40 53.69 -11 35 46.9          20.3 Rr~00Qx448
     K08S11V  C2008 10 24.19093 22 40 50.63 -11 35 48.5          20.6 Rr~00Qx448
     K08S11V  C2008 10 26.04209 22 38 38.71 -11 36 24.9          20.5 Vo~00QxH55
     K08S11V  C2008 10 26.04595 22 38 38.80 -11 36 26.7          20.6 Vo~00QxH55
     K08S11V  C2008 11 02.09735 22 31 40.72 -11 29 30.5          20.5 Vr~00rqG96
     K08S11V  C2008 11 02.10566 22 31 40.29 -11 29 29.3          20.5 Vr~00rqG96
     K08S11V  C2008 11 02.12230 22 31 39.43 -11 29 27.2          20.6 Vr~00rqG96
     K08S11V  C2008 11 18.09834 22 24 43.00 -10 22 09.1          20.5 Vo~01NX291
     K08S11V  C2008 11 18.10709 22 24 42.93 -10 22 05.8          20.6 Vo~01NX291
     K08S11V  C2008 11 18.11582 22 24 42.88 -10 22 02.5          20.6 Vo~01NX291
