     K08T10P* C2008 10 08.33519 02 01 58.33 +18 58 51.4          22.0 Vrz9530G96
     K08T10P  C2008 10 08.34177 02 01 57.39 +18 58 42.8          22.2 Vrz9530G96
     K08T10P  C2008 10 08.34837 02 01 56.56 +18 58 33.8          22.0 Vrz9530G96
     K08T10P  C2008 10 08.35508 02 01 55.52 +18 58 23.7          21.8 Vrz9530G96
     K08T10P  C2008 10 08.37885 02 01 52.14 +18 57 50.8          22.0 Vrz9530G96
     K08T10P  C2008 10 08.38419 02 01 51.37 +18 57 43.5          22.8 Vrz9530G96
     K08T10P  C2008 10 08.38951 02 01 50.65 +18 57 36.5          21.8 Vrz9530G96
     K08T10P  C2008 10 08.39481 02 01 49.91 +18 57 29.1          21.9 Vrz9530G96
     K08T10P  C2008 10 08.48256 02 01 37.59 +18 55 25.3          21.0 Rvz9530H01
     K08T10P  C2008 10 08.49261 02 01 36.21 +18 55 11.0          21.0 Rvz9530H01
     K08T10P  C2008 10 09.23722 01 59 59.44 +18 38 09.8          22.3 Voz9530H55
     K08T10P  C2008 10 09.25276 01 59 57.24 +18 37 49.6          22.2 Voz9530H55
     K08T10P  C2008 10 09.26758 01 59 55.25 +18 37 28.0          22.3 Voz9530H55
     K08T10P  C2008 10 09.38648 01 59 39.20 +18 34 48.4          21.3 Rvz9530H01
     K08T10P  C2008 10 09.39873 01 59 37.52 +18 34 31.4          21.5 Rvz9530H01
     K08T10P  C2008 10 09.40215 01 59 37.16 +18 34 27.0          21.8 Vrz9530G96
     K08T10P  C2008 10 09.40365 01 59 36.88 +18 34 26.1          22.1 Vrz9530G96
     K08T10P  C2008 10 09.40502 01 59 36.64 +18 34 23.8          22.4 Vrz9530G96
     K08T10P  C2008 10 09.40640 01 59 36.52 +18 34 21.6          21.6 Vrz9530G96
     K08T10P  C2008 10 09.40987 01 59 36.00 +18 34 16.2          21.5 Rvz9530H01
     K08T10P  C2008 10 10.29338 01 57 42.75 +18 14 21.4          22.2 Vo~0057H55
     K08T10P  C2008 10 10.30938 01 57 40.69 +18 13 59.3                o~0057H55
     K08T10P  C2008 10 10.32604 01 57 38.42 +18 13 37.4          22.3 Vo~0057H55
     K08T10P  C2008 10 20.22136 01 39 31.08 +14 53 08.6          22.2 Vo~00C7H55
     K08T10P  C2008 10 20.23524 01 39 29.80 +14 52 54.3          22.2 Vo~00C7H55
     K08T10P  C2008 10 20.24991 01 39 28.69 +14 52 40.2          22.1 Vo~00C7291
     K08T10P  C2008 10 20.25081 01 39 28.20 +14 52 37.7          22.4 Vo~00C7H55
     K08T10P HC2008 10 20.25643 01 39 28.16 +14 52 31.2                o~00C7291
     K08T10P  C2008 10 20.26046 01 39 27.58 +14 52 27.6          21.6 Vo~00C7291
     K08T10P  C2008 10 20.26397 01 39 26.98 +14 52 23.0          22.3 Vo~00C7H55
