     K08U05T* C2008 10 25.25263 01 11 18.27 +05 29 08.5          21.1 Vr~00SxG96
     K08U05T  C2008 10 25.25750 01 11 18.70 +05 29 17.2          20.4 Vr~00SxG96
     K08U05T  C2008 10 25.26240 01 11 19.21 +05 29 24.5          20.8 Vr~00SxG96
     K08U05T  C2008 10 25.26730 01 11 19.68 +05 29 31.8          20.8 Vr~00SxG96
     K08U05T  C2008 10 25.30631 01 11 23.60 +05 30 33.5          20.5 Vr~00SxG96
     K08U05T  C2008 10 25.31080 01 11 24.12 +05 30 40.1          20.6 Vr~00SxG96
     K08U05T  C2008 10 25.31531 01 11 24.55 +05 30 46.8                r~00SxG96
     K08U05T  C2008 10 25.31985 01 11 24.97 +05 30 54.1          20.0 Vr~00SxG96
     K08U05T  C2008 10 26.17104 01 13 21.87 +05 54 09.2          20.7 Vo~00Sx291
     K08U05T  C2008 10 26.17518 01 13 22.36 +05 54 16.4          20.9 Vo~00Sx291
     K08U05T  C2008 10 26.17907 01 13 22.80 +05 54 22.9          20.6 Vo~00Sx291
     K08U05T  C2008 10 26.20606 01 13 25.52 +05 55 07.0          19.9 Rv~00SxH01
     K08U05T  C2008 10 26.20722 01 13 25.65 +05 55 09.0          19.9 Rv~00SxH01
     K08U05T  C2008 10 26.21026 01 13 25.99 +05 55 14.2          20.0 Rv~00SxH01
     K08U05T  C2008 10 26.21425 01 13 26.43 +05 55 21.0          20.0 Rv~00SxH01
     K08U05T  C2008 10 26.21622 01 13 26.66 +05 55 24.4          20.0 Rv~00SxH01
     K08U05T 5C2008 10 26.23322 01 13 29.39 +05 55 53.3          20.5 Ro~00Sx673
     K08U05T 5C2008 10 26.24016 01 13 30.14 +05 56 04.6                o~00Sx673
     K08U05T 5C2008 10 26.24271 01 13 30.44 +05 56 09.9                o~00Sx673
     K08U05T 5C2008 10 26.24780 01 13 30.99 +05 56 18.8                o~00Sx673
     K08U05T  C2008 10 27.25737 01 15 57.86 +06 26 29.7          20.1 Vo~00Sx291
     K08U05T  C2008 10 27.26140 01 15 58.39 +06 26 37.8          20.5 Vo~00Sx291
     K08U05T  C2008 10 27.26528 01 15 58.86 +06 26 45.6          20.6 Vo~00Sx291
     K08U05T  C2008 10 28.21866 01 18 33.87 +06 57 52.1          20.5 Vo~00Sx291
     K08U05T  C2008 10 28.22242 01 18 34.42 +06 58 00.1          20.5 Vo~00Sx291
     K08U05T  C2008 10 28.22620 01 18 34.93 +06 58 08.0          20.5 Vo~00Sx291
     K08U05T  C2008 10 29.09791 01 21 10.50 +07 28 52.4          20.6 Vo~01DWH55
     K08U05T  C2008 10 29.10514 01 21 11.67 +07 29 08.5          20.9 Vo~01DWH55
