     K08U95T* C2008 10 30.37815 02 08 22.30 +21 29 09.3          19.8 Vr~00UOG96
     K08U95T  C2008 10 30.38590 02 08 27.38 +21 29 28.4          19.9 Vr~00UOG96
     K08U95T  C2008 10 30.39362 02 08 32.46 +21 29 47.1          19.9 Vr~00UOG96
     K08U95T  C2008 10 30.40143 02 08 37.64 +21 30 06.0          20.0 Vr~00UOG96
     K08U95T  C2008 10 30.42260 02 08 51.45 +21 30 42.3          19.4 Rv~00UOH01
     K08U95T  C2008 10 30.42346 02 08 52.06 +21 30 44.2          19.4 Rv~00UOH01
     K08U95T  C2008 10 30.42498 02 08 53.11 +21 30 48.0          19.4 Rv~00UOH01
     K08U95T  C2008 10 30.42664 02 08 54.29 +21 30 51.8          19.3 Rv~00UOH01
     K08U95T  C2008 10 30.42772 02 08 55.04 +21 30 54.3          19.4 Rv~00UOH01
     K08U95T  C2008 10 30.43274 02 08 59.17 +21 31 20.1          19.7 Vr~00UOG96
     K08U95T  C2008 10 30.43966 02 09 04.03 +21 31 35.7          20.0 Vr~00UOG96
     K08U95T  C2008 10 30.44650 02 09 08.92 +21 31 52.0          19.8 Vr~00UOG96
     K08U95T  C2008 10 30.45337 02 09 13.86 +21 32 07.9          19.9 Vr~00UOG96
     K08U95T  C2008 10 30.83491 02 15 41.85 +21 51 16.4                r~00UOJ95
     K08U95T  C2008 10 30.84512 02 15 52.21 +21 51 59.5                r~00UOJ95
     K08U95T  C2008 10 30.85521 02 16 02.39 +21 52 41.3          19.0 Rr~00UOJ95
     K08U95T  C2008 10 31.17654 02 22 37.71 +22 16 58.6          19.5 Vo~00UOH55
     K08U95T  C2008 10 31.18154 02 22 44.12 +22 17 23.8          19.6 Vo~00UOH55
     K08U95T  C2008 10 31.18652 02 22 50.51 +22 17 48.5          19.6 Vo~00UOH55
     K08U95T  C2008 10 31.80534702 43 50.50 +23 16 13.5                r~00tkJ95
     K08U95T  C2008 10 31.80747802 43 56.36 +23 16 31.9                r~00tkJ95
     K08U95T  C2008 10 31.81112402 44 06.34 +23 17 03.1                r~00tkJ95
     K08U95T  C2008 10 31.81631802 44 20.68 +23 17 47.0          18.4 Rr~00tkJ95
     K08U95T  C2008 11 01.12141503 01 07.42 +24 02 35.5                r~00tkJ95
     K08U95T  C2008 11 01.12410703 01 18.40 +24 02 59.4                r~00tkJ95
     K08U95T  C2008 11 01.12626903 01 27.23 +24 03 18.3          18.1 Rr~00tkJ95
     K08U95T  C2008 11 01.20118 03 07 49.67 +24 18 56.2          18.5 Vo~01DmH55
     K08U95T  C2008 11 01.20259 03 07 56.10 +24 19 11.7          18.4 Vo~01DmH55
     K08U95T  C2008 11 01.20402 03 08 02.65 +24 19 27.3          18.5 Vo~01DmH55
     K08U95T  C2008 11 01.20553 03 08 09.56 +24 19 44.0          18.4 Vo~01DmH55
     K08U95T  C2008 11 01.20827 03 08 22.17 +24 20 13.2          18.5 Vo~01DmH55
     K08U95T  C2008 11 01.20924 03 08 26.58 +24 20 23.8          18.3 Vo~01DmH55
