     K08U91V* C2008 10 28.14388 21 45 25.52 -19 27 44.1          21.1 Vr~00UJG96
     K08U91V  C2008 10 28.14870 21 45 25.12 -19 27 36.5          20.9 Vr~00UJG96
     K08U91V  C2008 10 28.15358 21 45 24.69 -19 27 29.1          21.4 Vr~00UJG96
     K08U91V  C2008 10 28.15844 21 45 24.37 -19 27 20.8          21.8 Vr~00UJG96
     K08U91V  C2008 10 28.18788 21 45 22.20 -19 26 33.5          20.9 Vr~00UJG96
     K08U91V  C2008 10 28.18991 21 45 22.03 -19 26 30.2          20.7 Vr~00UJG96
     K08U91V  C2008 10 28.19194 21 45 21.82 -19 26 27.9          21.3 Vr~00UJG96
     K08U91V  C2008 10 28.19398 21 45 21.67 -19 26 24.2          21.6 Vr~00UJG96
     K08U91V  C2008 10 29.02782 21 44 24.73 -19 04 08.4          21.5 Vo~00UJH55
     K08U91V  C2008 10 29.03867 21 44 23.94 -19 03 50.3          21.8 Vo~00UJH55
     K08U91V  C2008 10 29.04961 21 44 23.17 -19 03 32.6          21.6 Vo~00UJH55
     K08U91V  C2008 10 29.10577 21 44 19.39 -19 02 00.4          21.9 Vo~00UJ291
     K08U91V  C2008 10 29.10960 21 44 19.13 -19 01 55.1          21.5 Vo~00UJ291
     K08U91V  C2008 10 29.11353 21 44 18.87 -19 01 48.1          21.7 Vo~00UJ291
     K08U91V  C2008 10 29.16044 21 44 15.45 -19 00 32.6          20.9 Vr~00UJG96
     K08U91V  C2008 10 29.17279 21 44 14.61 -19 00 12.8          21.9 Vr~00UJG96
     K08U91V  C2008 10 29.17888 21 44 14.13 -19 00 02.4                r~00UJG96
     K08U91V  C2008 10 30.11953 21 43 13.36 -18 34 30.8          21.5 Vo~00UJ291
     K08U91V  C2008 10 30.12339 21 43 13.08 -18 34 24.1          21.8 Vo~00UJ291
     K08U91V  C2008 10 30.12723 21 43 12.84 -18 34 17.7          21.5 Vo~00UJ291
     K08U91V  C2008 11 05.01155 21 38 05.32 -15 47 24.2          21.2 Vo~00tiH55
     K08U91V  C2008 11 05.02144 21 38 04.93 -15 47 06.1          21.3 Vo~00tiH55
     K08U91V  C2008 11 05.03108 21 38 04.42 -15 46 49.9          21.5 Vo~00tiH55
     K08U91V  C2008 11 19.02868 21 33 06.20 -08 25 38.9          20.9 Vo~01ODH55
     K08U91V  C2008 11 19.03951 21 33 06.11 -08 25 16.9          21.0 Vo~01ODH55
     K08U91V  C2008 11 19.05067 21 33 06.02 -08 24 54.5          21.0 Vo~01ODH55
     K08U91V  C2008 11 20.06258 21 33 03.43 -07 50 41.4          21.5 Vo~01OD291
     K08U91V  C2008 11 20.06640 21 33 03.39 -07 50 33.6          21.3 Vo~01OD291
     K08U91V  C2008 11 20.07013 21 33 03.39 -07 50 25.8          21.1 Vo~01OD291
     K08U91V  C2008 11 24.07765 21 33 10.84 -05 31 47.4                o~01gx291
     K08U91V HC2008 11 24.08138 21 33 10.92 -05 31 39.5                o~01gx291
     K08U91V HC2008 11 24.08774 21 33 10.67 -05 31 26.7                o~01gx291
     K08U91V  C2008 11 30.10012 21 34 06.96 -01 53 21.4                o~01zg291
     K08U91V HC2008 11 30.10751 21 34 06.98 -01 53 05.8                o~01zg291
     K08U91V  C2009 03 02.47787 14 29 11.61 +55 42 29.2          19.0 Vr~04sS703
     K08U91V  C2009 03 02.48352 14 29 06.90 +55 42 04.8          19.0 Vr~04sS703
     K08U91V  C2009 03 02.48918 14 29 02.14 +55 41 41.3          18.7 Vr~04sS703
     K08U91V  C2009 03 02.49485 14 28 57.46 +55 41 16.9          18.7 Vr~04sS703
     K08U91V  C2009 03 03.13075 14 20 29.40 +54 54 31.4                o~04sSJ95
     K08U91V  C2009 03 03.13254 14 20 28.03 +54 54 23.4                o~04sSJ95
     K08U91V  C2009 03 03.13419 14 20 26.62 +54 54 16.0          18.1 Ro~04sSJ95
     K08U91V  C2009 03 03.27987 14 18 35.60 +54 43 14.7          19.0 Rc~04sS854
     K08U91V  C2009 03 03.29041 14 18 27.41 +54 42 29.2          19.0 Rc~04sS854
     K08U91V  C2009 03 03.29305 14 18 25.23 +54 42 17.6          19.3 Rc~04sS854
     K08U91V  C2009 03 03.39988 14 16 59.14 +54 34 19.0                o~04sSH55
     K08U91V  C2009 03 03.40197 14 16 57.48 +54 34 08.4          19.5 Vo~04sSH55
     K08U91V  C2009 03 03.40413 14 16 55.76 +54 33 58.6          19.4 Vo~04sSH55
     K08U91V  C2009 03 03.41668 14 16 45.80 +54 33 00.9          19.4 Vo~04sSH55
     K08U91V  C2009 03 03.41815 14 16 44.63 +54 32 54.2          19.4 Vo~04sSH55
     K08U91V  C2009 03 03.41961 14 16 43.47 +54 32 47.3          19.4 Vo~04sSH55
     K08U91V  C2009 03 03.42108 14 16 42.32 +54 32 40.5          19.2 Vo~04sSH55
     K08U91V  C2009 03 03.48802 14 15 50.39 +54 27 35.8          18.7 Rv~04sSH01
     K08U91V  C2009 03 03.50420 14 15 37.58 +54 26 20.4          18.6 Rv~04sSH01
     K08U91V  C2009 03 17.30746712 22 25.48 +33 40 52.8          18.7 Vo~05HwH55
     K08U91V  C2009 03 17.30990812 22 24.76 +33 40 39.8          18.7 Vo~05HwH55
     K08U91V  C2009 03 17.31234012 22 24.07 +33 40 27.2          18.6 Vo~05HwH55
     K08U91V  C2009 03 17.43438 12 21 48.56 +33 29 55.5          18.8 Vr~05Hw703
     K08U91V  C2009 03 17.43910 12 21 47.16 +33 29 31.5          18.5 Vr~05Hw703
     K08U91V  C2009 03 17.44393 12 21 45.75 +33 29 06.5          18.7 Vr~05Hw703
     K08U91V  C2009 03 17.44882 12 21 44.28 +33 28 40.4          18.7 Vr~05Hw703
     K08U91V  C2009 03 18.82521 12 15 35.94 +31 31 36.0          18.5 Vr~05HwA13
     K08U91V  C2009 03 18.82797 12 15 35.25 +31 31 22.2          18.5 Vr~05HwA13
     K08U91V  C2009 03 18.84320 12 15 31.25 +31 30 06.8          18.5 Vr~05HwA13
     K08U91V  C2009 03 18.84604 12 15 30.53 +31 29 53.1          18.1 Vr~05HwA13
     K08U91V  C2009 03 19.27799 12 13 40.98 +30 54 21.3          18.8 Vr~05YN703
     K08U91V  C2009 03 19.28560 12 13 38.78 +30 53 44.5          18.8 Vr~05YN703
     K08U91V  C2009 03 19.29317 12 13 36.94 +30 53 06.7          18.8 Vr~05YN703
