     K08V03Z* C2008 11 06.09430 01 39 37.68 +15 01 46.8          20.3 Vo~00vl691
     K08V03Z  C2008 11 06.11187 01 39 36.52 +15 01 17.3          20.9 Vo~00vl691
     K08V03Z  C2008 11 06.12947 01 39 35.21 +15 00 47.6          20.7 Vo~00vl691
     K08V03Z  C2008 11 06.16604 01 39 32.44 +14 59 45.0          20.6 Vo~00vl291
     K08V03Z  C2008 11 06.16991 01 39 32.12 +14 59 38.2          20.4 Vo~00vl291
     K08V03Z  C2008 11 06.17382 01 39 31.81 +14 59 31.3          20.7 Vo~00vl291
     K08V03Z  C2008 11 06.22246 01 39 25.92 +14 57 55.1          20.8 Vo~00vlH55
     K08V03Z  C2008 11 06.23382 01 39 25.04 +14 57 34.2          20.9 Vo~00vlH55
     K08V03Z  C2008 11 06.24760 01 39 23.90 +14 57 09.2          20.9 Vo~00vlH55
     K08V03Z  C2008 11 06.32827 01 39 19.11 +14 54 52.1          20.3 Vo~00vl291
     K08V03Z  C2008 11 06.33225 01 39 18.78 +14 54 44.7          20.4 Vo~00vl291
     K08V03Z  C2008 11 06.33615 01 39 18.46 +14 54 37.4          20.3 Vo~00vl291
     K08V03Z  C2008 11 06.39640 01 39 13.87 +14 52 42.3          20.2 Vo~00vl291
     K08V03Z  C2008 11 06.40037 01 39 13.58 +14 52 34.6          20.4 Vo~00vl291
     K08V03Z  C2008 11 06.40454 01 39 13.28 +14 52 26.5          20.6 Vo~00vl291
     K08V03Z  C2008 11 06.56722301 39 07.62 +14 49 00.2          20.0 Rv~00vlE10
     K08V03Z  C2008 11 06.56850801 39 07.54 +14 48 57.6          19.9 Rv~00vlE10
     K08V03Z  C2008 11 06.56982401 39 07.40 +14 48 54.9          20.2 Rv~00vlE10
     K08V03Z  C2008 11 06.57113301 39 07.30 +14 48 52.1          19.7 Rv~00vlE10
     K08V03Z  C2008 11 07.08617 01 38 45.57 +14 30 35.1          19.9 Vo~01G2691
     K08V03Z  C2008 11 07.10379 01 38 44.29 +14 30 01.9          20.3 Vo~01G2691
     K08V03Z  C2008 11 07.11799 01 38 43.18 +14 29 34.4          20.7 Vo~00vl291
     K08V03Z  C2008 11 07.12141 01 38 42.93 +14 29 27.9          20.2 Vo~01G2691
     K08V03Z  C2008 11 07.12202 01 38 42.88 +14 29 27.1          20.4 Vo~00vl291
     K08V03Z  C2008 11 07.12886 01 38 42.34 +14 29 13.8          20.6 Vo~00vl291
     K08V03Z  C2008 11 07.13597 01 38 41.78 +14 29 00.0          20.4 Vo~00vl291
     K08V03Z  C2008 11 07.14039 01 38 41.43 +14 28 51.5          20.4 Vo~00vl291
     K08V03Z  C2008 11 07.14513 01 38 41.03 +14 28 42.3          20.2 Vo~00vl291
     K08V03Z  C2008 11 07.15108 01 38 38.48 +14 28 22.4          20.7 Vo~00vlH55
     K08V03Z  C2008 11 07.15700 01 38 37.98 +14 28 10.7          20.6 Vo~00vlH55
     K08V03Z  C2008 11 07.16429 01 38 37.36 +14 27 55.9          20.4 Vo~00vlH55
     K08V03Z  C2008 11 08.05061 01 37 43.03 +13 55 56.5          20.2 Rv~01P4204
     K08V03Z  C2008 11 08.06209 01 37 42.13 +13 55 29.5                v~01P4204
     K08V03Z  C2008 11 08.14727 01 37 44.15 +13 52 38.7          20.4 Vo~01G2291
     K08V03Z  C2008 11 08.15209 01 37 43.73 +13 52 28.1          20.4 Vo~01G2291
     K08V03Z  C2008 11 08.15584 01 37 43.39 +13 52 19.6          20.1 Vo~01G2291
     K08V03Z  C2008 11 09.16359 01 36 41.41 +13 10 43.0          20.3 Vo~01G2291
     K08V03Z  C2008 11 09.16985 01 36 40.82 +13 10 27.0          20.3 Vo~01G2291
     K08V03Z  C2008 11 09.17452 01 36 40.39 +13 10 15.3          20.4 Vo~01G2291
     K08V03Z  C2008 11 15.94634 01 25 09.04 +03 27 58.8          18.4 Rr~01P4B67
     K08V03Z  C2008 11 15.95323 01 25 07.43 +03 26 51.0          18.2 Rr~01P4B67
     K08V03Z  C2008 11 15.97007 01 25 03.66 +03 24 01.4          18.2 Rr~01P4B67
     K08V03Z  C2008 11 15.97598 01 25 02.33 +03 23 02.4          18.2 Rr~01P4B67
     K08V03Z  C2008 11 15.98182 01 25 01.00 +03 22 04.9          18.2 Rr~01P4B67
     K08V03Z  C2008 11 16.00262 01 24 56.35 +03 18 40.0                c~01P4587
     K08V03Z  C2008 11 16.00560 01 24 55.54 +03 18 06.8                c~01P4587
     K08V03Z  C2008 11 16.71210 01 22 54.76 +01 07 34.1          18.5 Vv~01P4A78
     K08V03Z  C2008 11 16.71819 01 22 53.35 +01 06 19.5          18.4 Vv~01P4A78
     K08V03Z  C2008 11 16.72478 01 22 51.63 +01 04 58.6          18.6 Vv~01P4A78
     K08V03Z  C2008 11 16.73050 01 22 50.23 +01 03 48.2          18.5 Vv~01P4A78
     K08V03Z  C2008 11 18.11443101 16 38.61 -04 51 07.2          18.3 Vo~01P4H55
     K08V03Z  C2008 11 18.11516801 16 38.28 -04 51 21.4          18.5 Vo~01P4H55
     K08V03Z  C2008 11 18.11607701 16 37.91 -04 51 38.8          18.3 Vo~01P4H55
     K08V03Z  C2008 11 18.12154701 16 35.60 -04 53 23.7          18.4 Vo~01P4H55
     K08V03Z  C2008 11 19.13705 01 09 45.39 -11 27 00.0          18.6 Vo~01P4H55
     K08V03Z  C2008 11 19.13925 01 09 44.04 -11 28 01.3          18.3 Vo~01P4H55
     K08V03Z  C2008 11 19.14152 01 09 42.66 -11 29 04.7          18.4 Vo~01P4H55
     K08V03Z  C2008 11 19.14378 01 09 41.27 -11 30 08.7          18.6 Vo~01P4H55
     K08V03Z  C2008 11 19.14583 01 09 40.05 -11 31 06.4          18.3 Vo~01P4H55
     K08V03Z  C2008 11 20.08235 01 00 04.73 -20 23 11.9          18.2 Vo~01P4H55
     K08V03Z  C2008 11 20.08355 01 00 03.61 -20 24 02.0          18.4 Vo~01P4H55
     K08V03Z  C2008 11 20.08476 01 00 02.50 -20 24 51.7          18.3 Vo~01P4H55
     K08V03Z  C2008 11 20.08597 01 00 01.38 -20 25 41.5          17.9 Vo~01P4H55
     K08V03Z  C2008 11 20.08718 01 00 00.23 -20 26 30.6          18.3 Vo~01P4H55
     K08V03Z  C2008 11 20.08839 00 59 59.12 -20 27 21.6          18.7 Vo~01P4H55
     K08V03Z  C2008 11 20.08965 00 59 57.97 -20 28 12.7          18.5 Vo~01P4H55
     K08V03Z  C2008 11 20.09086 00 59 56.84 -20 29 03.3          17.9 Vo~01P4H55
