     K08W14A* C2008 11 20.28229 03 33 30.56 -10 03 13.9          19.7 Vr~01Q8703
     K08W14A  C2008 11 20.28949 03 33 28.26 -10 03 14.5          19.7 Vr~01Q8703
     K08W14A  C2008 11 20.29671 03 33 25.77 -10 03 19.3          19.7 Vr~01Q8703
     K08W14A  C2008 11 20.30395 03 33 23.29 -10 03 21.7          20.1 Vr~01Q8703
     K08W14A  C2008 11 20.35067 03 33 07.83 -10 03 42.5                r~01Q8703
     K08W14A  C2008 11 20.36745 03 33 02.14 -10 03 49.0          20.0 Vr~01Q8703
     K08W14A  C2008 11 21.16664 03 28 45.26 -10 09 33.1          19.8 Vr~01Q8G96
     K08W14A  C2008 11 21.16734 03 28 45.01 -10 09 33.3          19.7 Vr~01Q8G96
     K08W14A  C2008 11 21.16805 03 28 44.72 -10 09 33.6          19.9 Vr~01Q8G96
     K08W14A  C2008 11 21.16876 03 28 44.47 -10 09 33.8          19.8 Vr~01Q8G96
     K08W14A  C2008 11 21.24021 03 28 17.46 -10 10 11.6          19.3 Rr~01Q8H36
     K08W14A  C2008 11 21.24486 03 28 15.78 -10 10 13.8          19.0 Rr~01Q8H36
     K08W14A  C2008 11 21.26458 03 28 09.52 -10 10 15.3          20.0 Rc~01Q8854
     K08W14A  C2008 11 21.27238 03 28 06.53 -10 10 19.9          20.0 Rc~01Q8854
     K08W14A  C2008 11 21.27728 03 28 04.84 -10 10 20.6          20.0 Vo~01Q8291
     K08W14A  C2008 11 21.28022 03 28 03.69 -10 10 23.1          20.0 Rc~01Q8854
     K08W14A  C2008 11 21.28112 03 28 03.43 -10 10 22.4          20.0 Vo~01Q8291
     K08W14A  C2008 11 21.28496 03 28 02.00 -10 10 24.0          20.0 Vo~01Q8291
     K08W14A tC2008 11 22.22610 03 22 21.13 -10 16 27.5                o~01ha291
     K08W14A  C2008 11 22.22967 03 22 17.96 -10 16 35.8          19.8 Vo~01haH55
     K08W14A tC2008 11 22.22985 03 22 19.44 -10 16 29.0                o~01ha291
     K08W14A tC2008 11 22.23368 03 22 17.91 -10 16 30.2                o~01ha291
     K08W14A  C2008 11 22.23441 03 22 15.96 -10 16 37.9          19.7 Vo~01haH55
     K08W14A  C2008 11 22.23853 03 22 15.91 -10 16 31.9                o~01ha291
     K08W14A  C2008 11 22.24038 03 22 13.47 -10 16 40.4                o~01haH55
     K08W14A  C2008 11 22.24231 03 22 14.41 -10 16 33.5                o~01ha291
     K08W14A  C2008 11 22.24613 03 22 12.84 -10 16 35.1                o~01ha291
     K08W14A  C2008 11 24.07072 03 09 17.43 -10 25 48.9          19.4 Vo~01haH55
     K08W14A  C2008 11 24.07351 03 09 16.10 -10 25 50.1          20.1 Vo~01haH55
     K08W14A  C2008 11 24.07639 03 09 14.79 -10 25 51.4          19.9 Vo~01haH55
     K08W14A  C2008 11 25.21295 02 59 35.84 -10 29 19.3          19.7 Vo~01haH55
     K08W14A  C2008 11 25.21484 02 59 34.75 -10 29 19.7          19.6 Vo~01haH55
     K08W14A  C2008 11 25.21650 02 59 33.81 -10 29 19.9          19.4 Vo~01haH55
     K08W14A  C2008 11 25.21835 02 59 32.77 -10 29 20.2          19.7 Vo~01haH55
     K08W14A  C2008 11 25.22014 02 59 31.75 -10 29 20.0          19.5 Vo~01haH55
     K08W14A  C2008 11 25.22202 02 59 30.65 -10 29 20.6          19.8 Vo~01haH55
     K08W14A  C2008 11 26.10068 02 51 11.00 -10 30 18.0          19.9 Vo~01haH55
     K08W14A  C2008 11 26.10420 02 51 08.76 -10 30 18.6          19.8 Vo~01haH55
     K08W14A  C2008 11 26.10633 02 51 07.41 -10 30 19.1          19.4 Vo~01haH55
     K08W14A  C2008 11 27.10598 02 40 23.45 -10 29 12.5          19.7 Vo~01haH55
     K08W14A  C2008 11 27.10872 02 40 21.50 -10 29 12.1          19.4 Vo~01haH55
     K08W14A  C2008 11 27.11136 02 40 19.60 -10 29 11.6          19.5 Vo~01haH55
     K08W14A  C2008 11 27.80820 02 31 59.78 -10 26 49.3          18.9 Vr~01haA17
     K08W14A  C2008 11 27.82259 02 31 48.58 -10 26 45.2          19.0 Vr~01haA17
     K08W14A  C2008 11 27.84092 02 31 34.34 -10 26 40.9          19.1 Vr~01haA17
     K08W14A  C2008 12 05.10113 00 02 38.72 -06 48 30.8          19.1 Vo~02IbH55
     K08W14A  C2008 12 05.10401 00 02 33.52 -06 48 19.2          19.3 Vo~02IbH55
     K08W14A  C2008 12 05.10684 00 02 28.47 -06 48 07.3          18.9 Vo~02IbH55
