     K08W61L* C2008 11 24.13737 00 05 28.57 +00 00 30.3          20.1 Vr~01iKG96
     K08W61L  C2008 11 24.14579 00 05 29.94 +00 00 47.4          20.3 Vr~01iKG96
     K08W61L  C2008 11 24.15411 00 05 31.30 +00 01 04.2          20.2 Vr~01iKG96
     K08W61L  C2008 11 24.16238 00 05 32.67 +00 01 21.0          20.2 Vr~01iKG96
     K08W61L  C2008 11 24.19057 00 05 37.28 +00 02 17.1          20.1 Rv~01iKH01
     K08W61L  C2008 11 24.19667 00 05 38.30 +00 02 29.3          20.0 Rv~01iKH01
     K08W61L  C2008 11 24.20144 00 05 39.07 +00 02 38.9          20.2 Rv~01iKH01
     K08W61L  C2008 11 24.20318 00 05 39.40 +00 02 43.0          20.0 Vr~01iKG96
     K08W61L  C2008 11 24.20478 00 05 39.69 +00 02 46.0          20.4 Rc~01iK651
     K08W61L  C2008 11 24.20664 00 05 39.93 +00 02 49.4          20.1 Rv~01iKH01
     K08W61L  C2008 11 24.20769 00 05 40.15 +00 02 52.0          20.6 Rc~01iK651
     K08W61L  C2008 11 24.21060 00 05 40.61 +00 02 58.6          20.4 Rc~01iK651
     K08W61L  C2008 11 24.21109 00 05 40.70 +00 02 58.7          20.3 Vr~01iKG96
     K08W61L  C2008 11 24.21909 00 05 41.96 +00 03 15.1          19.2 Vr~01iKG96
     K08W61L  C2008 11 24.22714 00 05 43.36 +00 03 31.2          20.3 Vr~01iKG96
     K08W61L  C2008 11 24.88801 00 07 35.45 +00 25 25.1                r~01iKJ95
     K08W61L  C2008 11 24.89374 00 07 36.38 +00 25 37.0                r~01iKJ95
     K08W61L  C2008 11 24.90339 00 07 38.01 +00 25 54.9          19.7 Rr~01iKJ95
     K08W61L  C2008 11 26.01026 00 10 43.46 +01 01 58.7          20.4 Vo~01iKH55
     K08W61L  C2008 11 26.01409 00 10 44.06 +01 02 06.1          20.7 Vo~01iKH55
     K08W61L  C2008 11 26.02108 00 10 45.19 +01 02 19.1          20.7 Vo~01iKH55
     K08W61L  C2008 11 27.00233 00 13 26.98 +01 33 27.7          20.8 Vo~01iKH55
     K08W61L  C2008 11 27.01039 00 13 28.27 +01 33 42.9          20.8 Vo~01iKH55
     K08W61L  C2008 11 27.01819 00 13 29.51 +01 33 58.0          21.2 Vo~01iKH55
     K08W61L  C2008 11 28.06615 00 16 19.72 +02 06 26.3          20.9 Vo~020xH55
     K08W61L  C2008 11 28.07742 00 16 21.47 +02 06 47.0          20.2 Vo~020xH55
     K08W61L  C2008 11 28.08749 00 16 23.10 +02 07 05.8          20.4 Vo~020xH55
     K08W61L  C2008 12 01.16606 00 24 31.52 +03 38 03.6          20.7 Vo~020x291
     K08W61L  C2008 12 01.16992 00 24 32.08 +03 38 10.1          20.8 Vo~020x291
     K08W61L  C2008 12 01.17369 00 24 32.64 +03 38 16.4          20.8 Vo~020x291
     K08W61L  C2008 12 03.16345 00 29 39.66 +04 33 44.2          20.6 Vr~020xG96
     K08W61L  C2008 12 03.17010 00 29 40.66 +04 33 54.9          20.6 Vr~020xG96
     K08W61L  C2008 12 03.17676 00 29 41.67 +04 34 06.1          21.0 Vr~020xG96
     K08W61L  C2008 12 03.18333 00 29 42.64 +04 34 17.0          20.9 Vr~020xG96
     K08W61L  C2008 12 31.23675 01 34 06.77 +14 14 48.4          22.2 Vo~02jH291
     K08W61L  C2008 12 31.24061 01 34 07.21 +14 14 51.5          22.1 Vo~02jH291
