     K08W01P* C2008 11 19.18644 01 09 02.59 -05 16 05.4          19.8 Vr~01Px703
     K08W01P  C2008 11 19.19468 01 09 02.98 -05 15 48.4          19.9 Vr~01Px703
     K08W01P  C2008 11 19.20293 01 09 03.60 -05 15 29.1          19.2 Vr~01Px703
     K08W01P  C2008 11 19.21112 01 09 04.03 -05 15 12.1          19.6 Vr~01Px703
     K08W01P  C2008 11 19.26292 01 09 07.17 -05 13 23.5                r~01Px703
     K08W01P  C2008 11 19.27115 01 09 07.63 -05 13 05.4                r~01Px703
     K08W01P  C2008 11 19.27941 01 09 08.22 -05 12 46.9          19.8 Vr~01Px703
     K08W01P  C2008 11 19.28762 01 09 08.82 -05 12 28.9          20.1 Vr~01Px703
     K08W01P bC2008 11 19.97480 01 09 57.50 -04 48 18.0                r~01PxJ95
     K08W01P bC2008 11 19.98414 01 09 58.07 -04 47 58.4          19.8 Rr~01PxJ95
     K08W01P  C2008 11 20.16421 01 10 11.93 -04 41 27.6          19.6 Rr~01Px682
     K08W01P  C2008 11 20.18633 01 10 13.21 -04 40 42.4          19.7 Rr~01Px682
     K08W01P  C2008 11 20.20845 01 10 14.62 -04 39 55.7          19.8 Rr~01Px682
     K08W01P  C2008 11 20.28758701 10 19.534-04 37 06.35                ~0aiV645
     K08W01P  C2008 11 20.28841601 10 19.584-04 37 04.62                ~0aiV645
     K08W01P  C2008 11 20.29007401 10 19.690-04 37 00.95                ~0aiV645
     K08W01P  C2008 11 20.29090401 10 19.733-04 36 59.18                ~0aiV645
     K08W01P  C2008 11 21.08071 01 11 19.24 -04 08 54.6          20.0 Vo~01Px291
     K08W01P  C2008 11 21.08458 01 11 19.50 -04 08 46.4          20.1 Vo~01Px291
     K08W01P  C2008 11 21.08845 01 11 19.75 -04 08 38.6          20.0 Vo~01Px291
     K08W01P  C2008 11 22.04166 01 12 31.30 -03 34 43.6          20.3 Vo~020iH55
     K08W01P  C2008 11 22.04815 01 12 31.72 -03 34 29.8          20.4 Vo~020iH55
     K08W01P  C2008 11 22.05462 01 12 32.18 -03 34 15.8          20.4 Vo~020iH55
     K08W01P  C2008 11 22.18099 01 12 41.39 -03 29 43.2                o~01hV291
     K08W01P  C2008 11 22.18476 01 12 41.64 -03 29 34.9                o~01hV291
     K08W01P  C2008 11 22.18851 01 12 41.90 -03 29 26.9                o~01hV291
     K08W01P  C2008 11 24.05258 01 15 09.68 -02 22 50.9          20.2 Vo~01hVH55
     K08W01P  C2008 11 24.05537 01 15 09.91 -02 22 45.6          20.3 Vo~01hVH55
     K08W01P  C2008 11 24.05822 01 15 10.14 -02 22 40.0          20.2 Vo~01hVH55
     K08W01P  C2008 11 26.03894 01 17 55.87 -01 11 42.6          20.4 Vo~01hVH55
     K08W01P  C2008 11 26.04324 01 17 56.21 -01 11 33.2          20.3 Vo~01hVH55
     K08W01P  C2008 11 26.04702 01 17 56.54 -01 11 25.2                o~01hVH55
     K08W01P  C2008 12 05.12641901 32 29.32 +04 09 46.4          19.9 Vo~02IZH55
     K08W01P  C2008 12 05.12857301 32 29.53 +04 09 51.1          19.7 Vo~02IZH55
     K08W01P  C2008 12 05.13434601 32 30.06 +04 10 03.8          19.6 Vo~02IZH55
     K08W01P  C2008 12 06.13447 01 34 17.47 +04 44 35.4          20.9 Vo~02IZ291
     K08W01P  C2008 12 06.13907 01 34 17.96 +04 44 45.1          20.5 Vo~02IZ291
     K08W01P HC2008 12 06.14316 01 34 18.39 +04 44 53.4                o~02IZ291
     K08W01P  C2008 12 13.06828201 47 29.94 +08 35 57.2          21.4 Vo~02N0H55
     K08W01P  C2008 12 13.07812901 47 31.05 +08 36 17.0                o~02N0H55
     K08W01P  C2008 12 13.08819701 47 32.18 +08 36 36.9          21.0 Vo~02N0H55
     K08W01P  C2009 01 02.17348 02 32 28.17 +18 02 42.9          21.3 Vo~02j3291
     K08W01P  C2009 01 02.17769 02 32 28.79 +18 02 49.3          21.3 Vo~02j3291
     K08W01P  C2009 01 02.18176 02 32 29.37 +18 02 54.4          21.7 Vo~02j3291
     K08W01P  C2009 01 16.01586103 07 29.55 +22 51 34.8          22.1 Vo~03K8H55
     K08W01P  C2009 01 16.02896803 07 31.50 +22 51 49.3          21.9 Vo~03K8H55
     K08W01P  C2009 01 16.04479103 07 33.95 +22 52 07.1          22.0 Vo~03K8H55
