     K09B81D* C2009 01 31.10076 04 50 33.30 +71 50 52.1                o~03NjH55
     K09B81D  C2009 01 31.11650 04 50 25.79 +71 50 58.9          18.9 Vo~03NjH55
     K09B81D  C2009 01 31.11829 04 50 24.86 +71 51 00.1          19.1 Vo~03NjH55
     K09B81D  C2009 01 31.12091 04 50 23.81 +71 51 00.9          19.4 Vo~03NjH55
     K09B81D  C2009 02 02.12887 04 34 04.62 +72 06 08.4          18.3 Vr~03NjH85
     K09B81D  C2009 02 02.14041 04 33 58.18 +72 06 11.3          18.3 Vr~03NjH85
     K09B81D  C2009 02 02.15024 04 33 55.26 +72 06 20.5          18.1 Rc~03NjH36
     K09B81D  C2009 02 02.15249 04 33 51.72 +72 06 14.6          18.7 Vr~03NjH85
     K09B81D  C2009 02 02.15354 04 33 53.35 +72 06 21.5          18.4 Rc~03NjH36
     K09B81D  C2009 02 02.15516 04 33 52.48 +72 06 21.9          18.3 Rc~03NjH36
     K09B81D  C2009 02 02.28469 04 32 41.65 +72 06 58.6          18.2 Rv~03NjH01
     K09B81D  C2009 02 02.29005 04 32 38.78 +72 06 59.4          18.3 Rv~03NjH01
     K09B81D  C2009 02 02.29806 04 32 34.42 +72 07 00.6          18.2 Rv~03NjH01
     K09B81D  C2009 02 02.30214 04 32 32.23 +72 07 01.3          18.3 Rv~03NjH01
     K09B81D  C2009 02 02.30292004 32 31.65 +72 06 48.4          18.6 Vo~03NjH55
     K09B81D  C2009 02 02.30588 04 32 30.22 +72 07 01.8          18.3 Rv~03NjH01
     K09B81D  C2009 02 02.30660604 32 29.82 +72 06 48.2          19.0 Vo~03NjH55
     K09B81D  C2009 02 02.30954904 32 28.45 +72 06 48.1          19.4 Vo~03NjH55
     K09B81D  C2009 02 03.01021804 26 30.64 +72 11 20.8          19.2 Vo~03NjH55
     K09B81D  C2009 02 03.01361604 26 28.70 +72 11 22.0          19.0 Vo~03NjH55
     K09B81D  C2009 02 03.01680404 26 26.79 +72 11 23.3          19.0 Vo~03NjH55
     K09B81D  C2009 02 05.07343004 06 56.06 +72 18 53.2          19.6 Vo~03NjH55
     K09B81D  C2009 02 05.07606704 06 54.37 +72 18 53.3          19.4 Vo~03NjH55
     K09B81D  C2009 02 05.07870004 06 52.55 +72 18 53.4          19.2 Vo~03NjH55
     K09B81D  C2009 02 05.78114 03 59 40.25 +72 19 40.8          19.0 Ro~04KA071
     K09B81D  C2009 02 05.79229 03 59 32.88 +72 19 39.7          17.2 Ro~04KA071
     K09B81D  C2009 02 05.80345 03 59 25.43 +72 19 39.0          19.0 Ro~04KA071
     K09B81D  C2009 02 05.81470 03 59 17.80 +72 19 38.0          18.5 Ro~04KA071
     K09B81D  C2009 02 09.01589603 22 27.06 +72 08 05.2          19.2 Vo~04G0H55
     K09B81D  C2009 02 09.01923403 22 24.24 +72 08 03.5          19.1 Vo~04G0H55
     K09B81D  C2009 02 09.02240603 22 21.66 +72 08 01.7          18.9 Vo~04G0H55
     K09B81D  C2009 02 09.84468 03 11 33.34 +71 59 13.5          18.6 Vc~04G0595
     K09B81D  C2009 02 09.85772 03 11 22.12 +71 59 01.5          18.7 Vc~04G0595
     K09B81D  C2009 02 14.01216 02 08 48.83 +70 17 21.5          19.4 Vo~04KAH55
     K09B81D  C2009 02 14.01428 02 08 46.49 +70 17 16.0          19.5 Vo~04KAH55
     K09B81D  C2009 02 14.01609 02 08 44.51 +70 17 11.1          19.5 Vo~04KAH55
     K09B81D  C2009 02 16.94356 01 17 05.70 +67 20 35.7                c~04KA587
     K09B81D  C2009 02 16.94880 01 17 00.30 +67 20 07.4                c~04KA587
     K09B81D IC2009 02 16.95019 01 16 59.00 +67 20 00.0                c~04KA587
     K09B81D  C2009 02 20.06152 00 19 37.50 +61 11 26.4          19.5 Vo~04bQH55
     K09B81D  C2009 02 20.06360 00 19 35.20 +61 11 05.0          19.5 Vo~04bQH55
     K09B81D  C2009 02 20.06546 00 19 33.17 +61 10 46.3          18.6 Vo~04bQH55
     K09B81D  C2009 02 20.06740 00 19 30.99 +61 10 26.0          19.4 Vo~04bQH55
     K09B81D  C2009 02 23.02125 23 28 17.65 +50 13 37.7          19.3 Vo~04bQH55
     K09B81D  C2009 02 23.02378 23 28 15.27 +50 12 51.3                o~04bQH55
     K09B81D  C2009 02 23.02703 23 28 11.96 +50 11 53.5          19.6 Vo~04bQH55
     K09B81D  C2009 02 23.03061 23 28 08.45 +50 10 48.7          19.4 Vo~04bQH55
