     K09B05U* C2009 01 21.16641 06 11 55.53 +68 13 49.0          18.6 Vr~03MK703
     K09B05U  C2009 01 21.17022 06 11 59.71 +68 12 57.5          18.7 Vr~03MK703
     K09B05U  C2009 01 21.17393 06 12 03.52 +68 12 08.2          18.5 Vr~03MK703
     K09B05U  C2009 01 21.17764 06 12 07.48 +68 11 18.6          18.6 Vr~03MK703
     K09B05U  C2009 01 21.19793 06 12 28.50 +68 06 48.4          18.4 Vr~03MK703
     K09B05U  C2009 01 21.19847 06 12 29.04 +68 06 41.1          18.7 Vr~03MK703
     K09B05U  C2009 01 21.21106 06 12 39.43 +68 03 44.0          18.4 Ro~03MKH36
     K09B05U  C2009 01 21.21280 06 12 41.20 +68 03 20.7          18.4 Ro~03MKH36
     K09B05U  C2009 01 21.21625 06 12 44.75 +68 02 33.4          18.4 Ro~03MKH36
     K09B05U  C2009 01 21.21885906 12 46.18 +68 01 56.5          19.4 Vo~03MKH55
     K09B05U  C2009 01 21.22436306 12 51.84 +68 00 42.2          19.4 Vo~03MKH55
     K09B05U  C2009 01 21.22707906 12 54.65 +68 00 05.4          19.6 Vo~03MKH55
     K09B05U  C2009 01 21.24227 06 13 13.31 +67 56 50.9          18.6 Rv~03MKH01
     K09B05U  C2009 01 21.24576 06 13 16.85 +67 56 04.1          18.7 Rv~03MKH01
     K09B05U  C2009 01 21.24909 06 13 20.23 +67 55 19.5          18.6 Rv~03MKH01
     K09B05U  C2009 01 21.25236 06 13 23.54 +67 54 35.7          18.7 Rv~03MKH01
     K09B05U  C2009 01 21.25505 06 13 26.26 +67 53 59.5          18.5 Rv~03MKH01
     K09B05U ]C2009 01 21.27334406 13 45.29 +67 49 58.9          18.8 Ro~03MK695
     K09B05U ]C2009 01 21.27568306 13 47.79 +67 49 24.4          18.7 Ro~03MK695
     K09B05U ]C2009 01 21.27700006 13 49.20 +67 49 05.7          18.9 Ro~03MK695
     K09B05U  C2009 01 23.83451 06 42 15.47 +59 44 20.0                o~03MKJ95
     K09B05U  C2009 01 23.83856 06 42 17.05 +59 43 41.6                o~03MKJ95
     K09B05U  C2009 01 23.84263 06 42 18.64 +59 43 03.1          18.7 Ro~03MKJ95
     K09B05U  C2009 01 25.06339606 49 30.75 +56 43 11.1          19.5 Vo~03MKH55
     K09B05U  C2009 01 25.06590406 49 31.44 +56 42 50.6          19.3 Vo~03MKH55
     K09B05U  C2009 01 25.07262506 49 33.28 +56 41 56.9          19.4 Vo~03MKH55
     K09B05U  C2009 01 25.74665 06 52 40.83 +55 13 41.3          19.3 Vo~03MKA17
     K09B05U  C2009 01 25.75809 06 52 43.60 +55 12 17.0          19.4 Vo~03MKA17
     K09B05U  C2009 01 25.76926 06 52 46.25 +55 10 54.6          19.5 Vo~03MKA17
     K09B05U  C2009 01 26.73070 06 56 29.59 +53 17 28.9          19.3 Vo~03MKA17
     K09B05U  C2009 01 26.74211 06 56 31.93 +53 16 14.5          19.4 Vo~03MKA17
     K09B05U  C2009 01 26.75344 06 56 34.08 +53 14 59.9          19.5 Vo~03MKA17
     K09B05U  C2009 01 29.10087007 03 17.47 +49 26 18.3          19.9 Vo~03MKH55
     K09B05U  C2009 01 29.10543207 03 18.05 +49 25 55.3          19.9 Vo~03MKH55
     K09B05U  C2009 01 29.10936907 03 18.53 +49 25 35.7          20.1 Vo~03MKH55
     K09B05U  C2009 01 31.19163407 07 37.67 +46 44 56.8          20.5 Vo~03MKH55
     K09B05U  C2009 01 31.19525707 07 37.98 +46 44 41.6          20.6 Vo~03MKH55
     K09B05U  C2009 01 31.19903807 07 38.34 +46 44 25.5          20.6 Vo~03MKH55
     K09B05U  C2009 02 05.09695107 15 01.16 +42 07 13.8          21.1 Vo~03MKH55
     K09B05U  C2009 02 05.10831407 15 01.92 +42 06 43.0          21.2 Vo~03MKH55
     K09B05U  C2009 02 05.11958207 15 02.64 +42 06 12.1          21.0 Vo~03MKH55
