     K09C03C* C2009 02 04.62941 12 20 36.45 -27 54 13.2          19.0 Vr~03NqE12
     K09C03C  C2009 02 04.65876 12 20 44.12 -27 55 01.8          20.0 Vr~03NqE12
     K09C03C  C2009 02 04.68565 12 20 51.14 -27 55 45.4          18.8 Vr~03NqE12
     K09C03C  C2009 02 04.72810 12 21 02.16 -27 56 54.2          19.6 Vr~03NqE12
     K09C03C  C2009 02 04.72874 12 21 02.37 -27 56 56.1          19.3 Vr~03NqE12
     K09C03C  C2009 02 04.72939 12 21 02.52 -27 56 56.7          19.3 Vr~03NqE12
     K09C03C  C2009 02 04.73004 12 21 02.73 -27 56 58.4          18.9 Vr~03NqE12
     K09C03C  C2009 02 04.73164 12 21 03.13 -27 57 00.3          19.0 Vr~03NqE12
     K09C03C  C2009 02 04.74169 12 21 05.79 -27 57 17.1          19.2 Vr~03NqE12
     K09C03C  C2009 02 04.75205 12 21 08.49 -27 57 33.8          19.4 Vr~03NqE12
     K09C03C  C2009 02 04.76183 12 21 11.05 -27 57 49.5          19.4 Vr~03NqE12
     K09C03C  C2009 02 05.36681912 23 56.52 -28 14 30.2          19.8 Vo~03NqH55
     K09C03C  C2009 02 05.37139812 23 57.75 -28 14 37.9          19.5 Vo~03NqH55
     K09C03C  C2009 02 05.37602612 23 59.00 -28 14 45.1          19.7 Vo~03NqH55
     K09C03C  C2009 02 05.42451 12 24 12.45 -28 16 02.8          18.4 Vr~03NqG96
     K09C03C  C2009 02 05.42514 12 24 12.67 -28 16 03.7          18.9 Vr~03NqG96
     K09C03C  C2009 02 05.42575 12 24 12.78 -28 16 05.3          19.0 Vr~03NqG96
     K09C03C  C2009 02 05.42639 12 24 13.03 -28 16 06.3          19.2 Vr~03NqG96
     K09C03C  C2009 02 05.44429 12 24 17.70 -28 16 34.9          18.9 Rr~03Nq448
     K09C03C  C2009 02 05.45504 12 24 20.58 -28 16 52.0          19.4 Rr~03Nq448
     K09C03C  C2009 02 05.46579 12 24 23.33 -28 17 10.4          17.9 Rr~03Nq448
     K09C03C  C2009 02 05.49635 12 24 31.71 -28 17 58.7          19.0 Vr~03NqG96
     K09C03C  C2009 02 05.49691 12 24 31.84 -28 17 59.8          19.0 Vr~03NqG96
     K09C03C  C2009 02 05.49745 12 24 31.99 -28 18 00.6          19.5 Vr~03NqG96
     K09C03C  C2009 02 05.49793 12 24 32.14 -28 18 01.6          19.3 Vr~03NqG96
     K09C03C  C2009 02 05.62094 12 25 07.46 -28 20 58.3          18.6 Vr~03NqE12
     K09C03C  C2009 02 05.62157 12 25 07.68 -28 20 58.9          19.6 Vr~03NqE12
     K09C03C  C2009 02 05.62222 12 25 07.86 -28 21 00.5          19.0 Vr~03NqE12
     K09C03C  C2009 02 05.62286 12 25 08.00 -28 21 01.1          18.9 Vr~03NqE12
     K09C03C  C2009 02 05.62351 12 25 08.18 -28 21 02.6          19.1 Vr~03NqE12
     K09C03C  C2009 02 06.63034 12 29 52.47 -28 47 59.2          19.1 Vr~03NqE12
     K09C03C  C2009 02 06.64105 12 29 55.50 -28 48 16.2          19.4 Vr~03NqE12
     K09C03C  C2009 02 06.65174 12 29 58.41 -28 48 33.1          19.4 Vr~03NqE12
     K09C03C  C2009 02 07.60175 12 34 36.11 -29 13 41.0          19.0 Rr~04G4E12
     K09C03C  C2009 02 16.37635 13 24 59.52 -32 42 40.8          18.7 Vo~04LxH55
     K09C03C  C2009 02 16.38057 13 25 01.11 -32 42 46.7          19.0 Vo~04LxH55
     K09C03C  C2009 02 16.38474 13 25 02.76 -32 42 52.8          18.6 Vo~04LxH55
     K09C03C  C2009 02 18.78244 13 41 31.051-33 26 34.75         18.3 Rr~04LxE12
     K09C03C  C2009 02 18.78449 13 41 31.893-33 26 36.82         18.4 Rr~04LxE12
