     K09C02D* C2009 02 04.31926 10 42 51.80 +06 34 53.5          20.7 Vr~03NpG96
     K09C02D  C2009 02 04.32440 10 42 56.08 +06 33 58.5          20.6 Vr~03NpG96
     K09C02D  C2009 02 04.32948 10 43 00.22 +06 33 05.3          21.1 Vr~03NpG96
     K09C02D  C2009 02 04.33465 10 43 04.54 +06 32 10.3          20.4 Vr~03NpG96
     K09C02D  C2009 02 04.34705 10 43 14.80 +06 30 00.1          20.5 Vr~03NpG96
     K09C02D  C2009 02 04.34757 10 43 15.20 +06 29 54.4          20.9 Vr~03NpG96
     K09C02D  C2009 02 04.34807 10 43 15.60 +06 29 49.1          20.8 Vr~03NpG96
     K09C02D  C2009 02 04.34857 10 43 16.03 +06 29 43.2          20.7 Vr~03NpG96
     K09C02D  C2009 02 04.39972 10 43 58.39 +06 20 39.1          20.6 Vr~03NpG96
     K09C02D  C2009 02 04.40023 10 43 58.82 +06 20 33.2          20.8 Vr~03NpG96
     K09C02D  C2009 02 04.40074 10 43 59.26 +06 20 27.6          21.2 Vr~03NpG96
     K09C02D  C2009 02 04.46924 10 44 56.58 +06 08 09.4          20.9 Vr~03NpG96
     K09C02D  C2009 02 04.46979 10 44 57.01 +06 08 03.2          20.1 Vr~03NpG96
     K09C02D  C2009 02 04.47034 10 44 57.55 +06 07 57.7          20.7 Vr~03NpG96
     K09C02D  C2009 02 05.36426010 58 56.66 +03 17 56.3          21.0 Vo~03NpH55
     K09C02D  C2009 02 05.37166110 59 03.50 +03 16 28.3          20.9 Vo~03NpH55
     K09C02D  C2009 02 05.37915610 59 10.41 +03 14 57.9          21.2 Vo~03NpH55
