     K09D01E* C2009 02 19.38939 11 46 52.86 +00 09 05.5          19.8 Vr~04Mb703
     K09D01E  C2009 02 19.39752 11 46 58.33 +00 08 31.7          19.6 Vr~04Mb703
     K09D01E  C2009 02 19.40576 11 47 03.84 +00 07 53.1          20.0 Vr~04Mb703
     K09D01E  C2009 02 19.41384 11 47 09.34 +00 07 17.5          20.5 Vr~04Mc703
     K09D01E  C2009 02 19.43035 11 47 20.72 +00 06 04.5                r~04Mc703
     K09D01E  C2009 02 19.43108 11 47 21.05 +00 06 03.3                r~04Mc703
     K09D01E  C2009 02 19.43179 11 47 21.56 +00 05 59.3          18.9 Vr~04Mc703
     K09D01E  C2009 02 19.43252 11 47 22.13 +00 05 58.4          19.2 Vr~04Mc703
     K09D01E  C2009 02 19.46983 11 47 47.57 +00 03 07.6          19.8 Rv~04McH01
     K09D01E  C2009 02 19.47169 11 47 48.98 +00 03 02.5          19.3 Vr~04Mc703
     K09D01E  C2009 02 19.47242 11 47 49.63 +00 02 57.7          18.8 Vr~04Mc703
     K09D01E  C2009 02 19.47307 11 47 50.02 +00 02 55.7          20.6 Vr~04Mc703
     K09D01E  C2009 02 19.47378 11 47 50.34 +00 02 49.8          19.8 Rv~04McH01
     K09D01E  C2009 02 19.47380 11 47 50.60 +00 02 51.8          20.5 Vr~04Mc703
     K09D01E  C2009 02 19.47854 11 47 53.66 +00 02 28.3          19.8 Rv~04McH01
     K09D01E  C2009 02 19.48282 11 47 56.67 +00 02 09.1          19.6 Rv~04McH01
     K09D01E  C2009 02 19.93998 11 54 04.45 -00 34 24.0          19.6 Cr~04Mc493
     K09D01E  C2009 02 19.94088 11 54 05.17 -00 34 28.4          19.2 Cr~04Mc493
     K09D01E  C2009 02 19.94177 11 54 05.91 -00 34 33.3          19.5 Cr~04Mc493
     K09D01E  C2009 02 20.48991 12 02 12.20 -01 24 56.2          19.2 Rv~04McH01
     K09D01E  C2009 02 20.49360 12 02 15.68 -01 25 18.4          19.0 Rv~04McH01
     K09D01E  C2009 02 20.49764 12 02 19.50 -01 25 42.5          19.1 Rv~04McH01
     K09D01E  C2009 02 20.50327 12 02 24.86 -01 26 16.2          19.4 Rv~04McH01
     K09D01E  C2009 02 24.48083 14 28 56.51 -14 41 47.4          18.4 Vr~04c4703
     K09D01E  C2009 02 24.48118 14 28 57.93 -14 41 54.5          18.8 Vr~04c4703
     K09D01E  C2009 02 24.48152 14 28 59.29 -14 41 59.2          19.2 Vr~04c4703
     K09D01E  C2009 02 25.45837 15 50 18.50 -19 29 16.4          18.9 Rv~04c4H01
     K09D01E  C2009 02 25.46580 15 50 58.71 -19 31 06.9          19.3 Rv~04c4H01
     K09D01E  C2009 02 25.47147 15 51 29.46 -19 32 30.9          18.9 Rv~04c4H01
