     K09DB1O* C2009 02 22.33494 12 20 19.70 +07 51 01.9                o~05KN691
     K09DB1O  C2009 02 22.35304 12 20 19.85 +07 51 05.2                o~05KN691
     K09DB1O  C2009 02 22.37115 12 20 19.98 +07 51 08.6                o~05KN691
     K09DB1O  C2009 02 26.35312 12 22 02.08 +08 06 05.8          19.4 Vo~05KN691
     K09DB1O  C2009 02 26.37122 12 22 01.98 +08 06 10.9          19.5 Vo~05KN691
     K09DB1O  C2009 02 26.38956 12 22 01.89 +08 06 16.2          19.6 Vo~05KN691
     K09DB1O  C2009 03 02.34047 12 23 12.05 +08 29 16.1          18.8 Vo~05KN691
     K09DB1O  C2009 03 02.35813 12 23 11.72 +08 29 23.8          20.1 Vo~05KN691
     K09DB1O  C2009 03 02.37579 12 23 11.37 +08 29 31.7          18.8 Vo~05KN691
     K09DB1O  C2009 03 15.41815 12 21 09.03 +13 51 13.3          15.5 Vr~05KN703
     K09DB1O  C2009 03 15.42376 12 21 08.02 +13 51 42.3          15.4 Vr~05KN703
     K09DB1O  C2009 03 15.42936 12 21 06.98 +13 52 11.2          15.4 Vr~05KN703
     K09DB1O  C2009 03 15.43499 12 21 05.97 +13 52 40.1          15.6 Vr~05KN703
     K09DB1O %C2009 03 15.48812 12 20 56.15 +13 57 04.7          15.0 Rr~05KNH06
     K09DB1O %C2009 03 15.49739 12 20 54.83 +13 57 52.0          15.0 Rr~05KNH06
     K09DB1O  C2009 03 15.50988 12 20 53.93 +13 59 04.2          15.5 Vr~05KN703
     K09DB1O  C2009 03 15.51019 12 20 53.88 +13 59 05.6          15.7 Vr~05KN703
     K09DB1O  C2009 03 15.51056 12 20 53.82 +13 59 07.5          15.4 Vr~05KN703
     K09DB1O  C2009 03 15.51095 12 20 53.77 +13 59 09.6          15.4 Vr~05KN703
     K09DB1O  C2009 03 15.58973 12 21 14.56 +14 06 50.2          15.1 Vr~05KN900
     K09DB1O  C2009 03 15.59514 12 21 13.50 +14 07 22.7          15.2 Vr~05KN900
     K09DB1O  C2009 03 15.88266 12 20 56.71 +14 34 46.9                r~05KNJ95
     K09DB1O  C2009 03 15.88809 12 20 55.94 +14 35 24.0                r~05KNJ95
     K09DB1O  C2009 03 15.89344 12 20 55.15 +14 36 00.5          15.1 Rr~05KNJ95
     K09DB1O tC2009 03 16.40996 12 19 40.05 +15 42 15.2          15.2 Vo~05KN291
     K09DB1O tC2009 03 16.41378 12 19 39.03 +15 42 46.3          15.1 Vo~05KN291
     K09DB1O tC2009 03 16.41771 12 19 38.02 +15 43 18.2          15.1 Vo~05KN291
     K09DB1O  C2009 03 16.90693 12 18 56.21 +17 00 06.9          14.8 Rr~05KN118
     K09DB1O  C2009 03 16.90933 12 18 55.53 +17 00 34.2          14.9 Rr~05KN118
     K09DB1O  C2009 03 16.90947 12 18 58.50 +17 00 52.9          14.9 Vc~05KN560
     K09DB1O  C2009 03 16.90984 12 18 58.40 +17 00 57.2          14.9 Vc~05KN560
     K09DB1O  C2009 03 16.91022 12 18 58.30 +17 01 01.2          14.9 Vc~05KN560
