     K09D43S  C2009 02 27.26402 10 36 18.55 +00 39 01.0          18.6  c~04th704
     K09D43S  C2009 02 27.27523 10 36 18.95 +00 49 08.5          19.0  c~04th704
     K09D43S  C2009 02 27.28683 10 36 19.31 +00 59 43.1          18.9  c~04th704
     K09D43S  C2009 02 27.29905 10 36 19.70 +01 10 55.8          19.2  c~04th704
     K09D43S* C2009 02 27.33154 10 36 22.03 +01 41 15.1          18.2 Vr~04th703
     K09D43S  C2009 02 27.33209 10 36 22.04 +01 41 45.7          18.5 Vr~04th703
     K09D43S  C2009 02 27.34704 10 36 22.62 +01 55 54.3          18.5 Vr~04th703
     K09D43S  C2009 02 27.34752 10 36 22.60 +01 56 23.1          18.3 Vr~04th703
     K09D43S  C2009 02 27.34793 10 36 22.63 +01 56 46.1          18.3 Vr~04th703
     K09D43S  C2009 02 27.34841 10 36 22.63 +01 57 13.4          17.9 Vr~04th703
     K09D43S  C2009 02 27.37785 10 36 22.97 +02 25 28.0          17.8 Rv~04thH01
     K09D43S  C2009 02 27.38260 10 36 23.17 +02 30 05.0          18.0 Rv~04thH01
     K09D43S  C2009 02 27.38542 10 36 23.32 +02 32 49.8          17.5 Rv~04thH01
     K09D43S  C2009 02 27.39257 10 36 23.71 +02 39 49.7          17.9 Rv~04thH01
     K09D43S  C2009 02 27.39295 10 36 24.52 +02 40 15.7          18.2 Vr~04th703
     K09D43S  C2009 02 27.39329 10 36 24.56 +02 40 36.8          18.1 Vr~04th703
     K09D43S  C2009 02 27.39373 10 36 24.55 +02 41 02.9          18.3 Vr~04th703
     K09D43S  C2009 02 27.39418 10 36 24.59 +02 41 27.6          18.4 Vr~04th703
     K09D43S  C2009 02 27.40373 10 36 25.04 +02 50 59.2          19.0 Rc~04th854
     K09D43S  C2009 02 27.40622 10 36 25.20 +02 53 21.7          19.0 Rc~04th854
     K09D43S  C2009 02 27.40871 10 36 25.36 +02 55 46.8          19.0 Rc~04th854
     K09D43S  C2009 02 27.46198 10 36 29.05 +03 49 31.0          18.3 Vr~04th703
     K09D43S  C2009 02 27.46243 10 36 29.12 +03 49 59.3          18.4 Vr~04th703
     K09D43S  C2009 02 27.46288 10 36 29.22 +03 50 25.7          18.2 Vr~04th703
     K09D43S  C2009 02 28.78451410 43 58.60 +39 15 49.1          18.2 Rr~04thJ95
     K09D43S  C2009 02 28.79066310 44 02.22 +39 29 34.1          18.1 Rr~04thJ95
     K09D43S  C2009 02 28.79740010 44 06.11 +39 44 39.9          17.8 Rr~04thJ95
     K09D43S  C2009 03 01.80003811 16 04.95 +76 43 00.8          18.7 Ro~04thJ95
     K09D43S  C2009 03 01.80739411 16 49.21 +76 57 08.3          19.8 Ro~04thJ95
     K09D43S  C2009 03 01.81507011 17 36.02 +77 11 49.0          19.6 Ro~04thJ95
