     K09F00P* C2009 03 17.26958 10 35 09.38 -04 26 02.1          19.1 Vr~05KV703
     K09F00P  C2009 03 17.27499 10 35 10.53 -04 26 15.3          20.0 Vr~05KV703
     K09F00P  C2009 03 17.28042 10 35 11.68 -04 26 27.9          19.7 Vr~05KV703
     K09F00P  C2009 03 17.28590 10 35 12.87 -04 26 42.1          19.2 Vr~05KV703
     K09F00P  C2009 03 17.31282 10 35 18.63 -04 27 48.6          19.3 Vr~05KV703
     K09F00P  C2009 03 17.31442 10 35 19.10 -04 27 52.4          19.0 Vr~05KV703
     K09F00P  C2009 03 17.31599 10 35 19.39 -04 27 56.4          18.8 Vr~05KV703
     K09F00P  C2009 03 17.31758 10 35 19.64 -04 28 01.8          18.5 Vr~05KV703
     K09F00P  C2009 03 17.35777 10 35 28.52 -04 29 37.3          19.6 Rc~05KV854
     K09F00P  C2009 03 17.83157 10 37 22.05 -04 48 36.6                r~05KVB18
     K09F00P  C2009 03 17.83581 10 37 22.91 -04 48 46.4                r~05KVB18
     K09F00P  C2009 03 17.83897 10 37 23.57 -04 48 53.4                r~05KVB18
     K09F00P  C2009 03 17.87251 10 37 32.32 -04 50 12.8          18.7 Rr~05KV473
     K09F00P  C2009 03 17.87485 10 37 32.81 -04 50 18.3          18.7 Rr~05KV473
     K09F00P  C2009 03 17.87633 10 37 33.28 -04 50 20.5          19.6 Rr~05KV143
     K09F00P  C2009 03 17.88746 10 37 35.46 -04 50 46.6          19.7 Rr~05KV143
     K09F00P  C2009 03 18.12107 10 38 28.77 -04 59 25.1          19.3 Vo~05KVH55
     K09F00P  C2009 03 18.12502 10 38 29.53 -04 59 34.0          19.5 Vo~05KVH55
     K09F00P  C2009 03 18.12907 10 38 30.33 -04 59 43.2          19.7 Vo~05KVH55
     K09F00P  C2009 03 18.18146 10 38 42.32 -05 01 30.8          19.8 Vo~05KV291
     K09F00P  C2009 03 18.18521 10 38 43.05 -05 01 38.9          19.8 Vo~05KV291
     K09F00P  C2009 03 18.18934 10 38 43.86 -05 01 48.0          19.7 Vo~05KV291
     K09F00P  C2009 03 19.16518 10 42 07.67 -05 35 18.5          19.9 Vo~05KV291
     K09F00P  C2009 03 19.16935 10 42 08.40 -05 35 26.4          19.8 Vo~05KV291
     K09F00P  C2009 03 19.17305 10 42 09.08 -05 35 33.9          19.8 Vo~05KV291
     K09F00P  C2009 03 20.29598 10 45 36.54 -06 09 16.9                o~05KV291
     K09F00P  C2009 03 20.30035 10 45 37.31 -06 09 25.6                o~05KV291
     K09F00P  C2009 03 20.30417 10 45 37.92 -06 09 32.2                o~05KV291
     K09F00P  C2009 03 21.25598 10 48 20.62 -06 34 39.8          20.0 Vo~05Zi291
     K09F00P  C2009 03 21.25969 10 48 21.15 -06 34 45.2          20.0 Vo~05Zi291
     K09F00P  C2009 03 21.26402 10 48 21.77 -06 34 51.9          20.3 Vo~05Zi291
     K09F00P  C2009 03 24.29169 10 55 37.01 -07 38 24.7          20.4 Vo~05Zi291
     K09F00P  C2009 03 24.30343 10 55 38.28 -07 38 37.3          20.6 Vo~05Zi291
     K09F00P  C2009 03 24.30803 10 55 38.78 -07 38 41.9          20.5 Vo~05Zi291
     K09F00P  C2009 04 02.24138 11 10 35.12 -09 21 08.2                o~05ux291
     K09F00P  C2009 04 02.24542 11 10 35.38 -09 21 10.0                o~05ux291
     K09F00P  C2009 04 02.24918 11 10 35.67 -09 21 11.4                o~05ux291
