     K09F04S*tC2009 03 18.94834 10 29 29.32 +09 23 01.5          20.2 Cr~05Ka493
     K09F04S tC2009 03 18.97894 10 29 36.35 +09 21 55.3          20.4 Cr~05Ka493
     K09F04S tC2009 03 19.00948 10 29 43.44 +09 20 48.4          20.8 Cr~05Ka493
     K09F04S  C2009 03 19.06122 10 29 55.61 +09 18 54.1          21.0 Cr~05Ka493
     K09F04S  C2009 03 19.06263 10 29 55.95 +09 18 51.3          20.9 Cr~05Ka493
     K09F04S  C2009 03 19.06405 10 29 56.29 +09 18 47.9          21.3 Cr~05Ka493
     K09F04S  C2009 03 19.09859 10 30 04.70 +09 17 30.2          21.1 Cr~05Ka493
     K09F04S  C2009 03 19.10183 10 30 05.50 +09 17 22.9          20.8 Cr~05Ka493
     K09F04S  C2009 03 19.10518 10 30 06.35 +09 17 15.2          20.9 Cr~05Ka493
     K09F04S  C2009 03 19.17833 10 30 33.36 +09 14 44.6          20.5 Rv~05KaH01
     K09F04S  C2009 03 19.18658 10 30 35.31 +09 14 26.6          20.5 Rv~05KaH01
     K09F04S  C2009 03 19.19233 10 30 36.67 +09 14 14.0          20.6 Rv~05KaH01
     K09F04S  C2009 03 19.20063 10 30 37.39 +09 13 48.4          20.0 Rr~05KaH36
     K09F04S  C2009 03 19.20165 10 30 38.87 +09 13 53.6          20.5 Rv~05KaH01
     K09F04S  C2009 03 19.22018 10 30 42.00 +09 13 04.5          20.8 Rr~05KaH36
     K09F04S  C2009 03 19.23974 10 30 46.66 +09 12 20.8          20.6 Rr~05KaH36
     K09F04S  C2009 03 19.86751 10 33 47.78 +08 47 52.5          20.3 Vo~05Ka611
     K09F04S  C2009 03 19.88452 10 33 52.28 +08 47 11.6          20.4 Vo~05Ka611
     K09F04S  C2009 03 21.28375 10 41 18.81 +07 46 22.0          20.4 Vr~05ZnG96
     K09F04S  C2009 03 21.29722 10 41 22.95 +07 45 43.1          20.0 Vr~05ZnG96
     K09F04S  C2009 03 21.30399 10 41 25.04 +07 45 23.5          20.4 Vr~05ZnG96
     K09F04S  C2009 03 21.81298710 44 35.58 +07 19 59.2          20.1 Cr~05Zn493
     K09F04S  C2009 03 21.81508910 44 36.31 +07 19 53.0          19.9 Cr~05Zn493
     K09F04S  C2009 03 21.81719310 44 37.02 +07 19 46.8          20.1 Cr~05Zn493
     K09F04S  C2009 03 22.47834 10 48 47.49 +06 47 20.3          19.1 Ro~05Zn474
     K09F04S  C2009 03 22.48106 10 48 48.40 +06 47 11.7          19.4 Ro~05Zn474
     K09F04S  C2009 03 22.48433 10 48 49.60 +06 47 01.4          20.1 Ro~05Zn474
     K09F04S  C2009 03 22.48744 10 48 50.72 +06 46 50.3          20.0 Ro~05Zn474
     K09F04S  C2009 03 22.80764710 51 08.55 +06 25 45.9          20.3 Cr~05Zn493
     K09F04S  C2009 03 22.81048610 51 09.65 +06 25 35.8          20.3 Cr~05Zn493
