     K09K21R* C2009 05 31.23250 14 47 39.19 -17 46 44.8          17.7 Vr~07Jr703
     K09K21R  C2009 05 31.23790 14 47 24.36 -17 47 55.3          17.5 Vr~07Jr703
     K09K21R  C2009 05 31.24334 14 47 09.24 -17 49 03.8          17.3 Vr~07Jr703
     K09K21R  C2009 05 31.24878 14 46 54.22 -17 50 17.3          17.4 Vr~07Jr703
     K09K21R  C2009 05 31.28554 14 45 08.60 -17 58 25.5          17.3 Vr~07Jr703
     K09K21R  C2009 05 31.28603 14 45 07.16 -17 58 31.7          17.9 Vr~07Jr703
     K09K21R  C2009 05 31.28652 14 45 05.68 -17 58 38.3          17.7 Vr~07Jr703
     K09K21R  C2009 05 31.28701 14 45 04.24 -17 58 44.9          17.2 Vr~07Jr703
     K09K21R  C2009 05 31.32243 14 43 16.82 -18 06 48.6          17.1 Vr~07Jr703
     K09K21R  C2009 05 31.32290 14 43 15.45 -18 06 53.8          17.7 Vr~07Jr703
     K09K21R  C2009 05 31.32332 14 43 14.08 -18 06 59.4          17.5 Vr~07Jr703
     K09K21R  C2009 05 31.32381 14 43 12.57 -18 07 07.6          17.2 Vr~07Jr703
     K09K21R  C2009 05 31.95755913 38 38.00 -23 09 40.1          16.4 Rr~07JrJ95
     K09K21R  C2009 05 31.95854113 38 24.22 -23 10 27.3          16.2 Rr~07JrJ95
     K09K21R  C2009 05 31.96099413 37 49.86 -23 12 25.7          16.4 Rr~07JrJ95
     K09K21R  C2009 05 31.96273613 37 25.28 -23 13 50.5          16.5 Rr~07JrJ95
     K09K21R  C2009 05 31.96554013 36 45.28 -23 16 06.9          16.7 Rr~07JrJ95
