     K09L00S* C2009 06 12.39072 17 10 38.28 -04 23 36.6          18.4 Vr~07TD703
     K09L00S  C2009 06 12.39593 17 10 37.27 -04 23 21.8          18.1 Vr~07TD703
     K09L00S  C2009 06 12.40109 17 10 36.30 -04 23 07.1          18.5 Vr~07TD703
     K09L00S  C2009 06 12.40632 17 10 35.37 -04 22 52.2          18.4 Vr~07TD703
     K09L00S  C2009 06 12.43640 17 10 29.85 -04 21 27.2          18.0 Vr~07TD703
     K09L00S  C2009 06 12.43702 17 10 29.71 -04 21 25.3          18.2 Vr~07TD703
     K09L00S  C2009 06 12.43763 17 10 29.53 -04 21 21.9          18.1 Vr~07TD703
     K09L00S  C2009 06 12.86568 17 09 13.41 -04 00 56.2          18.8 Vc~07TD595
     K09L00S  C2009 06 12.86875 17 09 12.91 -04 00 46.5          17.6 Cr~07TDA81
     K09L00S  C2009 06 12.87820 17 09 11.12 -04 00 20.6          18.2 Cr~07TDA81
     K09L00S  C2009 06 12.88306 17 09 10.21 -04 00 06.4          18.3 Vc~07TD595
     K09L00S  C2009 06 12.88760 17 09 09.34 -03 59 53.5          18.2 Cr~07TDA81
     K09L00S  C2009 06 12.89066 17 09 08.85 -03 59 45.5          18.6 Vo~07TD611
     K09L00S  C2009 06 12.89471 17 09 08.04 -03 59 33.3          18.5 Vo~07TD611
     K09L00S  C2009 06 12.89650 17 09 07.73 -03 59 28.2                r~07TD147
     K09L00S  C2009 06 12.89686 17 09 07.67 -03 59 26.4          18.1 Cr~07TDA81
     K09L00S  C2009 06 12.89835 17 09 07.40 -03 59 23.5          18.9 Vo~07TD611
     K09L00S  C2009 06 12.90050 17 09 06.97 -03 59 17.1          18.9 Vc~07TD595
     K09L00S  C2009 06 12.90127 17 09 06.80 -03 59 14.3          18.4  r~07TD147
     K09L00S  C2009 06 12.90655 17 09 05.88 -03 58 59.3          18.4  r~07TD147
     K09L00S  C2009 06 12.91081 17 09 05.24 -03 58 46.1          17.7 Rr~07TD176
     K09L00S  C2009 06 12.91249 17 09 04.91 -03 58 41.5          18.1 Rr~07TD176
     K09L00S  C2009 06 12.91584 17 09 04.32 -03 58 31.8          18.2 Rr~07TD176
     K09L00S  C2009 06 12.91752 17 09 03.97 -03 58 27.3          18.0 Rr~07TD176
     K09L00S  C2009 06 12.91836 17 09 03.77 -03 58 24.1          18.3 Rr~07TD176
     K09L00S  C2009 06 12.93884 17 08 59.98 -03 57 27.2                v~07TD204
     K09L00S  C2009 06 12.94297 17 08 59.35 -03 57 15.4          18.1 Rw~07TD232
     K09L00S  C2009 06 12.94428 17 08 58.97 -03 57 11.7          18.3 Cv~07TD204
     K09L00S  C2009 06 12.94894 17 08 58.26 -03 56 58.2          18.2 Rw~07TD232
     K09L00S  C2009 06 12.94931 17 08 58.04 -03 56 57.2                v~07TD204
     K09L00S  C2009 06 12.94989 17 08 58.14 -03 56 57.6                o~07TDJ41
     K09L00S  C2009 06 12.95491 17 08 57.15 -03 56 40.6          18.1 Rw~07TD232
     K09L00S  C2009 06 12.95507 17 08 57.16 -03 56 41.5                o~07TDJ41
     K09L00S  C2009 06 12.96088 17 08 56.04 -03 56 23.2          18.2 Rw~07TD232
     K09L00S  C2009 06 12.96685 17 08 54.94 -03 56 05.7          18.0 Rw~07TD232
     K09L00S  C2009 06 12.97502 17 08 53.49 -03 55 45.0          18.2 Co~07TDJ41
     K09L00S  C2009 06 12.98761 17 08 51.17 -03 55 06.8          17.9 Cw~07TDJ28
