     K09O00F* C2009 07 17.21281 17 09 54.38 -01 35 27.1          19.3  c~07mO704
     K09O00F  C2009 07 17.22297 17 09 52.56 -01 35 39.0          19.2  c~07mO704
     K09O00F  C2009 07 17.23310 17 09 50.78 -01 35 53.0          19.2  c~07mO704
     K09O00F  C2009 07 17.24323 17 09 48.99 -01 36 07.1          19.3  c~07mO704
     K09O00F  C2009 07 18.10308 17 07 29.85 -01 54 56.8          18.0 Rr~07mOI77
     K09O00F  C2009 07 18.10558 17 07 29.38 -01 55 00.5          18.1 Rr~07mOI77
     K09O00F  C2009 07 18.10809 17 07 28.92 -01 55 04.3          18.2 Rr~07mOI77
     K09O00F  C2009 07 18.12873 17 07 28.16 -01 56 33.6          18.3 Rr~07mOH36
     K09O00F  C2009 07 18.13970 17 07 26.16 -01 56 49.3          18.7 Rr~07mOH36
     K09O00F  C2009 07 18.14127 17 07 25.89 -01 56 51.4          18.9 Rr~07mOH36
     K09O00F  C2009 07 18.14284 17 07 25.59 -01 56 53.5          18.8 Rr~07mOH36
     K09O00F  C2009 07 18.14597 17 07 24.99 -01 56 58.1          19.1 Rr~07mOH36
     K09O00F  C2009 07 18.19890 17 07 16.58 -01 58 14.9          18.1 Co~07mOG56
     K09O00F  C2009 07 18.20237 17 07 16.03 -01 58 18.5          18.5 Co~07mOG56
     K09O00F  C2009 07 18.20584 17 07 15.53 -01 58 23.0          18.6 Co~07mOG56
     K09O00F  C2009 07 18.25649 17 07 04.92 -01 59 34.3          17.9 Cr~07mOH10
     K09O00F  C2009 07 18.25762 17 07 04.70 -01 59 35.8          17.8 Cr~07mOH10
     K09O00F  C2009 07 19.12796 17 04 37.97 -02 22 04.2          18.8 Rr~07mOH36
     K09O00F  C2009 07 19.13361 17 04 36.84 -02 22 12.9          18.7 Rr~07mOH36
     K09O00F  C2009 07 19.20029 17 04 24.35 -02 23 57.3          18.5 Ro~07mOH01
     K09O00F  C2009 07 19.20435 17 04 23.54 -02 24 03.9          18.4 Ro~07mOH01
     K09O00F  C2009 07 19.21328 17 04 21.77 -02 24 18.5          18.5 Ro~07mOH01
     K09O00F  C2009 07 19.90715 17 02 16.03 -02 44 07.0                v~07mO204
     K09O00F  C2009 07 19.91040 17 02 15.37 -02 44 12.5                v~07mO204
     K09O00F  C2009 07 19.91504 17 02 14.43 -02 44 21.0                v~07mO204
     K09O00F  C2009 07 19.93043 17 02 11.91 -02 44 52.4                r~07mOJ95
     K09O00F  C2009 07 19.93317 17 02 11.35 -02 44 56.9                r~07mOJ95
     K09O00F  C2009 07 19.93588 17 02 10.79 -02 45 02.1          18.8 Rr~07mOJ95
     K09O00F  C2009 07 19.94887 17 02 07.53 -02 45 20.7                c~07mO587
     K09O00F  C2009 07 19.95023 17 02 07.22 -02 45 23.3                c~07mO587
     K09O00F  C2009 07 19.95178 17 02 06.96 -02 45 26.2                c~07mO587
     K09O00F  C2009 07 19.96471 17 02 04.36 -02 45 48.5                v~07mO204
     K09O00F  C2009 07 19.96975 17 02 03.36 -02 45 57.1          18.5 Cv~07mO204
     K09O00F  C2009 07 20.17096 17 01 26.76 -02 51 54.1          19.3 Vo~07mOH55
     K09O00F  C2009 07 20.17340 17 01 26.25 -02 51 58.5          19.2 Vo~07mOH55
     K09O00F  C2009 07 20.17553 17 01 25.81 -02 52 02.3          19.2 Vo~07mOH55
     K09O00F  C2009 07 20.17796 17 01 25.29 -02 52 06.6          19.2 Vo~07mOH55
     K09O00F  C2009 07 20.18253 17 01 24.34 -02 52 14.9          19.3 Vo~07mOH55
     K09O00F  C2009 07 20.84580 16 59 17.51 -03 13 12.3          18.6 Vc~07mO560
     K09O00F  C2009 07 20.85437 16 59 15.74 -03 13 28.6          18.6 Vc~07mO560
     K09O00F  C2009 07 20.85782 16 59 14.95 -03 13 35.3          18.6 Vc~07mOA48
     K09O00F  C2009 07 20.85823 16 59 14.88 -03 13 36.2          18.5 Vc~07mO560
     K09O00F  C2009 07 20.86210 16 59 14.05 -03 13 44.5          18.5 Vc~07mOA48
     K09O00F  C2009 07 20.86408 16 59 13.67 -03 13 49.7          18.6 Vo~07mO151
     K09O00F  C2009 07 20.86554 16 59 13.36 -03 13 52.4          18.8 Vo~07mO151
     K09O00F  C2009 07 20.86638 16 59 13.04 -03 13 52.0          18.5 Vc~07mOA48
     K09O00F  C2009 07 20.86699 16 59 13.07 -03 13 55.3          19.0 Vo~07mO151
     K09O00F  C2009 07 20.86845 16 59 12.73 -03 13 58.2          19.0 Vo~07mO151
     K09O00F  C2009 07 20.86990 16 59 12.40 -03 14 01.3          18.7 Vo~07mO151
     K09O00F  C2009 07 20.87065 16 59 12.19 -03 14 00.2          18.6 Vc~07mOA48
     K09O00F  C2009 07 20.87136 16 59 12.10 -03 14 04.0          18.9 Vo~07mO151
     K09O00F  C2009 07 20.87225 16 59 11.89 -03 14 04.4          19.1 Rc~07mO587
     K09O00F  C2009 07 20.87281 16 59 11.80 -03 14 06.7          18.9 Vo~07mO151
     K09O00F  C2009 07 20.87428 16 59 11.43 -03 14 08.6                c~07mO587
     K09O00F  C2009 07 20.87623 16 59 11.01 -03 14 11.9                c~07mO587
     K09O00F  C2009 07 21.10525 16 58 26.12 -03 21 43.3          18.4 Vo~07mOH55
     K09O00F  C2009 07 21.10864 16 58 25.40 -03 21 49.8                o~07mOH55
     K09O00F  C2009 07 21.11218 16 58 24.60 -03 21 56.8          18.8 Vo~07mOH55
     K09O00F  C2009 07 21.13516 16 58 19.42 -03 22 42.8          17.9 Vo~07mOH55
     K09O00F  C2009 07 21.85098916 55 50.84 -03 47 57.9          18.6 Vv~07mOB03
     K09O00F  C2009 07 21.85841916 55 49.10 -03 48 14.4          18.5 Vv~07mOB03
     K09O00F  C2009 07 21.86587316 55 47.39 -03 48 30.9          18.0 Vv~07mOB03
     K09O00F  C2009 07 21.87930 16 55 44.63 -03 48 59.9          18.7 Vo~07mO151
     K09O00F  C2009 07 21.88076 16 55 44.24 -03 49 02.8          18.5 Vo~07mO151
     K09O00F  C2009 07 21.89098 16 55 41.94 -03 49 25.6          18.8 Vo~07mO151
