     K09Q34F* C2009 08 27.39649 00 35 45.94 +04 42 53.4          20.6 Vo~08eN691
     K09Q34F  C2009 08 27.41411 00 35 47.59 +04 42 56.9          21.2 Vo~08eN691
     K09Q34F  C2009 08 27.43172 00 35 49.16 +04 42 58.9          20.9 Vo~08eN691
     K09Q34F  C2009 08 28.29416 00 37 17.26 +04 44 26.0          21.2 Vo~08eN291
     K09Q34F  C2009 08 28.29787 00 37 17.59 +04 44 26.4          21.2 Vo~08eN291
     K09Q34F  C2009 08 28.30290 00 37 18.03 +04 44 27.3          21.0 Vo~08eN291
     K09Q34F  C2009 08 28.34355 00 37 21.07 +04 44 27.6          21.1 Rr~08eNH36
     K09Q34F  C2009 08 28.35086 00 37 21.68 +04 44 27.8          20.7 Rr~08eNH36
     K09Q34F  C2009 08 28.37525 00 37 23.85 +04 44 28.6          20.1 Rr~08eNH36
     K09Q34F  C2009 08 28.38259 00 37 24.50 +04 44 28.6          20.2 Rr~08eNH36
     K09Q34F  C2009 08 28.38991 00 37 25.13 +04 44 30.9          20.4 Rr~08eNH36
     K09Q34F  C2009 08 30.10492 00 40 08.10 +04 46 19.7                r~08eNJ95
     K09Q34F  C2009 08 30.11661 00 40 09.13 +04 46 20.0          20.7 Rr~08eNJ95
     K09Q34F  C2009 08 30.29591 00 40 26.10 +04 46 33.6          21.5 Vo~08eNH55
     K09Q34F  C2009 08 30.30936 00 40 27.19 +04 46 34.9          21.6 Vo~08eNH55
     K09Q34F  C2009 08 30.32217 00 40 28.20 +04 46 35.1          21.1 Vo~08eNH55
     K09Q34F  C2009 08 30.33288 00 40 29.83 +04 46 38.7          21.2 Vo~08eN291
     K09Q34F  C2009 08 30.33659 00 40 30.13 +04 46 39.0          21.1 Vo~08eN291
     K09Q34F  C2009 08 30.34034 00 40 30.42 +04 46 39.1          21.1 Vo~08eN291
     K09Q34F  C2009 08 30.35072 00 40 31.54 +04 46 36.7          21.8 Co~08eNG58
     K09Q34F  C2009 08 30.35613 00 40 31.94 +04 46 36.4          21.8 Co~08eNG58
     K09Q34F  C2009 08 30.36091 00 40 32.36 +04 46 36.6          21.3 Co~08eNG58
     K09Q34F  C2009 09 12.25774 00 54 41.28 +04 25 48.5          21.3 Vo~097mH55
     K09Q34F  C2009 09 12.26361 00 54 41.46 +04 25 46.7          21.4 Vo~097mH55
     K09Q34F  C2009 09 12.27095 00 54 41.69 +04 25 44.5          20.8 Vo~097mH55
     K09Q34F  C2009 09 14.47593 00 56 04.33 +04 17 29.6          21.4 Vo~097m291
     K09Q34F  C2009 09 14.48167 00 56 04.50 +04 17 28.5          21.6 Vo~097m291
     K09Q34F  C2009 09 14.48694 00 56 04.64 +04 17 27.2          21.3 Vo~097m291
     K09Q34F  C2009 09 16.28408 00 57 03.64 +04 09 58.6          20.9 Vo~097m291
     K09Q34F  C2009 09 16.29103 00 57 03.78 +04 09 56.9          21.0 Vo~097m291
     K09Q34F  C2009 09 16.29813 00 57 03.90 +04 09 55.3          20.7 Vo~097m291
     K09Q34F  C2009 09 17.23406 00 57 30.10 +04 05 48.4          21.2 Vo~097m291
     K09Q34F  C2009 09 17.24562 00 57 30.32 +04 05 45.6          21.0 Vo~097m291
     K09Q34F  C2009 09 17.25263 00 57 30.42 +04 05 43.7          21.0 Vo~097m291
     K09Q34F  C2009 09 18.25841 00 57 55.01 +04 01 11.2          21.0 Vo~097m291
     K09Q34F  C2009 09 18.26377 00 57 55.07 +04 01 09.9          21.0 Vo~097m291
     K09Q34F  C2009 09 18.26982 00 57 55.16 +04 01 08.1          21.1 Vo~097m291
     K09Q34F  C2009 09 20.30215 00 58 36.14 +03 51 37.3          21.1 Vo~09Lr291
     K09Q34F  C2009 09 20.31235 00 58 36.21 +03 51 34.4          21.0 Vo~09Lr291
     K09Q34F  C2009 09 20.32259 00 58 36.27 +03 51 31.5          21.2 Vo~09Lr291
     K09Q34F  C2009 09 24.27753 00 59 28.88 +03 32 19.2          21.0 Vo~09Lr291
     K09Q34F  C2009 09 24.29022 00 59 28.85 +03 32 15.5          21.1 Vo~09Lr291
     K09Q34F  C2009 09 24.30695 00 59 28.84 +03 32 10.5          21.1 Vo~09Lr291
     K09Q34F  C2009 09 25.23553 00 59 37.12 +03 27 37.8          20.9 Vo~09d4691
     K09Q34F  C2009 09 25.25325 00 59 37.06 +03 27 32.2          21.3 Vo~09d4691
     K09Q34F  C2009 09 25.27092 00 59 37.07 +03 27 27.3          21.3 Vo~09d4691
