     K09Q00R* C2009 08 17.24302 21 25 39.10 +15 15 24.0          18.9 Vr~08HK703
     K09Q00R  C2009 08 17.24909 21 25 49.40 +15 16 31.4          19.5 Vr~08HK703
     K09Q00R  C2009 08 17.25521 21 25 59.80 +15 17 38.5          19.5 Vr~08HK703
     K09Q00R  C2009 08 17.26123 21 26 09.96 +15 18 46.5          18.9 Vr~08HK703
     K09Q00R  C2009 08 17.26726 21 26 20.47 +15 19 52.5          19.1 Vr~08HK703
     K09Q00R  C2009 08 17.30417 21 27 23.72 +15 26 39.2          19.5 Vr~08HK703
     K09Q00R  C2009 08 17.30469 21 27 24.65 +15 26 45.3          19.1 Vr~08HK703
     K09Q00R  C2009 08 17.30528 21 27 25.73 +15 26 51.1          19.5 Vr~08HK703
     K09Q00R  C2009 08 17.40009 21 30 14.26 +15 43 59.4          18.9 Rc~08HK854
     K09Q00R  C2009 08 17.40161 21 30 17.06 +15 44 14.2          19.0 Rc~08HK854
     K09Q00R  C2009 08 17.40582 21 30 24.86 +15 45 00.0          19.4 Rc~08HK854
     K09Q00R  C2009 08 17.41477 21 30 41.14 +15 46 32.4          19.4 Vr~08HK703
     K09Q00R  C2009 08 17.41537 21 30 42.51 +15 46 39.9          19.2 Vr~08HK703
     K09Q00R  C2009 08 17.41590 21 30 43.30 +15 46 44.1          19.2 Vr~08HK703
     K09Q00R  C2009 08 17.41652 21 30 44.60 +15 46 52.4          19.9 Vr~08HK703
     K09Q00R  C2009 08 17.83650 21 47 05.66 +17 08 04.2          18.9 Rc~08HKA79
     K09Q00R  C2009 08 17.84067 21 47 14.85 +17 08 57.8          18.9 Rc~08HKA79
     K09Q00R  C2009 08 17.84500 21 47 24.56 +17 09 54.2          18.9 Rc~08HKA79
     K09Q00R  C2009 08 17.85520 21 47 54.60 +17 09 46.2                r~08HKJ95
     K09Q00R  C2009 08 17.85827 21 48 01.70 +17 10 26.5          18.7 Rr~08HKJ95
     K09Q00R  C2009 08 17.87061 21 48 30.30 +17 13 06.4                r~08HKJ95
     K09Q00R  C2009 08 17.87257 21 48 34.81 +17 13 32.0                r~08HKJ95
     K09Q00R  C2009 08 17.87450 21 48 39.24 +17 13 57.4          18.9 Rr~08HKJ95
     K09Q00R  C2009 08 17.87777 21 48 43.78 +17 15 25.0          19.4 Vo~08HK198
     K09Q00R  C2009 08 17.87861 21 48 45.71 +17 15 35.8          19.2 Vo~08HK198
     K09Q00R  C2009 08 17.87934 21 48 47.36 +17 15 44.9          19.1 Vo~08HK198
     K09Q00R  C2009 08 17.87968 21 48 48.15 +17 15 49.5          19.1 Vo~08HK198
     K09Q00R  C2009 08 18.89944322 39 56.71 +21 01 46.6                r~08HKJ95
     K09Q00R  C2009 08 18.90138522 40 03.47 +21 02 14.9                r~08HKJ95
     K09Q00R  C2009 08 18.90385422 40 12.07 +21 02 51.3                r~08HKJ95
     K09Q00R  C2009 08 18.90640322 40 20.89 +21 03 28.7          18.6 Rr~08HKJ95
     K09Q00R  C2009 08 19.07713 22 50 14.63 +21 44 34.8                v~08VO204
     K09Q00R  C2009 08 19.07997 22 50 24.83 +21 45 11.8                v~08VO204
     K09Q00R  C2009 08 19.08280 22 50 35.06 +21 45 49.0                v~08VO204
     K09Q00R  C2009 08 19.08564 22 50 45.33 +21 46 26.0                v~08VO204
     K09Q00R  C2009 08 19.08848 22 50 55.65 +21 47 02.9          18.0 Cv~08VO204
     K09Q00R tC2009 08 19.22591 23 01 00.25 +22 20 09.5          18.8 Vo~08HK291
     K09Q00R tC2009 08 19.23011 23 01 15.94 +22 21 08.8          18.5 Vo~08HK291
     K09Q00R tC2009 08 19.23453 23 01 33.02 +22 22 13.8          18.3 Vo~08HK291
     K09Q00R  C2009 08 19.95796523 56 07.12 +24 37 02.1                r~08HKJ95
     K09Q00R  C2009 08 19.95975023 56 15.64 +24 37 21.1                r~08HKJ95
     K09Q00R  C2009 08 19.96154623 56 24.28 +24 37 39.1          18.8 Rr~08HKJ95
     K09Q00R  C2009 08 21.06569701 33 01.99 +25 34 40.9                r~08HKJ95
     K09Q00R  C2009 08 21.07048301 33 25.94 +25 34 28.2          19.1 Rr~08HKJ95
     K09Q00R  C2009 08 21.07570101 33 52.09 +25 34 13.6          18.4 Rr~08HKJ95
     K09Q00R  C2009 08 22.05198202 51 44.52 +23 21 32.4                r~08VOJ95
     K09Q00R  C2009 08 22.05548702 51 58.64 +23 20 57.8                r~08VOJ95
     K09Q00R  C2009 08 22.05854602 52 10.95 +23 20 26.8          19.0 Rr~08VOJ95
     K09Q00R  C2009 08 22.08453902 53 54.68 +23 15 57.4                r~08VOJ95
     K09Q00R  C2009 08 22.08875202 54 11.36 +23 15 13.3          19.6 Rr~08VOJ95
