     K09R00N* C2009 09 11.00009 00 43 00.85 -11 25 46.6          17.9 Vr~08yVJ75
     K09R00N  C2009 09 11.01356 00 43 02.51 -11 25 51.0          18.0 Vr~08yVJ75
     K09R00N  C2009 09 11.02709 00 43 04.21 -11 25 56.3          18.2 Vr~08yVJ75
     K09R00N  C2009 09 11.07529 00 43 10.27 -11 26 14.8                r~08yVJ95
     K09R00N  C2009 09 11.08126 00 43 11.04 -11 26 17.4                r~08yVJ95
     K09R00N  C2009 09 11.08626 00 43 11.68 -11 26 14.7          18.7 Vr~08yVJ75
     K09R00N  C2009 09 11.08713 00 43 11.81 -11 26 18.8          18.4 Rr~08yVJ95
     K09R00N  C2009 09 11.09278 00 43 12.50 -11 26 16.9          18.7 Vr~08yVJ75
     K09R00N  C2009 09 11.09771 00 43 13.12 -11 26 18.2          18.7 Vr~08yVJ75
     K09R00N  C2009 09 11.10263 00 43 13.72 -11 26 19.7          18.5 Vr~08yVJ75
     K09R00N  C2009 09 11.10975 00 43 14.64 -11 26 22.2          18.5 Vr~08yVJ75
     K09R00N  C2009 09 11.15828 00 43 22.95 -11 26 37.9          18.4 Rr~08yVH26
     K09R00N  C2009 09 11.16303 00 43 23.50 -11 26 38.1          18.7 Rr~08yVH26
     K09R00N  C2009 09 11.16771 00 43 24.09 -11 26 41.2          18.7 Rr~08yVH26
     K09R00N  C2009 09 11.20066 00 43 28.42 -11 26 51.1          18.3 Vo~08yVH55
     K09R00N  C2009 09 11.20836 00 43 29.40 -11 26 53.4          18.2 Vo~08yVH55
     K09R00N  C2009 09 11.21605 00 43 30.38 -11 26 56.3          18.2 Vo~08yVH55
     K09R00N  C2009 09 11.33564 00 43 46.25 -11 27 32.2          18.6 Rc~08yV854
     K09R00N  C2009 09 11.33852 00 43 46.62 -11 27 33.4          18.6 Rc~08yV854
     K09R00N  C2009 09 11.34139 00 43 46.97 -11 27 34.3          18.6 Rc~08yV854
     K09R00N  C2009 09 11.41073 00 43 55.46 -11 27 59.0          17.9 Rr~08yVH36
     K09R00N  C2009 09 11.41466 00 43 55.92 -11 28 00.4          18.3 Rr~08yVH36
     K09R00N  C2009 09 11.41791 00 43 56.34 -11 28 01.3          18.1 Rr~08yVH36
     K09R00N  C2009 09 11.42809 00 43 57.84 -11 28 02.3          18.5 Rr~08yVH10
     K09R00N  C2009 09 11.43807 00 43 59.06 -11 28 05.2          18.4 Rr~08yVH10
     K09R00N  C2009 09 12.22287 00 45 49.58 -11 32 19.7          19.2 Vo~097pH55
     K09R00N  C2009 09 12.22597 00 45 49.99 -11 32 20.7          19.3 Vo~097pH55
     K09R00N  C2009 09 12.22906 00 45 50.40 -11 32 21.7          19.4 Vo~097pH55
     K09R00N  C2009 09 12.23370 00 45 51.01 -11 32 23.4          19.2 Vo~097pH55
     K09R00N  C2009 09 12.99929 00 47 39.26 -11 36 32.5                r~097pJ95
     K09R00N  C2009 09 12.99938 00 47 39.07 -11 36 32.1          18.3 Vr~097pA17
     K09R00N  C2009 09 13.01129 00 47 40.65 -11 36 36.2          18.1 Vr~097pA17
     K09R00N  C2009 09 13.02391 00 47 42.35 -11 36 40.0          18.3 Vr~097pA17
     K09R00N  C2009 09 13.05696 00 47 47.06 -11 36 51.0                r~097pJ95
     K09R00N  C2009 09 13.06277 00 47 47.85 -11 36 52.7                r~097pJ95
     K09R00N  C2009 09 13.06858 00 47 48.61 -11 36 54.6          18.3 Rr~097pJ95
     K09R00N  C2009 09 13.29448 00 48 20.48 -11 37 27.3          18.1 Cr~097pI20
     K09R00N  C2009 09 13.29840 00 48 21.01 -11 37 28.2          18.2 Cr~097pI20
     K09R00N  C2009 09 13.30238 00 48 21.53 -11 37 29.1          18.2 Cr~097pI20
     K09R00N  C2009 09 14.43798 00 51 07.59 -11 44 02.3          18.1 Vo~097p291
     K09R00N  C2009 09 14.44179 00 51 08.19 -11 44 02.4          18.3 Vo~097p291
     K09R00N  C2009 09 14.44548 00 51 08.70 -11 44 03.4          18.3 Vo~097p291
     K09R00N  C2009 09 15.21061100 53 05.56 -11 48 04.6          18.2 Vr~097pH55
     K09R00N  C2009 09 15.21488000 53 06.18 -11 48 06.3          18.0 Vr~097pH55
     K09R00N  C2009 09 15.22011400 53 06.91 -11 48 07.8          18.3 Vr~097pH55
     K09R00N  C2009 09 15.29719 00 53 18.54 -11 48 29.4          18.2 Vo~097p291
     K09R00N  C2009 09 15.30093 00 53 19.07 -11 48 30.5          18.2 Vo~097p291
     K09R00N  C2009 09 15.30465 00 53 19.61 -11 48 31.9          18.2 Vo~097p291
