     K09S00D* C2009 09 16.28421 23 43 16.78 +04 47 41.2          20.9 Vr~097yG96
     K09S00D  C2009 09 16.29113 23 43 15.78 +04 47 36.8          21.1 Vr~097yG96
     K09S00D  C2009 09 16.29817 23 43 14.77 +04 47 31.9          21.2 Vr~097yG96
     K09S00D  C2009 09 16.30517 23 43 13.80 +04 47 27.2          20.9 Vr~097yG96
     K09S00D  C2009 09 16.33829 23 43 09.08 +04 47 05.4          20.7 Vr~097yG96
     K09S00D  C2009 09 16.34317 23 43 08.36 +04 47 02.0          21.1 Vr~097yG96
     K09S00D  C2009 09 16.34806 23 43 07.68 +04 46 58.6          20.8 Vr~097yG96
     K09S00D  C2009 09 16.35295 23 43 06.96 +04 46 55.2          20.5 Vr~097yG96
     K09S00D  C2009 09 17.19944 23 41 47.50 +04 38 05.1          21.7 Vr~097yG96
     K09S00D  C2009 09 17.20681 23 41 46.64 +04 38 01.3          21.1 Vr~097yG96
     K09S00D  C2009 09 17.21397 23 41 45.78 +04 37 56.9          20.7 Vr~097yG96
     K09S00D  C2009 09 17.22116 23 41 44.98 +04 37 53.9          21.4 Vo~097y291
     K09S00D  C2009 09 17.22125 23 41 44.91 +04 37 53.0          20.9 Vr~097yG96
     K09S00D  C2009 09 17.22485 23 41 44.52 +04 37 51.8          21.3 Vo~097y291
     K09S00D  C2009 09 17.22859 23 41 44.12 +04 37 49.9          20.9 Vo~097y291
     K09S00D  C2009 09 18.40163 23 40 02.47 +04 27 21.4          21.7 Vo~097y291
     K09S00D  C2009 09 18.40530 23 40 02.11 +04 27 19.7          21.6 Vo~097y291
     K09S00D  C2009 09 18.40920 23 40 01.75 +04 27 17.9          21.8 Vo~097y291
     K09S00D  C2009 09 19.23048 23 39 09.41 +04 20 54.6                o~09Ml291
     K09S00D HC2009 09 19.23435 23 39 09.01 +04 20 54.1                o~09Ml291
     K09S00D  C2009 09 19.23805 23 39 08.74 +04 20 51.2                o~09Ml291
     K09S00D  C2009 09 19.24429 23 39 08.18 +04 20 48.8                o~09Ml291
     K09S00D  C2009 09 19.24839 23 39 07.78 +04 20 47.2                o~09Ml291
     K09S00D  C2009 09 19.25218 23 39 07.48 +04 20 45.6                o~09Ml291
