     K09T00T* C2009 10 10.16647 00 20 20.40 +19 21 33.3          18.6 Vr~09zo703
     K09T00T  C2009 10 10.17304 00 20 28.53 +19 20 44.3          19.0 Vr~09zo703
     K09T00T  C2009 10 10.17976 00 20 36.63 +19 19 55.3          18.8 Vr~09zo703
     K09T00T  C2009 10 10.18624 00 20 44.48 +19 19 04.5          18.7 Vr~09zo703
     K09T00T  C2009 10 10.19294 00 20 52.72 +19 18 11.8          18.9 Vr~09zo703
     K09T00T  C2009 10 10.19355 00 20 53.44 +19 18 08.2          18.6 Vr~09zo703
     K09T00T  C2009 10 10.19416 00 20 54.20 +19 18 05.0          19.0 Vr~09zo703
     K09T00T  C2009 10 10.19477 00 20 55.10 +19 17 58.8          20.1 Vr~09zo703
     K09T00T  C2009 10 10.37940 00 24 57.63 +18 57 06.5          18.5 Ro~09zo474
     K09T00T  C2009 10 10.38021 00 24 58.72 +18 56 59.9          19.1 Ro~09zo474
     K09T00T  C2009 10 10.38090 00 24 59.63 +18 56 54.5          19.2 Ro~09zo474
     K09T00T  C2009 10 10.38426 00 25 03.91 +18 56 28.3          19.1 Ro~09zo474
     K09T00T  C2009 10 10.38495 00 25 04.87 +18 56 23.6          19.2 Ro~09zo474
     K09T00T  C2009 10 10.92440 00 37 31.98 +17 32 20.9          18.2 Rc~09zo587
     K09T00T  C2009 10 10.92594 00 37 33.99 +17 32 05.6          18.3 Rc~09zo587
     K09T00T  C2009 10 10.92773 00 37 36.51 +17 31 49.5          18.4 Rc~09zo587
     K09T00T  C2009 10 10.92894 00 37 38.12 +17 31 38.3                c~09zo587
     K09T00T  C2009 10 11.00082 00 39 19.13 +17 20 04.2                v~09zo204
     K09T00T  C2009 10 11.00590 00 39 26.36 +17 19 14.7                v~09zo204
     K09T00T  C2009 10 11.01106 00 39 33.64 +17 18 23.7          18.4 Cv~09zo204
     K09T00T  C2009 10 11.11075 00 42 13.98 +17 02 13.0          18.8 Vo~09zoH55
     K09T00T  C2009 10 11.11356 00 42 18.07 +17 01 44.8          18.5 Vo~09zoH55
     K09T00T  C2009 10 11.11634 00 42 22.08 +17 01 18.3          18.4 Vo~09zoH55
     K09T00T  C2009 10 11.88606 01 02 57.28 +14 37 55.1                r~09zoJ95
     K09T00T  C2009 10 11.88824 01 03 00.88 +14 37 28.8                r~09zoJ95
     K09T00T  C2009 10 11.89046 01 03 04.57 +14 37 02.0          18.0 Rr~09zoJ95
     K09T00T  C2009 10 12.12019 01 09 49.79 +13 49 25.6          18.5 Ro~09zoH01
     K09T00T  C2009 10 12.12420 01 09 56.71 +13 48 34.2          17.9 Ro~09zoH01
     K09T00T  C2009 10 12.12763 01 10 02.64 +13 47 50.7          17.8 Ro~09zoH01
     K09T00T  C2009 10 12.13613 01 10 17.32 +13 46 01.9          18.2 Ro~09zoH01
     K09T00T  C2009 10 12.14464 01 10 31.97 +13 44 12.7          17.8 Ro~09zoH01
     K09T00T  C2009 10 12.34700 01 16 21.71 +12 59 28.1          18.3 Rc~09zo926
     K09T00T  C2009 10 12.34831 01 16 23.99 +12 59 10.0          18.2 Rc~09zo926
     K09T00T  C2009 10 12.34962 01 16 26.27 +12 58 52.0          18.3 Rc~09zo926
     K09T00T  C2009 10 12.49310201 20 57.93 +12 30 17.8          17.7 Ro~09zo474
     K09T00T  C2009 10 12.49369201 20 58.94 +12 30 09.6          17.3 Ro~09zo474
     K09T00T  C2009 10 12.49554401 21 02.24 +12 29 43.9          18.1 Ro~09zo474
     K09T00T  C2009 10 12.49704901 21 04.96 +12 29 22.3          18.2 Ro~09zo474
     K09T00T  C2009 10 12.49936301 21 09.11 +12 28 50.0          18.1 Ro~09zo474
     K09T00T  C2009 10 12.50214101 21 14.06 +12 28 10.1          18.3 Ro~09zo474
     K09T00T  C2009 10 13.39756 01 50 39.76 +08 29 33.4          17.9 Rc~09zo926
     K09T00T  C2009 10 13.40015 01 50 44.88 +08 28 49.7          17.5 Rc~09zo926
     K09T00T  C2009 10 13.72993 02 02 30.26 +06 57 09.2          18.2 Rc~09zoD21
     K09T00T  C2009 10 13.73292 02 02 36.38 +06 56 15.2          18.2 Rc~09zoD21
     K09T00T  C2009 10 13.82556 02 05 49.55 +06 28 09.4          17.9 Rc~09zoD21
     K09T00T  C2009 10 13.82854 02 05 55.86 +06 27 14.2          17.8 Rc~09zoD21
     K09T00T  C2009 10 14.69348 02 38 36.48 +01 50 41.6          18.3 Rc~09zoD21
     K09T00T  C2009 10 14.70083 02 38 52.69 +01 48 13.8          18.2 Rc~09zpD21
     K09T00T  C2009 10 15.35639 03 04 19.95 -01 57 17.2          18.4 Vr~09zp703
     K09T00T  C2009 10 15.36354 03 04 36.04 -01 59 42.8          18.6 Vr~09zp703
     K09T00T  C2009 10 15.37088 03 04 52.42 -02 02 09.9          18.4 Vr~09zp703
     K09T00T  C2009 10 15.37821 03 05 08.98 -02 04 39.5          18.5 Vr~09zp703
     K09T00T  C2009 10 15.77619 03 20 39.23 -04 13 10.0          18.9 Rc~09zpD21
     K09T00T  C2009 10 15.77988 03 20 47.50 -04 14 24.7          19.0 Rc~09zpD21
     K09T00T  C2009 10 15.78360 03 20 55.79 -04 15 38.2          19.3 Rc~09zpD21
     K09T00T  C2009 10 16.30727 03 41 20.61 -07 11 20.6          19.4 Rc~09zp926
     K09T00T  C2009 10 16.30847 03 41 23.26 -07 11 43.9          19.4 Rc~09zp926
     K09T00T  C2009 10 16.30964 03 41 25.84 -07 12 06.1          19.4 Rc~09zp926
     K09T00T  C2009 10 18.42626 04 55 10.18 -16 38 30.9          20.4 Vo~0AHeH55
     K09T00T  C2009 10 18.42910 04 55 15.17 -16 39 06.2          20.7 Vo~0AHeH55
     K09T00T  C2009 10 18.43202 04 55 20.37 -16 39 42.3          20.6 Vo~0AHeH55
