     K09U14K* C2009 10 22.24670 01 50 56.50 +13 14 47.0          20.1 Vr~0AIXG96
     K09U14K  C2009 10 22.25042 01 50 57.69 +13 15 07.4          20.1 Vr~0AIXG96
     K09U14K  C2009 10 22.25419 01 50 58.88 +13 15 27.9          20.0 Vr~0AIXG96
     K09U14K  C2009 10 22.25801 01 51 00.10 +13 15 48.7          19.8 Vr~0AIXG96
     K09U14K  C2009 10 22.28932 01 51 10.18 +13 18 39.0          19.6 Vr~0AIXG96
     K09U14K  C2009 10 22.29644 01 51 12.45 +13 19 17.7          19.5 Vr~0AIXG96
     K09U14K  C2009 10 22.30356 01 51 14.72 +13 19 56.4          19.3 Vr~0AIXG96
     K09U14K  C2009 10 22.31086 01 51 17.10 +13 20 36.2          19.7 Vr~0AIXG96
     K09U14K  C2009 10 22.32155 01 51 20.52 +13 21 33.7          19.6 Vr~0AIXG96
     K09U14K  C2009 10 22.33060 01 51 23.47 +13 22 23.3          19.4 Vr~0AIXG96
     K09U14K  C2009 10 22.33995 01 51 26.49 +13 23 13.9          19.4 Vr~0AIXG96
     K09U14K  C2009 10 22.34925 01 51 29.52 +13 24 04.1          19.4 Vr~0AIXG96
     K09U14K  C2009 10 22.36491 01 51 34.66 +13 25 29.2          19.9 Vr~0AIXG96
     K09U14K  C2009 10 22.36839 01 51 35.82 +13 25 50.7          20.5 Rc~0AIX926
     K09U14K  C2009 10 22.37133 01 51 36.78 +13 26 06.6          20.3 Rc~0AIX926
     K09U14K  C2009 10 22.37388 01 51 37.65 +13 26 17.8          19.4 Vr~0AIXG96
     K09U14K  C2009 10 22.37427 01 51 37.74 +13 26 22.3          20.3 Rc~0AIX926
     K09U14K  C2009 10 22.38394 01 51 41.00 +13 27 12.0          19.6 Vr~0AIXG96
     K09U14K  C2009 10 22.39282 01 51 43.95 +13 28 00.3          20.0 Vr~0AIXG96
     K09U14K 6C2009 10 22.56946201 52 49.85 +13 44 51.4          20.0 Ro~0AIXF65
     K09U14K  C2009 10 23.11568 01 56 41.17 +14 37 49.3                r~0AIXJ95
     K09U14K  C2009 10 23.12404 01 56 44.54 +14 38 40.3          19.6 Rr~0AIXJ95
     K09U14K tC2009 10 23.15416 01 57 10.74 +14 42 32.2          20.2 Vo~0AIX291
     K09U14K tC2009 10 23.15818 01 57 12.39 +14 42 58.5          20.2 Vo~0AIX291
     K09U14K tC2009 10 23.16224 01 57 14.09 +14 43 24.5          20.0 Vo~0AIX291
     K09U14K  C2009 10 23.38854 01 58 44.18 +15 07 42.9          20.8 Rc~0AIX926
     K09U14K  C2009 10 23.39090 01 58 45.12 +15 07 56.5          20.6 Rc~0AIX926
     K09U14K  C2009 10 23.39325 01 58 46.16 +15 08 12.4          20.5 Rc~0AIX926
     K09U14K  C2009 10 25.14567602 15 24.96 +18 51 48.3          19.3 Vo~0Ad8H55
     K09U14K  C2009 10 25.14699202 15 25.78 +18 52 00.3          19.4 Vo~0Ad8H55
     K09U14K  C2009 10 25.15123102 15 28.41 +18 52 39.2          19.4 Vo~0Ad8H55
     K09U14K  C2009 10 30.38471 04 29 05.51 +39 30 05.4          19.0 Rc~0Ad8926
     K09U14K  C2009 10 30.38706 04 29 12.33 +39 30 45.6          19.3 Rc~0Ad8926
     K09U14K  C2009 10 30.38942 04 29 19.17 +39 31 26.1          19.4 Rc~0Ad8926
     K09U14K  C2009 10 31.35890 05 25 56.09 +43 36 03.7          18.6 Rr~0Av4H36
     K09U14K  C2009 10 31.36993 05 26 37.29 +43 38 23.0          18.2 Rr~0Av4H36
     K09U14K  C2009 10 31.38097 05 27 18.85 +43 40 40.1          18.4 Rr~0Av4H36
     K09U14K  C2009 11 01.37006 06 36 48.79 +45 50 49.0                o~0Av4H55
     K09U14K  C2009 11 01.37155 06 36 55.01 +45 50 53.9          19.3 Vo~0Av4H55
     K09U14K  C2009 11 01.37314 06 37 01.73 +45 50 58.8          19.2 Vo~0Av4H55
     K09U14K  C2009 11 01.37491 06 37 09.13 +45 51 04.7          19.4 Vo~0Av4H55
     K09U14K  C2009 11 01.37668 06 37 16.66 +45 51 10.5                o~0Av4H55
     K09U14K  C2009 11 01.49120 06 45 29.70 +45 56 33.0          19.1 Rc~0Av4926
     K09U14K  C2009 11 01.49391 06 45 41.08 +45 56 37.1          19.2 Rc~0Av4926
     K09U14K  C2009 11 01.49662 06 45 52.44 +45 56 41.4          19.2 Rc~0Av4926
     K09U14K  C2009 11 02.04315607 25 36.07 +45 43 01.9                r~0Av4J95
     K09U14K  C2009 11 02.04968707 26 03.13 +45 42 42.0                r~0Av4J95
     K09U14K  C2009 11 02.05864107 26 40.16 +45 42 13.7          18.7 Rr~0Av4J95
     K09U14K  C2009 11 02.51487 07 57 26.15 +44 59 40.3          19.3 Rc~0Av4926
     K09U14K  C2009 11 02.51688 07 57 33.64 +44 59 24.7          19.2 Rc~0Av4926
     K09U14K  C2009 11 02.51889 07 57 41.20 +44 59 09.0          19.1 Rc~0Av4926
     K09U14K  C2009 11 02.52089 07 57 48.68 +44 58 53.2          19.0 Rc~0Av4926
     K09U14K  C2009 11 02.52291 07 57 56.19 +44 58 37.1          19.1 Rc~0Av4926
     K09U14K  C2009 11 02.52700 07 58 11.52 +44 58 04.7          18.3 Rc~0Av4926
     K09U14K  C2009 11 03.16547 08 37 09.05 +43 10 00.5                v~0BIb204
     K09U14K  C2009 11 03.17492 08 37 39.65 +43 08 12.7          19.1 Cv~0BIb204
     K09U14K  C2009 11 04.47334 09 38 21.11 +38 19 44.3          20.0 Rc~0Av4926
     K09U14K  C2009 11 04.47605 09 38 27.01 +38 19 08.2          20.3 Rc~0Av4926
     K09U14K  C2009 11 04.47877 09 38 32.88 +38 18 31.8          20.2 Rc~0Av4926
     K09U14K  C2009 11 04.48148 09 38 38.71 +38 17 55.4          19.7 Rc~0Av4926
     K09U14K  C2009 11 04.48690 09 38 50.41 +38 16 43.0          19.6 Rc~0Av4926
     K09U14K  C2009 11 04.49230 09 39 02.02 +38 15 29.2          19.4 Rc~0Av4926
     K09U14K  C2009 11 04.49501 09 39 07.84 +38 14 53.2          19.7 Rc~0Av4926
     K09U14K  C2009 11 05.50421 10 11 41.53 +34 25 35.8          20.3 Rc~0Av4926
     K09U14K  C2009 11 05.50763 10 11 46.77 +34 24 51.9          20.2 Rc~0Av4926
