     K09U20L* C2009 10 25.23483 02 08 33.25 +08 23 12.6          20.2 Vr~0AdHG96
     K09U20L  C2009 10 25.24166 02 08 34.47 +08 23 16.2          21.0 Vr~0AdHG96
     K09U20L  C2009 10 25.24841 02 08 35.55 +08 23 19.0          21.3 Vr~0AdHG96
     K09U20L  C2009 10 25.25516 02 08 36.81 +08 23 22.1          21.1 Vr~0AdHG96
     K09U20L  C2009 10 25.36691 02 08 56.11 +08 24 10.7          20.8 Vr~0AdHG96
     K09U20L  C2009 10 25.36765 02 08 56.22 +08 24 11.2          20.8 Vr~0AdHG96
     K09U20L  C2009 10 25.36840 02 08 56.36 +08 24 11.4          20.6 Vr~0AdHG96
     K09U20L  C2009 10 25.36914 02 08 56.43 +08 24 11.8          20.3 Vr~0AdHG96
     K09U20L  C2009 10 25.38656 02 08 59.53 +08 24 19.2          20.5 Vr~0AdHG96
     K09U20L  C2009 10 25.38724 02 08 59.67 +08 24 19.6          20.4 Vr~0AdHG96
     K09U20L  C2009 10 25.38794 02 08 59.78 +08 24 19.8          20.4 Vr~0AdHG96
     K09U20L  C2009 10 25.38865 02 08 59.89 +08 24 19.8          20.6 Vr~0AdHG96
     K09U20L  C2009 10 25.97123 02 10 51.53 +08 28 21.0                c~0AdH587
     K09U20L  C2009 10 26.17091 02 11 30.90 +08 29 54.9                o~0AdH291
     K09U20L  C2009 10 26.17477 02 11 31.61 +08 29 57.4                o~0AdH291
     K09U20L  C2009 10 26.17866 02 11 32.22 +08 29 58.3                o~0AdH291
     K09U20L  C2009 10 26.19546 02 11 34.89 +08 30 04.5          19.7 Ro~0AdHH01
     K09U20L  C2009 10 26.19923 02 11 35.53 +08 30 06.0          19.7 Ro~0AdHH01
     K09U20L  C2009 10 26.20317 02 11 36.19 +08 30 07.8          19.6 Ro~0AdHH01
     K09U20L  C2009 10 26.20812 02 11 37.01 +08 30 10.1          19.8 Ro~0AdHH01
     K09U20L  C2009 10 26.21289 02 11 37.85 +08 30 12.3          19.9 Ro~0AdHH01
     K09U20L  C2009 10 27.21063 02 14 37.87 +08 37 08.3          21.1 Vo~0AdH291
     K09U20L  C2009 10 27.21438 02 14 38.46 +08 37 09.7          21.0 Vo~0AdH291
     K09U20L  C2009 10 27.21833 02 14 39.09 +08 37 11.4          21.1 Vo~0AdH291
     K09U20L  C2009 11 08.37802 02 41 59.14 +09 49 12.2          21.9 Vo~0B1M291
     K09U20L  C2009 11 08.38878 02 42 00.12 +09 49 15.6          21.3 Vo~0B1M291
     K09U20L HC2009 11 08.39649 02 42 00.72 +09 49 17.4                o~0B1M291
     K09U20L  C2009 11 09.38479 02 43 39.42 +09 54 36.7          21.8 Vo~0B1M291
     K09U20L  C2009 11 09.38904 02 43 39.82 +09 54 38.1          21.3 Vo~0B1M291
     K09U20L  C2009 11 18.18877 02 55 54.43 +10 41 48.0                o~0BIc291
     K09U20L HC2009 11 18.19273 02 55 54.67 +10 41 49.6                o~0BIc291
     K09U20L  C2009 11 18.19669 02 55 54.94 +10 41 50.7                o~0BIc291
