     K09U87Y* C2009 10 27.40843 07 00 10.26 +51 43 17.9          18.1 Vr~0AeP703
     K09U87Y  C2009 10 27.41380 07 00 15.91 +51 43 31.0          18.2 Vr~0AeP703
     K09U87Y  C2009 10 27.41928 07 00 21.70 +51 43 43.9          18.3 Vr~0AeP703
     K09U87Y  C2009 10 27.49050 07 01 36.84 +51 46 30.8          17.8 Ro~0AePH01
     K09U87Y  C2009 10 27.49176 07 01 38.42 +51 46 34.8          18.1 Vr~0AeP703
     K09U87Y  C2009 10 27.49226 07 01 38.89 +51 46 35.6          18.3 Vr~0AeP703
     K09U87Y  C2009 10 27.49266 07 01 39.32 +51 46 36.5          18.2 Vr~0AeP703
     K09U87Y  C2009 10 27.49315 07 01 39.82 +51 46 38.1          18.1 Vr~0AeP703
     K09U87Y  C2009 10 27.49388 07 01 40.42 +51 46 38.6          17.8 Ro~0AePH01
     K09U87Y  C2009 10 27.49745 07 01 44.22 +51 46 46.7          17.8 Ro~0AePH01
     K09U87Y  C2009 10 27.50100 07 01 47.97 +51 46 54.9          17.9 Ro~0AePH01
     K09U87Y  C2009 10 27.50565 07 01 52.92 +51 47 05.4          17.9 Ro~0AePH01
     K09U87Y  C2009 10 27.51332 07 02 01.17 +51 47 24.0          18.3 Vr~0AeP703
     K09U87Y  C2009 10 27.51392 07 02 01.89 +51 47 25.5          18.3 Vr~0AeP703
     K09U87Y  C2009 10 27.51454 07 02 02.54 +51 47 26.7          18.2 Vr~0AeP703
     K09U87Y  C2009 10 27.51515 07 02 03.22 +51 47 28.6          18.3 Vr~0AeP703
     K09U87Y  C2009 10 27.69683 07 05 23.76 +51 54 05.8          19.0 Vo~0AeP900
     K09U87Y  C2009 10 27.70049 07 05 27.73 +51 54 14.1          18.6 Vo~0AeP900
     K09U87Y  C2009 10 29.38573 07 38 12.33 +52 41 29.6          17.6 Vr~0AeP703
     K09U87Y  C2009 10 29.39201 07 38 20.04 +52 41 37.8          18.2 Vr~0AeP703
     K09U87Y  C2009 10 29.40409 07 38 34.72 +52 41 52.3          18.2 Vr~0AeP703
     K09U87Y  C2009 10 30.49391 08 01 33.71 +52 54 17.0          18.3 Rc~0AeP926
     K09U87Y  C2009 10 30.49522 08 01 35.37 +52 54 17.3          18.3 Rc~0AeP926
     K09U87Y  C2009 10 30.49653 08 01 37.02 +52 54 17.7          18.2 Rc~0AeP926
     K09U87Y  C2009 10 31.38754 08 21 15.30 +52 51 25.9          18.3 Ro~0Av6H36
     K09U87Y  C2009 10 31.38995 08 21 18.55 +52 51 24.9          18.1 Ro~0Av6H36
     K09U87Y  C2009 10 31.39716 08 21 28.11 +52 51 21.6          18.2 Ro~0Av6H36
     K09U87Y  C2009 11 01.39143 08 43 53.89 +52 33 13.8          18.8 Vo~0Av6H55
     K09U87Y  C2009 11 01.39424 08 43 57.64 +52 33 09.3          18.7 Vo~0Av6H55
     K09U87Y  C2009 11 01.39554 08 43 59.39 +52 33 07.7          18.7 Vo~0Av6H55
     K09U87Y  C2009 11 01.39700 08 44 01.40 +52 33 05.6          18.6 Vo~0Av6H55
     K09U87Y  C2009 11 01.39828 08 44 03.12 +52 33 03.7          18.7 Vo~0Av6H55
     K09U87Y  C2009 11 01.39957 08 44 04.82 +52 33 01.7          18.7 Vo~0Av6H55
     K09U87Y  C2009 11 01.52397 08 46 53.48 +52 29 43.6          18.5 Rc~0Av6926
     K09U87Y  C2009 11 01.52551 08 46 55.53 +52 29 40.9          18.5 Rc~0Av6926
     K09U87Y  C2009 11 01.52705 08 46 57.62 +52 29 38.3          18.5 Rc~0Av6926
     K09U87Y  C2009 11 03.13927 09 23 31.99 +51 20 26.5                v~0BIq204
     K09U87Y  C2009 11 03.14453 09 23 39.00 +51 20 09.1          18.0 Cv~0BIq204
