     K09V00X* C2009 11 09.22026 01 59 15.43 +07 46 30.4          19.0 Vr~0B1s703
     K09V00X  C2009 11 09.23477 01 59 13.16 +07 50 01.3          19.1 Vr~0B1s703
     K09V00X  C2009 11 09.24206 01 59 12.04 +07 51 48.9          18.7 Vr~0B1s703
     K09V00X  C2009 11 09.28515 01 59 04.99 +08 02 29.9          18.7 Vr~0B1s703
     K09V00X  C2009 11 09.28582 01 59 04.88 +08 02 39.3          18.8 Vr~0B1s703
     K09V00X  C2009 11 09.28648 01 59 04.81 +08 02 49.0          18.9 Vr~0B1s703
     K09V00X  C2009 11 09.28716 01 59 04.66 +08 02 59.9          18.9 Vr~0B1s703
     K09V00X  C2009 11 09.32923 01 58 57.89 +08 13 39.5          19.4 Rc~0B1s854
     K09V00X  C2009 11 09.33219 01 58 57.46 +08 14 25.3          19.6 Rc~0B1s854
     K09V00X  C2009 11 09.33515 01 58 57.01 +08 15 11.9          19.5 Rc~0B1s854
     K09V00X  C2009 11 09.35546 01 58 53.19 +08 20 15.1          18.5 Ro~0B1sH01
     K09V00X  C2009 11 09.36071 01 58 52.44 +08 21 36.5          18.3 Ro~0B1sH01
     K09V00X  C2009 11 09.36461 01 58 51.90 +08 22 37.1          18.2 Ro~0B1sH01
     K09V00X  C2009 11 09.36848 01 58 51.34 +08 23 38.4          18.7 Ro~0B1sH01
     K09V00X  C2009 11 09.42207 01 58 44.81 +08 38 04.0          19.4 Rc~0B1s926
     K09V00X  C2009 11 09.42373 01 58 44.61 +08 38 30.1          19.4 Rc~0B1s926
     K09V00X  C2009 11 09.42539 01 58 44.37 +08 38 57.3          19.3 Rc~0B1s926
     K09V00X  C2009 11 09.90152 01 58 35.19 +11 09 40.4                v~0BJ3204
     K09V00X  C2009 11 09.90533 01 58 34.46 +11 11 05.2                v~0BJ3204
     K09V00X  C2009 11 09.90914 01 58 33.76 +11 12 30.5                v~0BJ3204
     K09V00X  C2009 11 09.91300 01 58 33.04 +11 13 57.1          18.4 Cv~0BJ3204
     K09V00X  C2009 11 10.93617 01 56 32.24 +21 03 19.2          17.5 Cw~0B1s160
     K09V00X  C2009 11 10.93750 01 56 31.76 +21 04 28.6          17.4 Cw~0B1s160
     K09V00X  C2009 11 10.93804 01 56 31.55 +21 04 57.0                w~0B1s160
     K09V00X  C2009 11 10.93939 01 56 31.05 +21 06 07.9                w~0B1s160
     K09V00X  C2009 11 10.93996 01 56 30.81 +21 06 38.9                w~0B1s160
     K09V00X  C2009 11 11.26256 01 55 17.23 +26 45 44.1          18.7  c~0B1s704
     K09V00X  C2009 11 11.27489 01 55 10.28 +27 00 59.8          18.6  c~0B1s704
     K09V00X  C2009 11 11.28727 01 55 03.28 +27 16 31.2          18.5  c~0B1s704
     K09V00X  C2009 11 11.29961 01 54 56.21 +27 32 11.1          18.6  c~0B1s704
     K09V00X  C2009 11 11.42650 01 53 46.20 +30 25 55.5          17.0 Rc~0B1s926
     K09V00X  C2009 11 11.42780 01 53 45.43 +30 27 49.5          17.0 Rc~0B1s926
     K09V00X  C2009 11 11.90706001 50 05.67 +46 36 33.2          17.1 Vr~0B1sJ75
     K09V00X  C2009 11 11.90848401 50 03.56 +46 40 21.3          16.9 Vr~0B1sJ75
     K09V00X  C2009 11 11.90964101 50 01.86 +46 43 27.0          17.2 Vr~0B1sJ75
     K09V00X  C2009 11 11.91104201 49 59.77 +46 47 11.9          17.0 Vr~0B1sJ75
     K09V00X  C2009 11 11.91236101 49 57.81 +46 50 43.5          17.0 Vr~0B1sJ75
     K09V00X  C2009 11 12.05166901 45 55.50 +53 27 16.5                o~0B1sJ95
     K09V00X  C2009 11 12.05257001 45 53.70 +53 30 03.1                o~0B1sJ95
     K09V00X  C2009 11 12.05346301 45 51.85 +53 32 48.1          17.1 Ro~0B1sJ95
     K09V00X  C2009 11 12.06931501 45 18.87 +54 22 00.5                o~0B1sJ95
     K09V00X  C2009 11 12.07046501 45 16.42 +54 25 36.8                o~0B1sJ95
     K09V00X  C2009 11 12.07154401 45 14.16 +54 28 59.2          17.1 Ro~0B1sJ95
     K09V00X  C2009 11 12.21743201 38 56.60 +62 37 18.0          17.7 Ro~0B1sJ95
     K09V00X  C2009 11 12.22063701 38 46.32 +62 48 43.8          17.5 Ro~0B1sJ95
     K09V00X  C2009 11 12.22391301 38 35.78 +63 00 26.6          18.0 Ro~0B1sJ95
     K09V00X  C2009 11 12.22763701 38 23.61 +63 13 47.5          17.1 Ro~0B1sJ95
     K09V00X  C2009 11 12.28868 01 34 23.23 +67 18 05.7          19.1 Vo~0B1sH21
     K09V00X  C2009 11 12.28980 01 34 16.76 +67 22 19.8          19.5 Vo~0B1sH21
     K09V00X  C2009 11 12.29110 01 34 09.19 +67 27 11.8          19.9 Vo~0B1sH21
     K09V00X  C2009 11 12.29165 01 34 06.09 +67 29 11.8          19.4 Vo~0B1sH21
     K09V00X  C2009 11 12.29238 01 34 01.94 +67 32 02.1          19.2 Vo~0B1sH21
     K09V00X  C2009 11 12.29348 01 33 55.43 +67 36 09.0          19.3 Vo~0B1sH21
     K09V00X  C2009 11 12.29440 01 33 50.04 +67 39 38.7                o~0B1sH21
