     K09W54D* C2009 11 24.29954 03 21 43.49 +20 23 44.6          20.1 Vr~0BmpG96
     K09W54D  C2009 11 24.30541 03 21 28.88 +20 23 55.1                r~0BmpG96
     K09W54D  C2009 11 24.31126 03 21 13.93 +20 24 00.2          20.0 Vr~0BmpG96
     K09W54D  C2009 11 24.31709 03 20 59.20 +20 24 07.6                r~0BmpG96
     K09W54D  C2009 11 24.35300 03 19 30.36 +20 24 52.0          19.7 Vr~0BmpG96
     K09W54D  C2009 11 24.35333 03 19 29.53 +20 24 52.8          19.6 Vr~0BmpG96
     K09W54D  C2009 11 24.35370 03 19 28.66 +20 24 52.9          19.9 Vr~0BmpG96
     K09W54D  C2009 11 24.35404 03 19 27.84 +20 24 53.2          19.8 Vr~0BmpG96
     K09W54D  C2009 11 24.39755 03 17 43.42 +20 25 39.0          20.4 Rc~0Bmp926
     K09W54D  C2009 11 24.40027 03 17 37.00 +20 25 40.7          20.1 Rc~0Bmp926
     K09W54D  C2009 11 24.40296 03 17 30.75 +20 25 42.0          20.2 Rc~0Bmp926
     K09W54D  C2009 11 24.40568 03 17 24.42 +20 25 43.7          19.7 Rc~0Bmp926
     K09W54D  C2009 11 24.42314 03 16 44.36 +20 25 42.9          19.5 Vr~0BmpG96
     K09W54D  C2009 11 24.42360 03 16 43.39 +20 25 42.8          19.8 Vr~0BmpG96
     K09W54D  C2009 11 24.42402 03 16 42.34 +20 25 43.3          20.2 Vr~0BmpG96
     K09W54D  C2009 11 24.42449 03 16 41.30 +20 25 43.4          20.0 Vr~0BmpG96
     K09W54D  C2009 11 26.24412 02 32 52.83 +20 35 06.5          20.8 Vr~0BmpG96
     K09W54D  C2009 11 26.25468 02 32 40.88 +20 35 02.5          20.7 Vr~0BmpG96
     K09W54D  C2009 11 26.25980 02 32 35.08 +20 35 00.8          20.8 Vr~0BmpG96
     K09W54D  C2009 11 26.26495 02 32 29.32 +20 34 58.3          20.8 Vr~0BmpG96
