     K10AB8U* S2010 01 13.89477 14 37 20.02 +35 03 48.5                L~0I2pC51
     K10AB8U  s2010 01 13.89477 1 - 4813.7933 - 2421.1836 + 4315.7348   ~0I2pC51
     K10AB8U  S2010 01 14.02720 14 37 27.21 +35 04 22.8                L~0I2pC51
     K10AB8U  s2010 01 14.02720 1 - 4850.1326 - 2440.8257 + 4264.1765   ~0I2pC51
     K10AB8U  S2010 01 14.15950 14 37 34.30 +35 04 56.2                L~0I2pC51
     K10AB8U  s2010 01 14.15950 1 - 4834.0990 - 2449.8584 + 4277.3155   ~0I2pC51
     K10AB8U  S2010 01 14.22559 14 37 37.88 +35 05 15.0                L~0I2pC51
     K10AB8U  s2010 01 14.22559 1 - 4800.1362 - 2448.8630 + 4315.8463   ~0I2pC51
     K10AB8U  S2010 01 14.22572 14 37 37.91 +35 05 14.8                L~0I2pC51
     K10AB8U  s2010 01 14.22572 1 - 4852.1467 - 2459.6489 + 4251.2955   ~0I2pC51
     K10AB8U  S2010 01 14.29181 14 37 41.40 +35 05 30.6                L~0I2pC51
     K10AB8U  s2010 01 14.29181 1 - 4818.4241 - 2458.7623 + 4289.7925   ~0I2pC51
     K10AB8U  S2010 01 14.35802 14 37 44.97 +35 05 47.7                L~0I2pC51
     K10AB8U  s2010 01 14.35802 1 - 4836.7193 - 2468.5514 + 4263.3917   ~0I2pC51
     K10AB8U  S2010 01 14.49033 14 37 51.98 +35 06 21.9                L~0I2pC51
     K10AB8U  s2010 01 14.49033 1 - 4820.5422 - 2477.0212 + 4276.8772   ~0I2pC51
     K10AB8U  S2010 01 14.55654 14 37 55.51 +35 06 40.5                L~0I2pC51
     K10AB8U  s2010 01 14.55654 1 - 4837.9237 - 2486.7947 + 4251.6841   ~0I2pC51
     K10AB8U  S2010 01 14.62263 14 37 59.03 +35 06 58.1                L~0I2pC51
     K10AB8U  s2010 01 14.62263 1 - 4803.8835 - 2485.6773 + 4290.5117   ~0I2pC51
     K10AB8U  S2010 01 14.68885 14 38 02.53 +35 07 15.0                L~0I2pC51
     K10AB8U  s2010 01 14.68885 1 - 4821.8897 - 2495.7140 + 4264.3388   ~0I2pC51
     K10AB8U  S2010 01 14.75494 14 38 05.98 +35 07 33.4                L~0I2pC51
     K10AB8U  s2010 01 14.75494 1 - 4788.1876 - 2494.5884 + 4302.4971   ~0I2pC51
     K10AB8U  S2010 01 14.75507 14 38 06.01 +35 07 31.9                L~0I2pC51
     K10AB8U  s2010 01 14.75507 1 - 4839.9739 - 2505.7733 + 4237.7900   ~0I2pC51
     K10AB8U  S2010 01 14.82115 14 38 09.49 +35 07 51.1                L~0I2pC51
     K10AB8U  s2010 01 14.82115 1 - 4806.6074 - 2504.5848 + 4276.0534   ~0I2pC51
     K10AB8U  S2010 01 14.88737 14 38 12.93 +35 08 08.1                L~0I2pC51
     K10AB8U  s2010 01 14.88737 1 - 4824.6446 - 2514.4411 + 4250.1474   ~0I2pC51
     K10AB8U  S2010 01 15.01968 14 38 19.83 +35 08 44.2                L~0I2pC51
     K10AB8U  s2010 01 15.01968 1 - 4808.7306 - 2523.3131 + 4263.2257   ~0I2pC51
     K10AB8U  S2010 01 15.15198 14 38 26.66 +35 09 19.5                L~0I2pC51
     K10AB8U  s2010 01 15.15198 1 - 4792.5088 - 2532.0655 + 4276.4296   ~0I2pC51
     K10AB8U  S2010 01 15.28428 14 38 33.52 +35 09 55.4                L~0I2pC51
     K10AB8U  s2010 01 15.28428 1 - 4776.6888 - 2540.7145 + 4288.9155   ~0I2pC51
     K10AB8U  S2010 01 15.28441 14 38 33.56 +35 09 57.3                L~0I2pC51
     K10AB8U  s2010 01 15.28441 1 - 4828.2000 - 2552.2843 + 4224.1020   ~0I2pC51
