     K10F09Q* C2010 03 20.31596 11 21 39.74 +09 46 55.0          21.0 Vr~0FU3G96
     K10F09Q  C2010 03 20.32185 11 21 39.88 +09 46 51.7          20.8 Vr~0FU3G96
     K10F09Q  C2010 03 20.32777 11 21 40.10 +09 46 47.8          20.8 Vr~0FU3G96
     K10F09Q  C2010 03 20.33374 11 21 40.32 +09 46 44.3          21.4 Vr~0FU3G96
     K10F09Q  C2010 03 20.37345 11 21 41.68 +09 46 19.4          21.9 Vr~0FU3G96
     K10F09Q  C2010 03 20.38102 11 21 42.01 +09 46 14.5          21.3 Vr~0FU3G96
     K10F09Q  C2010 03 20.38859 11 21 42.26 +09 46 10.2          20.6 Vr~0FU3G96
     K10F09Q  C2010 03 20.39684 11 21 42.55 +09 46 04.4          21.4 Vr~0FU3G96
     K10F09Q  C2010 03 21.27821 11 22 25.31 +09 36 55.5          21.0 Vr~0FU3G96
     K10F09Q  C2010 03 21.28417 11 22 25.58 +09 36 51.3          20.4 Vr~0FU3G96
     K10F09Q  C2010 03 21.29014 11 22 25.72 +09 36 48.3          20.8 Vr~0FU3G96
     K10F09Q  C2010 03 21.38809 11 22 29.27 +09 35 45.5          20.7 Rc~0FU3926
     K10F09Q  C2010 03 21.39428 11 22 29.51 +09 35 42.4          20.5 Rc~0FU3926
     K10F09Q  C2010 03 21.40049 11 22 29.75 +09 35 38.0          20.2 Rc~0FU3926
     K10F09Q  C2010 03 22.34998 11 23 16.05 +09 25 26.6                o~0FU3291
     K10F09Q  C2010 03 22.35548 11 23 16.27 +09 25 23.0                o~0FU3291
     K10F09Q  C2010 03 22.36233 11 23 16.51 +09 25 18.1                o~0FU3291
     K10F09Q  C2010 03 23.19352311 23 58.85 +09 16 03.9          21.2 Vo~0FU3H21
     K10F09Q  C2010 03 23.20541411 23 59.29 +09 15 57.2          20.9 Vo~0FU3H21
     K10F09Q  C2010 03 23.21862711 23 59.77 +09 15 49.2          20.9 Vo~0FU3H21
     K10F09Q  C2010 04 03.32084 11 34 40.49 +06 55 15.2                o~0FoF291
     K10F09Q  C2010 04 03.32467 11 34 40.70 +06 55 12.4                o~0FoF291
     K10F09Q  C2010 04 03.32863 11 34 40.93 +06 55 08.9          21.4 Vo~0FoF291
     K10F09Q  C2010 04 07.32079 11 39 13.92 +05 57 51.1          21.7 Vo~0FoF291
     K10F09Q  C2010 04 07.32465 11 39 14.15 +05 57 47.7          21.8 Vo~0FoF291
     K10F09Q  C2010 04 07.32850 11 39 14.38 +05 57 44.1          21.9 Vo~0FoF291
     K10F09Q  C2010 04 08.27326 11 40 22.81 +05 43 46.4          21.9 Vo~0FoF291
     K10F09Q  C2010 04 08.27730 11 40 23.08 +05 43 42.9          21.6 Vo~0FoF291
     K10F09Q  C2010 04 08.28110 11 40 23.33 +05 43 39.7          21.8 Vo~0FoF291
     K10F09Q  C2010 04 15.25122 11 49 21.86 +03 56 51.5          22.1 Vo~0GDp291
     K10F09Q HC2010 04 15.25509 11 49 22.18 +03 56 47.5                o~0GDp291
     K10F09Q HC2010 04 15.25889 11 49 22.42 +03 56 44.7                o~0GDp291
