     K10F00T* C2010 03 18.43262 13 56 41.89 +38 19 08.3          20.2 Vr~0F8M703
     K10F00T  C2010 03 18.43838 13 56 44.52 +38 19 34.5          19.6 Vr~0F8M703
     K10F00T  C2010 03 18.44421 13 56 47.07 +38 20 01.9          19.7 Vr~0F8M703
     K10F00T  C2010 03 18.45000 13 56 49.66 +38 20 30.3          20.0 Vr~0F8M703
     K10F00T  C2010 03 18.47434 13 56 59.85 +38 22 13.6          20.2 Ro~0F8MH01
     K10F00T  C2010 03 18.48009 13 57 02.51 +38 22 39.9          19.7 Ro~0F8MH01
     K10F00T  C2010 03 18.48673 13 57 05.58 +38 23 10.1          19.8 Ro~0F8MH01
     K10F00T  C2010 03 18.49308 13 57 08.53 +38 23 38.8          19.8 Ro~0F8MH01
     K10F00T  C2010 03 18.49962 13 57 12.15 +38 24 22.9          19.7 Rc~0F8M926
     K10F00T  C2010 03 18.50644 13 57 15.37 +38 24 53.8          19.4 Rc~0F8M926
     K10F00T  C2010 03 19.33794414 05 52.11 +39 38 13.6          20.4 Vo~0FTwH21
     K10F00T  C2010 03 19.34197614 05 54.43 +39 38 36.2          20.4 Vo~0FTwH21
     K10F00T  C2010 03 19.34602014 05 56.70 +39 38 58.9          20.5 Vo~0FTwH21
     K10F00T  C2010 03 19.46622 14 07 12.14 +39 50 49.0          20.2 Rc~0F8M926
     K10F00T  C2010 03 19.46916 14 07 13.83 +39 51 05.7          19.9 Rc~0F8M926
     K10F00T  C2010 03 19.47208 14 07 15.53 +39 51 20.5          19.9 Rc~0F8M926
     K10F00T  C2010 03 21.29397 14 34 45.57 +43 11 57.0          20.2 Rc~0FTw926
     K10F00T  C2010 03 23.44338915 34 10.94 +48 14 43.5          20.2 Vo~0FTwH21
     K10F00T  C2010 03 23.44629815 34 17.33 +48 15 07.6          20.1 Vo~0FTwH21
     K10F00T  C2010 03 23.44909915 34 23.48 +48 15 31.0          20.0 Vo~0FTwH21
     K10F00T  C2010 03 23.45180915 34 29.49 +48 15 52.9          19.8 Vo~0FTwH21
     K10F00T  C2010 03 24.39802 16 20 19.29 +50 22 06.8          19.1 Rc~0FTw926
     K10F00T  C2010 03 24.40038 16 20 26.83 +50 22 25.1          19.3 Rc~0FTw926
     K10F00T  C2010 03 24.40274 16 20 34.30 +50 22 42.8          19.3 Rc~0FTw926
     K10F00T  C2010 03 25.43074 17 29 41.25 +51 16 15.5          20.5 Rc~0FTw926
     K10F00T  C2010 03 25.43309 17 29 51.57 +51 16 15.7          20.2 Rc~0FTw926
     K10F00T  C2010 03 25.43545 17 30 01.82 +51 16 14.3          19.6 Rc~0FTw926
     K10F00T  C2010 03 26.50226 18 58 48.73 +48 32 04.0          19.3 Rc~0FTw926
     K10F00T  C2010 03 26.50399 18 58 57.23 +48 31 35.2          19.6 Rc~0FTw926
     K10F00T  C2010 03 26.50564 18 59 05.17 +48 31 07.8          18.4 Rc~0FTw926
     K10F00T  C2010 03 26.50894 18 59 21.17 +48 30 12.5          18.3 Rc~0FTw926
     K10F00T  C2010 03 26.51058 18 59 29.18 +48 29 44.8          19.2 Rc~0FTw926
     K10F00T  C2010 03 26.51225 18 59 37.20 +48 29 17.0          19.2 Rc~0FTw926
     K10F00T  C2010 03 26.51389 18 59 45.17 +48 28 48.6          19.0 Rc~0FTw926
