     K10F09T* C2010 03 20.35895 12 17 11.94 +07 06 14.3          20.1 Vr~0FU4703
     K10F09T  C2010 03 20.36637 12 17 13.77 +07 05 32.5          19.2 Vr~0FU4703
     K10F09T  C2010 03 20.37380 12 17 15.61 +07 04 46.7          19.9 Vr~0FU4703
     K10F09T  C2010 03 20.38120 12 17 17.34 +07 04 01.2          19.8 Vr~0FU4703
     K10F09T  C2010 03 20.42611 12 17 28.44 +06 59 37.9          19.8 Vr~0FU4703
     K10F09T  C2010 03 20.43436 12 17 30.51 +06 58 47.6          20.5 Vr~0FU4703
     K10F09T  C2010 03 20.43627 12 17 30.97 +06 58 38.3          20.2 Rc~0FU4926
     K10F09T  C2010 03 20.43944 12 17 31.75 +06 58 19.7          20.0 Rc~0FU4926
     K10F09T  C2010 03 20.44262 12 17 32.53 +06 58 01.2          19.8 Rc~0FU4926
     K10F09T  C2010 03 20.44266 12 17 32.44 +06 57 59.2          19.9 Vr~0FU4703
     K10F09T  C2010 03 21.28687 12 21 17.83 +05 38 18.4          19.6 Rc~0FU4854
     K10F09T  C2010 03 21.29474 12 21 19.58 +05 37 33.9          19.6 Rc~0FU4854
     K10F09T  C2010 03 21.30259 12 21 21.31 +05 36 50.6          19.6 Rc~0FU4854
     K10F09T  C2010 03 21.43014 12 21 49.06 +05 25 16.3          19.8 Vr~0FU4G96
     K10F09T  C2010 03 21.44583 12 21 52.56 +05 23 53.1          19.9 Vr~0FU4G96
     K10F09T  C2010 03 21.45371 12 21 54.39 +05 23 10.7          19.9 Vr~0FU4G96
     K10F09T  C2010 03 21.45391 12 21 54.54 +05 23 10.7          19.7 Rc~0FU4926
     K10F09T  C2010 03 21.45684 12 21 55.22 +05 22 55.1          19.9 Rc~0FU4926
     K10F09T  C2010 03 21.45978 12 21 55.83 +05 22 39.0          20.2 Rc~0FU4926
     K10F09T  C2010 03 24.29399 12 32 09.57 +01 37 43.3          20.5 Rc~0FU4926
     K10F09T  C2010 03 24.29808 12 32 10.22 +01 37 25.7          19.7 Rc~0FU4926
     K10F09T  C2010 03 24.30219 12 32 10.83 +01 37 08.7          19.9 Rc~0FU4926
     K10F09T  C2010 03 25.39774 12 35 23.44 +00 23 56.2          20.3 Vo~0FU4291
     K10F09T  C2010 03 25.40275 12 35 24.17 +00 23 36.8          20.3 Vo~0FU4291
     K10F09T  C2010 03 25.40718 12 35 24.81 +00 23 20.1          20.4 Vo~0FU4291
     K10F09T  C2010 04 03.41206 12 53 11.80 -06 24 02.1          21.2 Vo~0FoF291
     K10F09T  C2010 04 03.41578 12 53 12.05 -06 24 08.8          21.2 Vo~0FoF291
     K10F09T  C2010 04 03.41954 12 53 12.31 -06 24 16.6                o~0FoF291
     K10F09T  C2010 04 07.31566 12 57 51.58 -08 10 32.3          21.2 Vr~0FoFG96
     K10F09T  C2010 04 07.32037 12 57 51.80 -08 10 39.2          21.0 Vr~0FoFG96
     K10F09T  C2010 04 07.32518 12 57 52.05 -08 10 46.3          20.9 Vr~0FoFG96
     K10F09T  C2010 04 07.33005 12 57 52.23 -08 10 53.3          21.1 Vr~0FoFG96
     K10F09T HC2010 04 15.31836 13 04 37.15 -10 37 17.1                o~0GDp291
     K10F09T  C2010 04 15.32401 13 04 37.34 -10 37 21.8          22.5 Vo~0GDp291
     K10F09T  C2010 04 15.33203 13 04 37.58 -10 37 28.3          22.5 Vo~0GDp291
