     K10J01J* C2010 05 05.16097 12 06 28.51 -13 06 03.6          19.9 Vr~0GxIG96
     K10J01J  C2010 05 05.16627 12 06 33.30 -13 06 33.4          20.2 Vr~0GxIG96
     K10J01J  C2010 05 05.17168 12 06 38.26 -13 07 04.5          20.2 Vr~0GxIG96
     K10J01J  C2010 05 05.17705 12 06 43.16 -13 07 35.3          20.1 Vr~0GxIG96
     K10J01J  C2010 05 05.20815 12 07 11.56 -13 10 31.3          20.0 Vr~0GxIG96
     K10J01J  C2010 05 05.21115 12 07 14.34 -13 10 48.3          19.5 Vr~0GxIG96
     K10J01J  C2010 05 05.21411 12 07 17.07 -13 11 05.0          20.0 Vr~0GxIG96
     K10J01J  C2010 05 05.21712 12 07 19.81 -13 11 22.0          19.9 Vr~0GxIG96
     K10J01J  C2010 05 05.23433012 07 32.16 -13 13 08.9          20.2 Vr~0GxIH21
     K10J01J  C2010 05 05.23996312 07 37.42 -13 13 39.4          20.4 Vr~0GxIH21
     K10J01J  C2010 05 05.26575 12 08 04.83 -13 15 53.2          20.2 Rc~0GxI854
     K10J01J  C2010 05 05.27176 12 08 10.34 -13 16 27.6          20.2 Rc~0GxI854
     K10J01J  C2010 05 05.27205 12 08 10.57 -13 16 30.2          20.1 Vr~0GxIG96
     K10J01J  C2010 05 05.27503 12 08 13.34 -13 16 46.8          19.7 Vr~0GxIG96
     K10J01J  C2010 05 05.28103 12 08 18.96 -13 17 20.3          19.7 Vr~0GxIG96
     K10J01J  C2010 05 06.17780 12 24 11.30 -14 44 49.6          20.1 Vr~0GxIG96
     K10J01J  C2010 05 06.17830 12 24 11.84 -14 44 52.7          19.7 Vr~0GxIG96
     K10J01J  C2010 05 06.17877 12 24 12.34 -14 44 55.5          19.7 Vr~0GxIG96
     K10J01J  C2010 05 06.17925 12 24 12.81 -14 44 58.7          20.2 Vr~0GxIG96
     K10J01J  C2010 05 07.24866 12 45 11.42 -16 33 26.1          19.7 Rc~0GxI926
     K10J01J  C2010 05 07.25206 12 45 15.38 -16 33 46.4          19.7 Rc~0GxI926
     K10J01J  C2010 05 07.25547 12 45 19.40 -16 34 07.3          19.7 Rc~0GxI926
     K10J01J  C2010 05 09.53845 13 38 27.58 -20 17 23.6          19.3 Ro~0HIp474
     K10J01J  C2010 05 09.53914 13 38 28.52 -20 17 26.6          18.8 Ro~0HIp474
     K10J01J  C2010 05 09.53984 13 38 29.53 -20 17 30.5          19.0 Ro~0HIp474
     K10J01J  C2010 05 09.54054 13 38 30.61 -20 17 34.5          19.4 Ro~0HIp474
     K10J01J  C2010 05 09.54122 13 38 31.59 -20 17 38.1          19.1 Ro~0HIp474
     K10J01J  C2010 05 12.32275 14 53 21.03 -23 44 36.0          20.2 Rc~0HIp926
     K10J01J  C2010 05 12.32441 14 53 23.65 -23 44 40.3          20.8 Rc~0HIp926
     K10J01J  C2010 05 12.32605 14 53 26.18 -23 44 44.7          20.1 Rc~0HIp926
     K10J01J  C2010 05 13.31701 15 20 11.41 -24 22 40.1          19.1 Rc~0HIp926
     K10J01J  C2010 05 13.31867 15 20 13.88 -24 22 43.1          18.9 Rc~0HIp926
     K10J01J  C2010 05 13.32034 15 20 16.35 -24 22 46.2          19.2 Rc~0HIp926
