     K11G44N* C2011 04 03.44279 13 24 13.245-19 44 35.08         21.6 wL~0UZ4F51
     K11G44N  C2011 04 03.45669 13 24 11.332-19 44 41.93         21.5 wL~0UZ4F51
     K11G44N  C2011 04 03.47253 13 24 09.129-19 44 49.71         21.5 wL~0UZ4F51
     K11G44N  C2011 04 03.48641 13 24 07.211-19 44 56.34         21.4 wL~0UZ4F51
     K11G44N |C2011 04 05.23691 13 20 05.46 -19 58 46.4          21.3 Vo~0UZ4807
     K11G44N |C2011 04 05.25095 13 20 03.44 -19 58 53.2          21.3 Vo~0UZ4807
     K11G44N |C2011 04 05.26494 13 20 01.51 -19 58 59.3          21.3 Vo~0UZ4807
     K11G44N |C2011 04 06.10312 13 18 03.66 -20 05 26.2          21.4 Vo~0UZ4807
     K11G44N |C2011 04 06.11239 13 18 02.29 -20 05 30.5          21.9 Vo~0UZ4807
     K11G44N |C2011 04 06.12080 13 18 01.05 -20 05 34.8          21.6 Vo~0UZ4807
     K11G44N |C2011 04 08.21264 13 12 58.60 -20 21 10.0          21.2 Vo~0UvP807
     K11G44N |C2011 04 08.22029 13 12 57.45 -20 21 13.0          21.2 Vo~0UvP807
     K11G44N |C2011 04 08.22823 13 12 56.26 -20 21 16.3          21.8 Vo~0UvP807
     K11G44N |C2011 04 09.26587 13 10 22.95 -20 28 40.1          21.3 Vo~0UvP807
     K11G44N |C2011 04 09.27464 13 10 21.61 -20 28 43.3          21.6 Vo~0UvP807
     K11G44N |C2011 04 09.28339 13 10 20.30 -20 28 47.4          21.7 Vo~0UvP807
     K11G44N  C2011 04 11.21758 13 05 30.08 -20 42 04.4          21.1 Ro~0UvPH01
     K11G44N  C2011 04 11.22523 13 05 28.92 -20 42 08.0          20.8 Ro~0UvPH01
     K11G44N  C2011 04 11.23395 13 05 27.58 -20 42 11.0          20.8 Ro~0UvPH01
     K11G44N  C2011 04 11.24080 13 05 26.51 -20 42 13.7          20.6 Ro~0UvPH01
     K11G44N  C2011 04 12.30306 13 02 44.17 -20 49 06.1          21.9 Vo~0UvP291
     K11G44N  C2011 04 12.30720 13 02 43.56 -20 49 07.6          21.9 Vo~0UvP291
     K11G44N  C2011 04 12.31121 13 02 42.93 -20 49 09.5          21.8 Vo~0UvP291
     K11G44N 2C2011 04 13.41733712 59 52.368-20 56 01.91         21.2 Ro~0UvP568
     K11G44N 2C2011 04 13.41899212 59 52.098-20 56 02.50         21.0 Ro~0UvP568
     K11G44N 2C2011 04 13.42063312 59 51.843-20 56 03.12         21.1 Ro~0UvP568
     K11G44N  C2011 04 13.67152 12 59 12.65 -20 57 29.1          20.7 Ro~0UvPE10
     K11G44N  C2011 04 13.67323 12 59 12.41 -20 57 29.4          20.5 Ro~0UvPE10
     K11G44N  C2011 04 13.67496 12 59 12.18 -20 57 30.1          20.6 Ro~0UvPE10
     K11G44N  C2011 04 13.67664 12 59 11.85 -20 57 30.9          20.8 Ro~0UvPE10
     K11G44N  C2011 04 13.67833 12 59 11.60 -20 57 31.4          20.6 Ro~0UvPE10
     K11G44N  C2011 04 13.68006 12 59 11.35 -20 57 31.8          20.6 Ro~0UvPE10
     K11G44N  C2011 04 22.21109 12 36 41.53 -21 40 18.7          21.3 Vo~0V9w291
     K11G44N  C2011 04 22.21509 12 36 40.94 -21 40 19.6          21.4 Vo~0V9w291
     K11G44N  C2011 04 22.21906 12 36 40.26 -21 40 20.1          21.3 Vo~0V9w291
     K11G44N  C2011 04 27.16609 12 23 38.87 -21 56 55.4          21.6 Vo~0VFx291
     K11G44N  C2011 04 27.17031 12 23 38.20 -21 56 56.0          21.6 Vo~0VFx291
     K11G44N  C2011 04 27.17939 12 23 36.71 -21 56 57.2          22.0 Vo~0VFx291
     K11G44N  C2011 04 28.21216 12 20 56.27 -21 59 42.5          21.5 Vo~0VFx291
     K11G44N  C2011 04 28.21604 12 20 55.68 -21 59 43.1          21.3 Vo~0VFx291
     K11G44N  C2011 04 28.22010 12 20 55.05 -21 59 43.4          21.2 Vo~0VFx291
     K11G44N  C2011 04 28.37974 12 20 30.59 -22 00 00.8          21.3 Ro~0VFxE10
     K11G44N  C2011 04 28.38146 12 20 30.36 -22 00 01.0          21.5 Ro~0VFxE10
     K11G44N  C2011 04 28.38315 12 20 30.07 -22 00 01.3          20.6 Ro~0VFxE10
     K11G44N IC2011 04 28.38484 12 20 29.87 -22 00 01.7          20.1 Ro~0VFxE10
     K11G44N HC2011 04 29.21308 12 18 22.06 -22 02 07.6                o~0VFx291
     K11G44N HC2011 04 29.21699 12 18 21.45 -22 02 08.5                o~0VFx291
     K11G44N tC2011 05 01.22953 12 13 15.95 -22 06 27.4          22.5 Vo~0VYJ291
     K11G44N tC2011 05 01.23368 12 13 15.35 -22 06 26.4          22.5 Vo~0VYJ291
     K11G44N tC2011 05 01.24205 12 13 14.04 -22 06 27.5                o~0VYJ291
     K11G44N  C2011 05 03.20257 12 08 23.31 -22 09 55.4          21.8 Vo~0VYJ291
     K11G44N  C2011 05 03.20690 12 08 22.63 -22 09 55.2          21.6 Vo~0VYJ291
     K11G44N  C2011 05 03.21143 12 08 21.96 -22 09 56.0          21.9 Vo~0VYJ291
     K11G44N  C2011 05 07.14942 11 59 02.03 -22 15 00.5          20.6 Ro~0VozH01
     K11G44N  C2011 05 07.15709 11 59 00.96 -22 15 01.3          20.7 Ro~0VozH01
     K11G44N  C2011 05 07.16449 11 58 59.91 -22 15 01.6          21.0 Ro~0VozH01
     K11G44N tC2011 05 07.17161 11 58 58.93 -22 15 00.9          21.5 Vo~0Voz291
     K11G44N  C2011 05 07.17243 11 58 58.80 -22 15 02.1          20.6 Ro~0VozH01
     K11G44N tC2011 05 07.17552 11 58 58.33 -22 15 00.1          21.7 Vo~0Voz291
     K11G44N tC2011 05 07.17939 11 58 57.81 -22 15 01.4          21.5 Vo~0Voz291
     K11G44N |C2011 11 01.00277 17 34 19.96 -56 57 37.7          20.4 Vo~0Zz5807
     K11G44N |C2011 11 01.00786 17 34 23.20 -56 57 26.8          19.9 Vo~0Zz5807
     K11G44N |C2011 11 01.01293 17 34 26.43 -56 57 15.9          18.9 Vo~0Zz5807
     K11G44N |C2011 11 01.01800 17 34 29.67 -56 57 05.0          20.5 Vo~0Zz5807
     K11G44N |C2011 11 02.00346 17 44 56.83 -56 20 56.1          20.5 Vo~0Zz5807
     K11G44N |C2011 11 02.00861 17 45 00.09 -56 20 44.0          20.4 Vo~0Zz5807
     K11G44N |C2011 11 02.01886 17 45 06.53 -56 20 19.6          20.2 Vo~0Zz5807
     K11G44N mC2011 12 07.08260 21 18 12.23 -10 43 00.0          19.9 Vo~0bQR291
     K11G44N mC2011 12 07.08348 21 18 12.38 -10 42 56.4          20.4 Vo~0bQR291
     K11G44N mC2011 12 07.08436 21 18 12.48 -10 42 52.5          20.6 Vo~0bQR291
     K11G44N ^C2013 03 19.44536 12 18 31.71 +56 27 46.1          22.6 Ro~0qTC695
