     K11L17S* C2011 06 07.39874 15 29 34.639-25 02 18.32         21.5 wL~0WSiF51
     K11L17S  C2011 06 07.41293 15 29 32.203-25 02 22.19         21.4 wL~0WSiF51
     K11L17S  C2011 06 07.42708 15 29 29.764-25 02 26.24         21.6 wL~0WSiF51
     K11L17S  C2011 06 08.22383 15 27 21.20 -25 06 32.1          21.6 Ro~0WSiH01
     K11L17S  C2011 06 08.22737 15 27 20.58 -25 06 33.2          21.3 Ro~0WSiH01
     K11L17S  C2011 06 08.23568 15 27 19.15 -25 06 35.8          20.8 Ro~0WSiH01
     K11L17S  C2011 06 08.24480 15 27 17.56 -25 06 38.4          21.2 Ro~0WSiH01
     K11L17S  C2011 06 09.24199 15 24 31.96 -25 11 41.9          21.1 Ro~0WSiH01
     K11L17S  C2011 06 09.25265 15 24 30.06 -25 11 45.1          21.4 Ro~0WSiH01
     K11L17S  C2011 06 09.26119 15 24 28.53 -25 11 47.7          21.8 Ro~0WSiH01
     K11L17S  C2011 06 09.26600 15 24 27.68 -25 11 49.0          21.8 Ro~0WSiH01
     K11L17S tC2011 06 27.16345 14 22 59.97 -26 43 10.2          21.6 Vo~0WjW291
     K11L17S tC2011 06 27.16868 14 22 58.62 -26 43 11.4          21.4 Vo~0WjW291
     K11L17S tC2011 06 27.17293 14 22 57.48 -26 43 12.2          21.8 Vo~0WjW291
