     K12B77C* C2012 01 25.41375 09 22 01.793+00 15 16.92         22.3 wL~0d6qF51
     K12B77C  C2012 01 25.42802 09 22 04.249+00 14 42.71         22.1 wL~0d6qF51
     K12B77C  C2012 01 25.44233 09 22 06.676+00 14 08.52         21.9 wL~0d6qF51
     K12B77C 2C2012 01 26.38624609 25 24.539-00 25 47.22         21.1 Ro~0d6q568
     K12B77C 2C2012 01 26.38750209 25 24.790-00 25 50.67         21.1 Ro~0d6q568
     K12B77C 2C2012 01 26.38875409 25 25.037-00 25 54.03         21.2 Ro~0d6q568
     K12B77C %C2012 01 28.50945609 34 36.25 -02 17 06.2          21.4 Ro~0d6qF65
     K12B77C %C2012 01 28.51192909 34 36.93 -02 17 15.1          21.0 Ro~0d6qF65
     K12B77C %C2012 01 28.51315509 34 37.27 -02 17 19.5          21.3 Ro~0d6qF65
     K12B77C %C2012 01 28.51439209 34 37.61 -02 17 24.0          21.2 Ro~0d6qF65
     K12B77C %C2012 01 28.51684309 34 38.28 -02 17 33.0          21.0 Ro~0d6qF65
     K12B77C KC2012 01 29.32520109 39 06.03 -03 10 52.9          21.1 Vu~0d6qH21
     K12B77C KC2012 01 29.33555909 39 09.43 -03 11 36.2          20.9 Vu~0d6qH21
     K12B77C KC2012 01 29.34570509 39 12.77 -03 12 19.0          21.2 Vu~0d6qH21
     K12B77C KC2012 01 29.40377 09 39 33.65 -03 16 16.3                o~0d6q291
     K12B77C KC2012 01 29.40688 09 39 34.67 -03 16 29.7                o~0d6q291
     K12B77C KC2012 01 29.40998 09 39 35.69 -03 16 42.8                o~0d6q291
     K12B77C KC2012 02 01.38277 10 04 04.59 -07 59 22.7                o~0d6q291
     K12B77C KC2012 02 01.38400 10 04 05.35 -07 59 31.9                o~0d6q291
     K12B77C KC2012 02 01.38522 10 04 06.13 -07 59 41.2                o~0d6q291
     K12B77C KC2012 02 02.31867 10 15 59.38 -10 11 24.9                o~0d6q291
     K12B77C KC2012 02 02.31975 10 16 00.25 -10 11 35.0                o~0d6q291
     K12B77C KC2012 02 02.32081 10 16 01.13 -10 11 44.9                o~0d6q291
     K12B77C KC2012 02 03.36225 10 33 15.34 -13 17 09.7                o~0d6q291
     K12B77C KC2012 02 03.36517 10 33 18.54 -13 17 45.1                o~0d6q291
     K12B77C KC2012 02 03.36774 10 33 21.34 -13 18 16.2                o~0d6q291
