     K13K06G* C2013 05 30.27806 14 58 42.85 -18 09 07.8          20.5 Vu~0sJHG96
     K13K06G  C2013 05 30.28388 14 58 48.10 -18 09 58.2          19.9 Vu~0sJHG96
     K13K06G  C2013 05 30.28964 14 58 53.29 -18 10 47.8          19.9 Vu~0sJHG96
     K13K06G  C2013 05 30.30665 14 59 08.59 -18 13 14.1          20.0 Vu~0sJHG96
     K13K06G  C2013 05 30.30715 14 59 08.98 -18 13 18.1          19.7 Vu~0sJHG96
     K13K06G  C2013 05 30.30765 14 59 09.52 -18 13 22.5          19.9 Vu~0sJHG96
     K13K06G  C2013 05 30.30814 14 59 09.92 -18 13 26.7          20.2 Vu~0sJHG96
     K13K06G  C2013 05 31.26513 15 13 00.66 -20 14 42.2          19.8 Vu~0sJHG96
     K13K06G  C2013 05 31.26802 15 13 02.74 -20 15 01.8          19.9 Vu~0sJHG96
     K13K06G  C2013 05 31.27091 15 13 04.83 -20 15 21.1          20.4 Vu~0sJHG96
     K13K06G  C2013 05 31.27374 15 13 06.88 -20 15 39.6          20.3 Vu~0sJHG96
     K13K06G  C2013 06 01.36797 15 25 53.347-22 00 42.04         20.5 wL~0sR9F51
     K13K06G  C2013 06 01.38278 15 26 01.761-22 01 56.58         20.7 wL~0sR9F51
     K13K06G  C2013 06 01.41240 15 26 18.530-22 04 23.50         20.6 wL~0sR9F51
