     K15KF7R*5C2015 05 20.18963 15 36 18.38 -20 52 12.1          22.8 VL~1T30W84
     K15KF7R 5C2015 05 20.19288 15 36 17.75 -20 52 11.6                L~1T30W84
     K15KF7R 5C2015 05 20.19604 15 36 17.12 -20 52 11.2                L~1T30W84
     K15KF7R 5C2015 05 20.19926 15 36 16.49 -20 52 10.7                L~1T30W84
     K15KF7R 5C2015 05 20.20248 15 36 15.86 -20 52 10.4                L~1T30W84
     K15KF7R 5C2015 05 22.25231 15 29 38.71 -20 47 18.9          23.2 VL~1T30W84
     K15KF7R 5C2015 05 22.25552 15 29 38.08 -20 47 18.4                L~1T30W84
     K15KF7R 5C2015 05 22.25874 15 29 37.45 -20 47 17.9                L~1T30W84
     K15KF7R 5C2015 05 22.26195 15 29 36.81 -20 47 17.3                L~1T30W84
     K15KF7R 5C2015 05 22.26525 15 29 36.19 -20 47 17.0                L~1T30W84
     K15KF7R 5C2015 05 24.11708 15 23 38.10 -20 42 01.9          22.9 VL~1T30W84
     K15KF7R 5C2015 05 24.12026 15 23 37.48 -20 42 01.2                L~1T30W84
     K15KF7R 5C2015 05 24.12346 15 23 36.84 -20 42 00.8                L~1T30W84
     K15KF7R 5C2015 05 24.12671 15 23 36.20 -20 42 00.2                L~1T30W84
     K15KF7R 5C2015 05 24.12990 15 23 35.56 -20 41 59.6                L~1T30W84
     K15KF7R 2C2015 06 11.37974714 30 33.120-19 23 20.68         23.1 Rt~1UG4568
     K15KF7R 2C2015 06 11.38854414 30 31.819-19 23 18.05         22.9 Rt~1UG4568
     K15KF7R 2C2015 06 11.41492914 30 27.911-19 23 10.42         22.9 Rt~1UG4568
     K15KF7R 2C2015 06 16.31481414 19 31.009-19 01 15.57         23.1 Rt~1UG4568
     K15KF7R 2C2015 06 16.32361614 19 29.863-19 01 13.29         23.2 Rt~1UG4568
