     K15KF7T*5C2015 05 20.24103 15 43 01.27 -23 41 39.8          22.4 VL~1T31W84
     K15KF7T 5C2015 05 20.24428 15 43 00.72 -23 41 35.7                L~1T31W84
     K15KF7T 5C2015 05 20.24750 15 43 00.14 -23 41 31.6                L~1T31W84
     K15KF7T 5C2015 05 20.25074 15 42 59.57 -23 41 27.3                L~1T31W84
     K15KF7T 5C2015 05 21.27919 15 40 09.59 -23 19 55.2          22.7 VL~1T31W84
     K15KF7T 5C2015 05 21.28247 15 40 09.05 -23 19 51.0                L~1T31W84
     K15KF7T 5C2015 05 21.28566 15 40 08.50 -23 19 46.7                L~1T31W84
     K15KF7T 5C2015 05 21.29216 15 40 07.42 -23 19 38.9                L~1T31W84
     K15KF7T 5C2015 05 23.16753 15 35 20.88 -22 42 14.9          22.9 VL~1T31W84
     K15KF7T 5C2015 05 23.17080 15 35 20.39 -22 42 10.9                L~1T31W84
     K15KF7T 5C2015 05 23.17403 15 35 19.92 -22 42 07.1                L~1T31W84
     K15KF7T 5C2015 05 23.17728 15 35 19.41 -22 42 03.5                L~1T31W84
     K15KF7T 5C2015 05 23.18049 15 35 18.93 -22 41 59.7                L~1T31W84
     K15KF7T 2C2015 06 12.39039715 06 44.642-18 15 37.06         23.6 Rt~1T31568
     K15KF7T 2C2015 06 12.40063915 06 44.209-18 15 32.18         23.4 Rt~1T31568
     K15KF7T 2C2015 06 12.41134415 06 43.762-18 15 26.89         24.1 Rt~1T31568
     K15KF7T 2C2015 06 12.42020615 06 43.388-18 15 22.63         24.0 Rt~1T31568
