     K16F14C*5C2016 03 30.07667 11 38 20.73 -19 52 56.4          23.5 VL~1pSyW84
     K16F14C 5C2016 03 30.07985 11 38 21.06 -19 52 45.9                L~1pSyW84
     K16F14C 5C2016 03 30.08303 11 38 21.34 -19 52 35.4                L~1pSyW84
     K16F14C 5C2016 03 30.08620 11 38 21.63 -19 52 25.0                L~1pSyW84
     K16F14C 5C2016 03 31.13388 11 40 10.05 -18 56 53.6          23.8 VL~1pSyW84
     K16F14C 5C2016 03 31.14029 11 40 10.55 -18 56 34.5                L~1pSyW84
     K16F14C 5C2016 03 31.14346 11 40 10.82 -18 56 24.8                L~1pSyW84
     K16F14C 5C2016 03 31.14665 11 40 11.10 -18 56 15.1                L~1pSyW84
     K16F14C 5C2016 04 01.21120 11 41 51.82 -18 04 29.1                L~1pSyW84
     K16F14C 5C2016 04 01.21439 11 41 52.06 -18 04 20.6          23.9 VL~1pSyW84
     K16F14C 5C2016 04 01.22395 11 41 52.84 -18 03 52.9                L~1pSyW84
     K16F14C 2C2016 04 07.40929711 49 42.695-14 13 19.99         23.5 Rt~1qBR568
     K16F14C 2C2016 04 07.42025611 49 43.269-14 13 00.29         23.7 Rt~1qBR568
     K16F14C 2C2016 04 07.43116811 49 43.837-14 12 40.64         23.4 Rt~1qBR568
