     K16F22D 5C2016 03 30.17366 11 52 38.43 -09 18 19.5          23.9 VL~1qBhW84
     K16F22D 5C2016 03 30.17683 11 52 37.68 -09 18 23.4                L~1qBhW84
     K16F22D 5C2016 03 30.18001 11 52 36.96 -09 18 27.3                L~1qBhW84
     K16F22D*5C2016 03 31.16855 11 48 49.53 -09 39 23.7          23.8 VL~1qBhW84
     K16F22D 5C2016 03 31.17497 11 48 47.99 -09 39 32.1                L~1qBhW84
     K16F22D 5C2016 03 31.17813 11 48 47.24 -09 39 35.9                L~1qBhW84
     K16F22D 5C2016 04 01.17962 11 44 54.18 -10 00 49.4          23.8 VL~1qBhW84
     K16F22D 5C2016 04 01.18277 11 44 53.41 -10 00 53.2                L~1qBhW84
     K16F22D 5C2016 04 01.18592 11 44 52.67 -10 00 57.2                L~1qBhW84
     K16F22D 5C2016 04 01.18907 11 44 51.89 -10 01 01.1                L~1qBhW84
     K16F22D 2C2016 04 06.44438511 24 03.423-11 51 30.37         23.4 Rt~1qo0568
     K16F22D 2C2016 04 06.45382311 24 01.105-11 51 41.96         23.3 Rt~1qo0568
     K16F22D 2C2016 04 12.42209711 00 34.371-13 50 58.36         23.2 Rt~1qo0568
     K16F22D 2C2016 04 12.43300011 00 31.794-13 51 10.75         23.2 Rt~1qo0568
