     J91V00G* c1991 11 06.32553 02 56 23.57 +13 42 02.7          20.7 Vi19438691
     J91V00G  c1991 11 06.33633 02 56 21.88 +13 41 45.5                i19438691
     J91V00G  c1991 11 06.35398 02 56 19.21 +13 41 14.9                i19438691
     J91V00G  c1991 11 07.18437 02 56 36.10 +13 18 40.7          20.8 Vi19438691
     J91V00G  c1991 11 07.20631 02 56 33.39 +13 18 12.1                i19438691
     J91V00G  c1991 11 07.33878 02 56 13.09 +13 14 43.9                i19439691
     J91V00G  c1991 11 07.34932 02 56 11.44 +13 14 24.9                i19439691
     J91V00G  c1991 11 07.36008 02 56 09.79 +13 14 05.0          21.2 Vi19439691
     J91V00G  c1991 11 08.25231 02 56 18.07 +12 48 25.5                i19439691
     J91V00G  c1991 11 08.26526 02 56 15.98 +12 48 03.4          20.3 Vi19439691
     J91V00G  c1991 11 08.27777 02 56 13.82 +12 47 42.9                i19439691
     J91V00G  c1991 11 08.29081 02 56 11.76 +12 47 20.5                i19439691
     J91V00G  c1991 11 08.30357 02 56 09.59 +12 46 57.3          20.7 Vi19439691
     J91V00G  c1991 11 08.31659 02 56 07.46 +12 46 33.9                i19439691
     J91V00G  c1991 11 09.22124 02 56 13.73 +12 18 33.7          20.6 Vi19439691
     J91V00G  c1991 11 09.23018 02 56 12.30 +12 18 18.4                i19439691
     J91V00G  c1991 11 09.26343 02 56 06.78 +12 17 18.2                i19439691
     J91V00G  c1991 11 09.38013 02 55 47.23 +12 13 28.3                i19439691
     J91V00G  c1991 11 09.38854 02 55 45.96 +12 13 09.3          20.8 Vi19439691
     J91V00G  c1991 11 09.39727 02 55 44.66 +12 12 49.6                i19439691
     J91V00G  c1991 11 11.24590 02 55 51.11 +11 09 29.4                i19439691
     J91V00G  c1991 11 11.25073 02 55 50.28 +11 09 21.0          20.8 Vi19439691
     J91V00G  c1991 11 11.32859 02 55 35.93 +11 06 29.6                i19439691
     J91V00G  c1991 11 11.40787 02 55 22.79 +11 03 16.8          20.3 Vi19439691
     J91V00G  c1991 11 13.24111 02 55 35.79 +09 50 40.2                i19439691
     J91V00G  c1991 11 13.26312 02 55 31.53 +09 49 46.7          20.6 Vi19439691
     J91V00G  c1991 11 13.28475 02 55 27.27 +09 48 54.1                i19439691
     J91V00G  c1991 11 26.31369 02 58 07.77 -09 17 14.3          18.9 Vi19439691
     J91V00G  c1991 11 26.31903 02 58 05.95 -09 18 10.9          18.6 Vi19439691
     J91V00G  c1991 11 26.32341 02 58 04.43 -09 18 58.7          18.8 Vi19439691
     J91V00G  c1991 11 26.36721 02 57 50.71 -09 26 43.3          18.8 Vi19439691
     J91V00G  c1991 11 26.37456 02 57 48.74 -09 28 00.9          18.9 Vi19439691
     J91V00G  c1991 11 26.37664 02 57 48.18 -09 28 22.6          19.0 Vi19439691
     J91V00G  c1991 11 26.37882 02 57 47.62 -09 28 45.3          19.1 Vi19439691
     J91V00G  c1991 11 26.38104 02 57 47.05 -09 29 08.9          19.1 Vi19439691
     J91V00G  c1991 11 26.38323 02 57 46.51 -09 29 31.5          19.0 Vi19439691
     J91V00G  c1991 11 26.38536 02 57 45.97 -09 29 53.9          18.9 Vi19439691
     J91V00G  c1991 11 26.38744 02 57 45.50 -09 30 15.7          19.2 Vi19439691
     J91V00G  c1991 11 26.38954 02 57 45.01 -09 30 37.1          19.2 Vi19439691
     J91V00G  c1991 11 26.39170 02 57 44.48 -09 31 00.2          18.9 Vi19439691
     J91V00G  c1991 11 27.15753 02 59 57.36 -12 05 22.7          18.8 Vi19439691
     J91V00G  c1991 11 27.18541 02 59 47.83 -12 11 42.7          18.8 Vi19439691
     J91V00G  c1991 11 27.22987 02 59 30.75 -12 21 39.9          18.8 Vi19439691
     J91V00G  c1991 11 27.27152 02 59 13.66 -12 30 46.9          18.7 Vi19439691
     J91V00G  c1991 11 29.22579 03 01 59.22 -21 14 12.3          19.3 Vi19439691
     J91V00G  c1991 11 29.24056 03 01 51.86 -21 19 05.2          19.4 Vi19439691
     J91V00G  c1991 11 29.26080 03 01 41.62 -21 25 40.9          18.8 Vi19439691
     J91V00G  c1991 11 29.26777 03 01 38.06 -21 27 55.6          18.9 Vi19439691
     J91V00G 3A1991 12 02.12286 03 09 51.20 -43 08 56.7                 19447809
     J91V00G 3A1991 12 02.16205 03 09 19.06 -43 33 55.3                 19447809
     J91V00G 3A1991 12 02.19016 03 08 56.70 -43 51 08.5                 19447809
     J91V00G )C1992 04 03.35059 15 43 58.74 +13 53 17.7                C20745695
     J91V00G  c1992 04 26.20485 14 35 02.83 +07 44 26.6                i20745691
     J91V00G  c1992 04 26.20955 14 35 01.70 +07 44 19.9                i20745691
     J91V00G  c1992 04 26.30565 14 34 37.20 +07 42 02.5                i20745691
     J91V00G  c1992 04 26.31046 14 34 35.94 +07 41 55.8                i20745691
     J91V00G  c1992 04 26.36815 14 34 20.94 +07 40 28.4                i20745691
     J91V00G  c1992 04 26.37983 14 34 17.85 +07 40 10.8                i20745691
     J91V00G  c1992 04 26.42319 14 34 06.94 +07 39 03.0                i20745691
     J91V00G  c1992 04 27.19618 14 31 56.23 +07 19 39.1          21.9 Vi20745691
     J91V00G  c1992 04 27.27133 14 31 37.54 +07 17 50.1                i20745691
     J91V00G  c1992 04 27.32809 14 31 22.92 +07 16 24.7                i20745691
     J91V00G  c1992 04 27.44847 14 30 52.93 +07 13 14.5                i20745691
