     J94G00V* c1994 04 13.27739 12 59 52.33 -09 58 27.0          18.0 Vi23415691
     J94G00V  c1994 04 13.28311 13 00 21.84 -10 01 41.2          17.6 Vi23415691
     J94G00V  c1994 04 13.28963 13 00 55.52 -10 05 22.8          17.7 Vi23415691
     J94G00V  c1994 04 13.29683 13 01 32.23 -10 09 23.8          17.8 Vi23415691
     J94G00V  c1994 04 13.30353 13 02 06.09 -10 13 05.6          17.8 Vi23415691
     J94G00V  c1994 04 13.31135 13 02 45.87 -10 17 24.2          17.7 Vi23415691
     J94G00V  c1994 04 13.32080 13 03 33.14 -10 22 33.1          17.6 Vi23415691
     J94G00V  c1994 04 13.34541 13 05 35.83 -10 35 44.0          17.6 Vi23415691
     J94G00V  c1994 04 13.35484 13 06 22.19 -10 40 39.1          17.6 Vi23415691
     J94G00V  c1994 04 13.40303 13 10 17.49 -11 05 18.8          17.5 Vi23415691
     J94G00V  c1994 04 13.43644 13 12 57.56 -11 21 37.3          17.6 Vi23415691
     J94G00V  c1994 04 13.44252 13 13 26.86 -11 24 33.2          17.7 Vi23415691
     J94G00V  c1994 04 14.25615 14 06 52.30 -16 10 22.2          18.4 Vi23415691
     J94G00V  c1994 04 14.27240 14 07 36.31 -16 14 23.7          18.6 Vi23415691
     J94G00V  c1994 04 14.32923 14 10 06.07 -16 27 54.0          18.8 Vi23415691
     J94G00V  c1994 04 14.37211 14 11 55.07 -16 37 27.5                i23415691
     J94G00V  c1994 04 14.40125 14 13 08.62 -16 43 41.3          18.8 Vi23415691
     J94G00V  C1994 04 15.32797 14 46 08.98 -19 06 51.2          19.9 Vi23415691
     J94G00V  C1994 04 15.33282 14 46 15.90 -19 07 23.5                i23415691
