     K00L06G*tC2000 06 04.25538 15 20 27.93 -17 39 23.9          18.0 Vbb6021691
     K00L06G tC2000 06 04.27710 15 18 39.22 -17 51 35.9                bb6021691
     K00L06G tC2000 06 04.30621 15 16 15.42 -18 07 22.5                bb6021691
     K00L06G tC2000 06 04.31222 15 15 46.00 -18 10 34.7                bb6021691
     K00L06G tC2000 06 04.34286 15 13 18.75 -18 26 23.8                bb6021691
     K00L06G tC2000 06 04.34746 15 12 56.87 -18 28 44.1                bb6021691
     K00L06G tC2000 06 05.16825 14 25 28.51 -24 32 13.2          18.3 Vbb6021691
     K00L06G tC2000 06 05.17459 14 25 03.14 -24 34 30.3          18.3 Vbb6021691
     K00L06G tC2000 06 05.18052 14 24 39.29 -24 36 36.7          18.3 Vbb6021691
     K00L06G tC2000 06 05.26086 14 19 23.49 -25 02 45.3          18.6 Vbb6021691
     K00L06G tC2000 06 06.17113 13 39 05.94 -28 51 25.4          19.8 Vbb6021691
     K00L06G tC2000 06 06.25764 13 34 52.75 -29 05 30.7                bb6021691
     K00L06G tC2000 06 07.22138 13 03 45.77 -31 17 20.7          21.1 Vbb6021691
     K00L06G tC2000 06 07.22694 13 03 34.13 -31 17 43.9                bb6021691
     K00L06G tC2000 06 07.23253 13 03 22.21 -31 18 05.0                bb6021691
