     K01U00O*tC2001 10 16.39633 03 28 01.53 +20 35 49.3          19.0 Vdd8378291
     K01U00O tC2001 10 16.41828 03 27 39.94 +20 39 25.3                dd8378291
     K01U00O tC2001 10 16.43960 03 27 18.99 +20 42 54.1                dd8378291
     K01U00O tC2001 10 16.46692 03 26 52.61 +20 47 14.7                dd8378291
     K01U00O tC2001 10 16.47595 03 26 43.83 +20 48 41.8                dd8378291
     K01U00O tC2001 10 16.49486 03 26 25.78 +20 51 39.7                dd8378291
     K01U00O tC2001 10 16.50760 03 26 13.69 +20 53 38.6                dd8378291
     K01U00O tC2001 10 16.51165 03 26 09.96 +20 54 17.4                dd8378291
     K01U00O tC2001 10 17.43492 03 14 01.14 +23 00 17.6                dd8379291
     K01U00O tC2001 10 17.44287 03 13 55.00 +23 01 11.2                dd8379291
     K01U00O tC2001 10 17.45162 03 13 48.46 +23 02 11.4                dd8379291
     K01U00O tC2001 10 18.19531 03 06 03.59 +24 18 59.5                dd8379291
     K01U00O tC2001 10 18.50916 03 02 52.61 +24 46 51.8                dd8379291
     K01U00O tC2001 10 18.51344 03 02 50.16 +24 47 13.5                dd8379291
