     K03D10W* C2003 02 26.28160 08 40 29.30 +28 39 59.4          19.4  ch4391704
     K03D10W  C2003 02 26.29415 08 40 21.17 +28 40 19.4          19.7  ch4391704
     K03D10W  C2003 02 26.30716 08 40 12.95 +28 40 40.6          19.7  ch4391704
     K03D10W  C2003 02 26.32039 08 40 04.47 +28 40 59.9          19.6  ch4391704
     K03D10W  C2003 02 26.97995 08 33 46.83 +29 03 53.6                ch4391246
     K03D10W  C2003 02 26.98051 08 33 46.27 +29 03 54.5                ch4391246
     K03D10W  C2003 02 26.98145 08 33 45.60 +29 03 56.7                ch4391246
     K03D10W  C2003 02 26.98424 08 33 43.44 +29 04 02.0                ch4391246
     K03D10W  C2003 02 26.98634 08 33 41.79 +29 04 06.2                ch4391246
     K03D10W  C2003 02 26.98752 08 33 40.86 +29 04 08.0                ch4391246
     K03D10W  C2003 02 26.98887 08 33 39.81 +29 04 10.6                ch4391246
     K03D10W  C2003 02 27.03873 08 33 00.36 +29 05 39.0          18.3 Rdh4391118
     K03D10W  C2003 02 27.04068 08 32 58.83 +29 05 42.6                dh4391118
     K03D10W  C2003 02 27.04265 08 32 57.40 +29 05 45.9                dh4391118
     K03D10W  C2003 02 27.04459 08 32 55.86 +29 05 48.1                dh4391118
     K03D10W  C2003 02 27.04666 08 32 54.23 +29 05 52.3                dh4391118
     K03D10W  C2003 02 27.12593 08 32 30.54 +29 11 38.6          18.6 Rdh4391734
     K03D10W  C2003 02 27.12948 08 32 27.23 +29 11 50.1          18.7 Rdh4391734
     K03D10W  C2003 02 27.83100 08 22 28.71 +29 45 49.4                ch4391246
     K03D10W  C2003 02 27.83178 08 22 27.83 +29 45 52.8                ch4391246
     K03D10W  C2003 02 27.83214 08 22 27.43 +29 45 54.1          17.5 Rch4391246
     K03D10W  C2003 02 27.83292 08 22 26.53 +29 45 56.7                ch4391246
     K03D10W  C2003 02 27.83399 08 22 25.24 +29 46 00.7                ch4391246
     K03D10W  C2003 02 27.83454 08 22 24.52 +29 46 03.0                ch4391246
     K03D10W  C2003 02 28.79981 07 59 58.27 +30 53 46.2                ch4391246
     K03D10W  C2003 02 28.80002 07 59 57.83 +30 53 48.1                ch4391246
     K03D10W  C2003 02 28.80039 07 59 56.99 +30 53 50.3                ch4391246
     K03D10W  C2003 02 28.80069 07 59 56.39 +30 53 50.9                ch4391246
     K03D10W  C2003 02 28.80105 07 59 55.46 +30 53 53.8                ch4391246
     K03D10W  C2003 02 28.80177 07 59 53.93 +30 53 57.4                ch4391246
     K03D10W  C2003 02 28.91723 07 55 43.66 +31 03 35.8          18.1 Rdh4391J95
     K03D10W  C2003 02 28.91977 07 55 37.63 +31 03 49.1          17.6 Rdh4391J95
     K03D10W  C2003 02 28.92232 07 55 31.67 +31 04 01.4          17.8 Rdh4391J95
