     K05G33Q* C2005 04 06.32956 14 46 58.18 +06 07 57.0          18.6 Rrn0896703
     K05G33Q  C2005 04 06.33851 14 46 48.25 +06 06 50.6          18.6 Rrn0896703
     K05G33Q  C2005 04 06.34749 14 46 38.38 +06 05 44.9          18.5 Rrn0896703
     K05G33Q  C2005 04 06.35646 14 46 28.59 +06 04 39.2          18.8 Rrn0896703
     K05G33Q  C2005 04 06.40012 14 45 41.14 +05 59 19.7          18.5 Rrn0896703
     K05G33Q  C2005 04 06.40903 14 45 31.42 +05 58 15.8          18.4 Rrn0896703
     K05G33Q  C2005 04 06.41576 14 45 24.29 +05 57 27.2          19.3 Rcn0896854
     K05G33Q  C2005 04 06.41796 14 45 21.81 +05 57 09.9          18.5 Rrn0896703
     K05G33Q  C2005 04 06.42152 14 45 18.05 +05 56 45.6          19.4 Rcn0896854
     K05G33Q  C2005 04 06.42441 14 45 15.02 +05 56 24.5          19.4 Rcn0896854
     K05G33Q  C2005 04 06.46950 14 44 27.16 +05 50 58.9          18.7 Rrn0896703
     K05G33Q  C2005 04 06.47208 14 44 24.43 +05 50 40.2          18.8 Rrn0896703
     K05G33Q  C2005 04 06.47463 14 44 21.62 +05 50 21.0          18.9 Rrn0896703
     K05G33Q  C2005 04 06.47725 14 44 18.92 +05 50 04.3          18.3 Rrn0896703
     K05G33Q  C2005 04 07.03478 14 35 45.24 +04 48 17.3                rn0896J95
     K05G33Q  C2005 04 07.04011 14 35 40.40 +04 47 44.3          19.6 Rrn0896J95
