     K05T00A* C2005 10 01.59341 01 48 37.54 -28 16 14.5          17.7 Vro4431E12
     K05T00A  C2005 10 01.59611 01 48 45.97 -28 15 57.3          18.4 Vro4431E12
     K05T00A  C2005 10 01.59884 01 48 55.04 -28 15 38.7          18.2 Vro4431E12
     K05T00A  C2005 10 01.60159 01 49 03.46 -28 15 20.5          18.0 Vro4431E12
     K05T00A  C2005 10 01.65572 01 51 58.35 -28 08 35.4          18.6 Vro4431E12
     K05T00A  C2005 10 01.65724 01 52 03.43 -28 08 22.4          18.2 Vro4431E12
     K05T00A  C2005 10 01.65878 01 52 08.36 -28 08 10.2          18.4 Vro4431E12
     K05T00A  C2005 10 01.66031 01 52 13.40 -28 07 57.4          18.2 Vro4431E12
     K05T00A  C2005 10 01.72913 01 56 05.49 -27 57 19.5          18.5 Vro4431E12
     K05T00A  C2005 10 01.73124 01 56 12.87 -27 56 58.2          18.1 Vro4431E12
     K05T00A  C2005 10 01.73333 01 56 20.07 -27 56 36.3          18.3 Vro4431E12
     K05T00A  C2005 10 01.73544 01 56 27.45 -27 56 14.6          18.1 Vro4431E12
     K05T00A  C2005 10 01.77212 01 58 38.02 -27 49 37.2          18.3 Vro4432E12
     K05T00A  C2005 10 01.77245 01 58 39.21 -27 49 33.4          18.1 Vro4432E12
     K05T00A  C2005 10 01.77274 01 58 40.26 -27 49 30.3          18.3 Vro4432E12
     K05T00A  C2005 10 01.77308 01 58 41.48 -27 49 27.1          18.9 Vro4432E12
     K05T00A  C2005 10 02.58831 03 06 27.57 -24 12 15.7          18.1 Vro4432E12
     K05T00A  C2005 10 02.58856 03 06 28.94 -24 12 10.9          17.8 Vro4432E12
     K05T00A  C2005 10 02.58882 03 06 30.34 -24 12 03.7          17.1 Vro4432E12
     K05T00A  C2005 10 02.58907 03 06 31.60 -24 11 58.3          18.5 Vro4432E12
     K05T00A  C2005 10 02.58966 03 06 34.84 -24 11 44.3          18.1 Vro4432E12
     K05T00A  C2005 10 02.58992 03 06 36.21 -24 11 39.1          17.9 Vro4432E12
     K05T00A  C2005 10 02.59016 03 06 37.51 -24 11 33.2          17.6 Vro4432E12
     K05T00A  C2005 10 02.59042 03 06 38.95 -24 11 27.4          17.7 Vro4432E12
     K05T00A  C2005 10 02.59131 03 06 43.74 -24 11 06.3          17.9 Vro4432E12
     K05T00A  C2005 10 02.59183 03 06 46.44 -24 10 53.9          18.5 Vro4432E12
     K05T00A  C2005 10 02.59208 03 06 47.91 -24 10 48.1          17.5 Vro4432E12
     K05T00A  C2005 10 02.71091 03 17 35.48 -23 19 17.9          18.3 Vro4432E12
     K05T00A  C2005 10 02.71143 03 17 38.50 -23 19 00.8          17.6 Vro4432E12
     K05T00A  C2005 10 02.71168 03 17 39.83 -23 18 53.5          17.3 Vro4432E12
     K05T00A  C2005 10 02.71227 03 17 43.15 -23 18 36.8          17.8 Vro4432E12
     K05T00A  C2005 10 02.71254 03 17 44.66 -23 18 29.6          17.9 Vro4432E12
     K05T00A  C2005 10 02.71281 03 17 46.14 -23 18 21.5          18.2 Vro4432E12
     K05T00A  C2005 10 02.71308 03 17 47.61 -23 18 13.7          18.2 Vro4432E12
     K05T00A  C2005 10 02.76351 03 22 31.56 -22 53 02.1          17.3 Vro4432E12
     K05T00A  C2005 10 02.76374 03 22 32.98 -22 52 53.1          18.3 Vro4432E12
     K05T00A  C2005 10 02.76400 03 22 34.41 -22 52 46.3          16.7 Vro4432E12
     K05T00A  C2005 10 02.76458 03 22 37.74 -22 52 27.9          18.6 Vro4432E12
     K05T00A  C2005 10 02.76484 03 22 39.18 -22 52 19.9          18.4 Vro4432E12
     K05T00A  C2005 10 02.76512 03 22 40.83 -22 52 11.8          16.8 Vro4432E12
     K05T00A  C2005 10 02.76539 03 22 42.34 -22 52 03.3          17.5 Vro4432E12
     K05T00A  C2005 10 03.04613303 54 27.10 -20 42 19.2          17.5 Rro4432J95
     K05T00A  C2005 10 03.04752103 54 35.97 -20 41 28.3          18.1 Rro4432J95
     K05T00A  C2005 10 03.04985003 54 50.94 -20 40 02.3          17.6 Rro4432J95
     K05T00A  C2005 10 03.75412 05 17 31.61 -10 44 45.5          17.8 Vro4432E12
     K05T00A  C2005 10 03.75559 05 17 41.13 -10 43 25.4          18.0 Vro4432E12
     K05T00A  C2005 10 03.75705 05 17 50.65 -10 42 05.3          18.2 Vro4432E12
     K05T00A  C2005 10 05.10685707 29 55.20 +07 00 32.6                ro4432J95
     K05T00A  C2005 10 05.11218407 30 17.33 +07 03 46.1                ro4432J95
