     K05V05N* C2005 11 10.29074 02 39 54.03 +07 34 35.7          16.9 Vro9897703
     K05V05N  C2005 11 10.29718 02 39 32.40 +07 33 33.1          16.7 Vro9897703
     K05V05N  C2005 11 10.30363 02 39 10.54 +07 32 29.6          16.7 Vro9897703
     K05V05N  C2005 11 10.31007 02 38 48.73 +07 31 25.8          16.7 Vro9897703
     K05V05N  C2005 11 10.33700 02 37 16.21 +07 26 50.8          16.7 Vro9897703
     K05V05N  C2005 11 10.33742 02 37 14.77 +07 26 46.7          16.7 Vro9897703
     K05V05N  C2005 11 10.33782 02 37 13.36 +07 26 43.3          16.7 Vro9897703
     K05V05N  C2005 11 10.33823 02 37 11.98 +07 26 38.0          16.6 Vro9897703
     K05V05N  C2005 11 10.39321 02 33 58.86 +07 16 42.3          17.0 Vro9897703
     K05V05N  C2005 11 10.39361 02 33 57.38 +07 16 37.9          17.1 Vro9897703
     K05V05N  C2005 11 10.39403 02 33 55.94 +07 16 32.9          17.0 Vro9897703
     K05V05N  C2005 11 10.39443 02 33 54.50 +07 16 28.6          17.1 Vro9897703
     K05V05N  C2005 11 10.91753 01 58 31.78 +05 06 20.0                co9897595
     K05V05N  C2005 11 10.91927 01 58 21.75 +05 05 46.3          17.0 Vco9897595
     K05V05N  C2005 11 10.92101 01 58 11.65 +05 05 12.4                co9897595
     K05V05N  C2005 11 10.92274 01 58 01.64 +05 04 38.9                co9897595
     K05V05N  C2005 11 11.14030 01 36 47.43 +03 48 25.9          16.7 Rro9897850
     K05V05N  C2005 11 11.14526 01 36 11.14 +03 46 22.0          16.0 Rro9897850
     K05V05N  C2005 11 11.14773 01 35 52.94 +03 45 19.4          16.5 Rro9897850
     K05V05N  C2005 11 11.15269 01 35 16.39 +03 43 13.5          16.8 Rro9897850
     K05V05N  C2005 11 11.15516 01 34 58.02 +03 42 10.6          16.6 Rro9897850
     K05V05N  C2005 11 11.15764 01 34 39.59 +03 41 07.2          16.3 Rro9897850
     K05V05N  C2005 11 11.16222 01 34 05.50 +03 39 09.1          16.4 Rro9897850
     K05V05N  C2005 11 11.16470 01 33 46.91 +03 38 05.4          16.7 Rro9897850
     K05V05N  C2005 11 11.16717 01 33 28.35 +03 37 01.1          16.7 Rro9897850
     K05V05N  C2005 11 11.16965 01 33 09.71 +03 35 56.7          16.7 Rro9897850
     K05V05N  C2005 11 11.17212 01 32 51.00 +03 34 52.3          16.5 Rro9897850
     K05V05N  C2005 11 11.18519 01 31 28.43 +03 27 34.0          16.7 Rro9897734
