     K06B08M* C2006 01 24.28831 08 00 34.84 +26 08 21.4          18.2 Vrq0608703
     K06B08M  C2006 01 24.29363 08 00 37.80 +26 08 38.7          18.9 Vrq0608703
     K06B08M  C2006 01 24.29900 08 00 40.82 +26 08 57.9          18.5 Vrq0608703
     K06B08M  C2006 01 24.30457 08 00 43.81 +26 09 16.7          18.3 Vrq0608703
     K06B08M  C2006 01 24.33201 08 00 59.04 +26 10 49.8          18.5 Vrq0608703
     K06B08M  C2006 01 24.33322 08 00 59.58 +26 10 53.6          18.6 Vrq0608703
     K06B08M  C2006 01 24.33443 08 01 00.33 +26 10 57.8          18.1 Vrq0608703
     K06B08M  C2006 01 24.79055 08 05 40.25 +26 32 07.0          18.8 Voq0608198
     K06B08M  C2006 01 24.79148 08 05 40.71 +26 32 09.9          18.8 Voq0608198
     K06B08M  C2006 01 24.79260 08 05 41.26 +26 32 13.4          18.9 Voq0608198
     K06B08M  C2006 01 24.79353 08 05 41.70 +26 32 16.2          18.9 Voq0608198
     K06B08M  C2006 01 24.79632 08 05 43.05 +26 32 24.6          19.0 Voq0608198
     K06B08M  C2006 01 24.81476 08 05 51.91 +26 33 20.9          18.8 Vrq0608240
     K06B08M  C2006 01 24.81641 08 05 52.61 +26 33 25.2          19.1 Vrq0608240
     K06B08M  C2006 01 24.81806 08 05 53.40 +26 33 30.0          18.7 Vrq0608240
     K06B08M  C2006 01 24.81970 08 05 54.20 +26 33 34.9          18.6 Vrq0608240
     K06B08M  C2006 01 24.82135 08 05 55.04 +26 33 40.5          18.5 Vrq0608240
     K06B08M  C2006 01 24.82464 08 05 56.57 +26 33 51.2          18.7 Vrq0608240
     K06B08M  C2006 01 24.83662 08 06 02.75 +26 34 30.2          18.6 Vrq0608A13
     K06B08M  C2006 01 24.83910 08 06 03.87 +26 34 37.6          18.4 Vrq0608A13
     K06B08M  C2006 01 24.85087 08 06 09.26 +26 35 11.8          18.5 Vrq0608A13
     K06B08M  C2006 01 24.85356 08 06 10.40 +26 35 19.5          18.5 Vrq0608A13
     K06B08M  C2006 01 24.85779 08 06 12.71 +26 35 08.9                rq0608J95
     K06B08M  C2006 01 24.86526 08 06 16.14 +26 35 30.8                rq0608J95
     K06B08M  C2006 01 24.87361 08 06 19.96 +26 35 54.2          19.3 Rrq0608J95
     K06B08M  C2006 01 24.87561 08 06 19.99 +26 36 25.2          18.5 Rrq0608143
     K06B08M  C2006 01 24.87928 08 06 21.60 +26 36 35.9          18.8 Rrq0608143
     K06B08M  C2006 01 24.88335 08 06 23.38 +26 36 46.8          18.4 Rrq0608143
     K06B08M  C2006 01 24.89127 08 06 25.62 +26 37 02.6                cq0608246
     K06B08M  C2006 01 24.89204 08 06 25.90 +26 37 03.8                cq0608246
     K06B08M  C2006 01 24.89255 08 06 26.14 +26 37 05.6                cq0608246
     K06B08M  C2006 01 24.89417 08 06 26.83 +26 37 10.0                cq0608246
     K06B08M  C2006 01 24.89653 08 06 27.82 +26 37 16.4                cq0608246
     K06B08M  C2006 01 25.44817 08 10 19.23 +26 58 13.9                dq0608291
     K06B08M  C2006 01 25.45234 08 10 20.63 +26 58 20.1                dq0608291
     K06B08M  C2006 01 25.45688 08 10 22.22 +26 58 27.2                dq0608291
     K06B08M  C2006 01 25.99358 08 13 45.47 +27 13 21.7                rq0608J95
     K06B08M  C2006 01 26.00509 08 13 48.54 +27 13 39.5                rq0608J95
     K06B08M  C2006 01 26.01180 08 13 50.35 +27 13 49.6          19.4 Rrq0608J95
     K06B08M  C2006 01 26.18220 08 14 49.33 +27 18 30.7          18.9 Rrq0608734
     K06B08M  C2006 01 26.18369 08 14 49.71 +27 18 34.1          19.3 Rrq0608734
     K06B08M  C2006 01 26.18810 08 14 50.79 +27 18 40.0          19.5 Rrq0608734
     K06B08M 7C2006 01 26.38991 08 15 39.44 +27 23 33.8                 q1926696
     K06B08M 7C2006 01 26.39628 08 15 40.90 +27 23 40.6                 q1926696
     K06B08M  C2006 01 27.24689 08 19 20.82 +27 39 35.7          20.0 Vrq0608G96
     K06B08M  C2006 01 27.25267 08 19 21.72 +27 39 42.0          19.6 Vrq0608G96
     K06B08M  C2006 01 27.25814 08 19 22.58 +27 39 47.9          19.9 Vrq0608G96
     K06B08M  C2006 01 27.26363 08 19 23.48 +27 39 53.6          19.7 Vrq0608G96
     K06B08M  C2006 01 30.21010 08 26 51.65 +28 09 50.2          21.0 Vdq1926291
     K06B08M  C2006 01 30.21574 08 26 52.09 +28 09 53.5          21.2 Vdq1926291
     K06B08M  C2006 01 30.22050 08 26 52.43 +28 09 55.9          21.1 Vdq1926291
     K06B08M  C2006 01 30.29788 08 26 56.77 +28 10 32.2          20.4 Rcq1926711
     K06B08M  C2006 01 30.31090 08 26 57.54 +28 10 36.2          20.1 Rcq1926711
     K06B08M  C2006 02 01.17919 08 29 48.98 +28 19 01.3          22.4 Vdq1926291
     K06B08M  C2006 02 01.18546 08 29 49.31 +28 19 03.3          22.2 Vdq1926291
     K06B08M  C2006 02 01.19215 08 29 49.62 +28 19 05.8          21.9 Vdq1926291
     K06B08M  C2006 02 03.15327 08 31 59.62 +28 23 40.8                dq1926291
     K06B08M  C2006 02 03.16116 08 31 59.93 +28 23 42.4                dq1926291
     K06B08M HC2006 02 03.16731 08 32 00.21 +28 23 43.8                dq1926291
     K06B08M HC2006 02 06.18237 08 34 29.03 +28 25 22.7                dq2897291
     K06B08M HC2006 02 06.19027 08 34 29.26 +28 25 22.1                dq2897291
