     K06B07O* C2006 01 22.35064 08 18 58.96 +17 35 09.8          21.6 Vrq0605G96
     K06B07O  C2006 01 22.35921 08 19 06.06 +17 34 10.6          20.5 Vrq0605G96
     K06B07O  C2006 01 22.36776 08 19 13.22 +17 33 10.8          21.3 Vrq0605G96
     K06B07O  C2006 01 22.37632 08 19 20.56 +17 32 10.3          20.4 Vrq0605G96
     K06B07O  C2006 01 22.41952 08 19 58.28 +17 26 54.7          20.9 Vrq0605G96
     K06B07O  C2006 01 22.42351 08 20 01.84 +17 26 25.2          21.3 Vrq0605G96
     K06B07O  C2006 01 22.42751 08 20 05.35 +17 25 55.2          21.2 Vrq0605G96
     K06B07O  C2006 01 22.43153 08 20 09.02 +17 25 25.4          21.1 Vrq0605G96
     K06B07O  C2006 01 23.28786 08 40 08.79 +15 07 56.8          20.8 Vrq0605G96
     K06B07O  C2006 01 23.28953 08 40 11.46 +15 07 35.4          20.4 Vrq0605G96
     K06B07O  C2006 01 23.29121 08 40 14.05 +15 07 13.9          20.3 Vrq0605G96
     K06B07O  C2006 01 23.29288 08 40 16.75 +15 06 51.9          20.4 Vrq0605G96
     K06B07O  C2006 01 24.08417809 12 58.64 +10 48 42.7                rq0605J95
     K06B07O  C2006 01 24.08935809 13 15.46 +10 46 18.0                rq0605J95
     K06B07O  C2006 01 24.09418109 13 31.02 +10 44 02.0          19.7 Rrq0605J95
