     K06D62O* C2006 02 24.29931 10 27 07.76 +07 59 49.1                rq5267G96
     K06D62O  C2006 02 24.30735 10 27 37.42 +07 54 36.0          19.8 Vrq5267G96
     K06D62O  C2006 02 24.31543 10 28 07.28 +07 49 18.1                rq5267G96
     K06D62O  C2006 02 24.35739 10 30 46.33 +07 21 03.7          18.5 Vrq5267G96
     K06D62O  C2006 02 24.35763 10 30 47.30 +07 20 53.5          18.3 Vrq5267G96
     K06D62O  C2006 02 24.35788 10 30 48.20 +07 20 43.5          18.5 Vrq5267G96
     K06D62O  C2006 02 24.35813 10 30 49.21 +07 20 33.0          18.4 Vrq5267G96
     K06D62O  C2006 02 24.42526 10 35 19.44 +06 32 28.6          18.1 Vrq5267G96
     K06D62O  C2006 02 24.42551 10 35 20.46 +06 32 17.1          18.4 Vrq5267G96
     K06D62O  C2006 02 24.42576 10 35 21.54 +06 32 06.3          18.1 Vrq5267G96
     K06D62O  C2006 02 24.42601 10 35 22.58 +06 31 54.9          18.4 Vrq5267G96
